id,provider,name,interface,source_url,request_url,spec_status,local_status,access_status,optional,live_call_status,local_paths,why
emergency_target_api,보건복지부,응급안전안심 서비스 대상자 기본정보,REST API,https://www.data.go.kr/data/15098762/openapi.do,https://apis.data.go.kr/1352000/ODMS_EMG_01/callEmg01Api,SPEC CAPTURED,,KEY REQUIRED; APPROVAL REQUIRED,FALSE,NOT CALLED,raw/api_specs/data_go_kr_15098762.json,특정 서비스의 최신 읍면동별 등록 현황을 별도 맥락으로 집계
emergency_operator_api,보건복지부,응급안전안심 서비스 운영기관정보,REST API,https://www.data.go.kr/data/15098764/openapi.do,https://apis.data.go.kr/1352000/ODMS_EMG_02/callEmg02Api,SPEC CAPTURED,,KEY REQUIRED; APPROVAL REQUIRED,FALSE,NOT CALLED,raw/api_specs/data_go_kr_15098764.json,운영기관 위치와 담당권역 갱신
odcloud_file_data,공공데이터포털,핵심 파일데이터 ODCloud 자동변환,ODCloud REST API,https://www.data.go.kr/,https://api.odcloud.kr/api/{datasetId}/v1/uddi:{resourceUuid},SPEC CAPTURED,DOWNLOADED,KEY REQUIRED,FALSE,NOT CALLED,raw/api_specs/odcloud_*_oas.json; raw/demographics/*; raw/welfare/*; raw/facilities/*; raw/transit/*,MVP 스냅샷은 이미 다운로드됨; 키는 정기 갱신에만 필요
mois_jumin_csv,행정안전부,주민등록 인구통계 직접 CSV,Web-form CSV download,https://jumin.mois.go.kr/,https://jumin.mois.go.kr/downloadCsvAge.do,,DOWNLOADED,,FALSE,DOWNLOADED,raw/demographics/jumin_*.csv,2021~2025 추세 스냅샷; 키 없는 저빈도 다운로드
incheon_bus_station_api,인천광역시,좌표 주변 정류소·경유 노선,REST API,https://www.data.go.kr/data/15056529/openapi.do,https://apis.data.go.kr/6280000/busStationService/getBusStationAroundList,,,KEY REQUIRED,TRUE,NOT CALLED,,시설 반경 500m 정류소·경유 노선 보강
incheon_bus_route_api,인천광역시,버스노선 조회,REST API,https://www.data.go.kr/data/15058487/openapi.do,https://apis.data.go.kr/6280000/busRouteService,SPEC CAPTURED,,KEY REQUIRED,FALSE,NOT CALLED,raw/api_specs/data_go_kr_15058487.json,첫차·막차·배차간격 자동 갱신
incheon_bus_route_stop_bulk,인천광역시,버스노선별 정류장 현황,File data,https://www.data.go.kr/data/15048265/fileData.do,,,DOWNLOADED,,FALSE,DOWNLOADED,raw/transit/route_bus_route_stop_sequence_20251231.csv,키 없이 오프라인 노선-정류소 그래프 구축
incheon_bus_ridership_bulk,인천광역시,정류장별 이용승객 현황,File data,https://www.data.go.kr/data/15048264/fileData.do,,,DOWNLOADED,,TRUE,DOWNLOADED,raw/transit/ridership_bus_stop_usage_20260630.csv,정류소 수요 가중치 보강
transport_stop_supply_api,국토교통부,정류장 공급도,REST API,https://www.data.go.kr/data/15142078/openapi.do,https://apis.data.go.kr/1613000/TransportationStopSupplyLevel/getTransportationStopSupplyLevel,SPEC CAPTURED,,KEY REQUIRED,TRUE,NOT CALLED,raw/api_specs/data_go_kr_15142078.json,시군구 공식 공급도 교차검증
sgis_open_api,통계청 SGIS,경계·인구·가구·주택,REST/GeoJSON API,https://sgis.mods.go.kr/developer/,https://sgisapi.mods.go.kr/OpenAPI3/,SPEC CAPTURED,,KEY REQUIRED,TRUE,NOT CALLED,raw/api_specs/sgis_*.html,연도별 경계·집계구와 센서스 교차검증
kwater_realtime_flow_api,한국수자원공사,실시간 수도정보 유량(시간),REST API,https://www.data.go.kr/data/15056653/openapi.do,,SPEC CAPTURED,,KEY REQUIRED,TRUE,NOT CALLED,raw/api_specs/data_go_kr_15056653.json; raw/api_specs/kwater_realtime_water_flow_15056653_api_guide_v1.1.docx,실시간 공급 이상 검증 후보; 자동승인 API이나 서비스키 필요
kwater_realtime_level_api,한국수자원공사,실시간 수도정보 수위(시간),REST API,https://www.data.go.kr/data/15057371/openapi.do,,SPEC CAPTURED,,KEY REQUIRED,TRUE,NOT CALLED,raw/api_specs/data_go_kr_15057371.json; raw/api_specs/kwater_realtime_water_level_15057371_api_guide_v1.2.docx,실시간 공급 이상 검증 후보; 자동승인 API이나 서비스키 필요
kwater_realtime_quality_api,한국수자원공사,실시간 수도정보 수질(시간),REST API,https://www.data.go.kr/data/15057290/openapi.do,,SPEC CAPTURED,,KEY REQUIRED,TRUE,NOT CALLED,raw/api_specs/data_go_kr_15057290.json; raw/api_specs/kwater_realtime_water_quality_15057290_api_guide_v1.2.docx,실시간 공급 이상 검증 후보; 자동승인 API이나 서비스키 필요
kwater_realtime_pressure_api,한국수자원공사,실시간 수도정보 압력(시간),REST API,https://www.data.go.kr/data/15058037/openapi.do,,SPEC CAPTURED,,KEY REQUIRED,TRUE,NOT CALLED,raw/api_specs/data_go_kr_15058037.json; raw/api_specs/kwater_realtime_water_pressure_15058037_oas.json,실시간 공급 이상 검증 후보; 자동승인 API이나 서비스키 필요
kepco_household_average_power_api,한국전력공사,가구 평균 전력사용량,Open API,https://www.data.go.kr/data/15101404/openapi.do,,SPEC CAPTURED,,KEY REQUIRED,TRUE,NOT CALLED,raw/api_specs/data_go_kr_15101404.json,전력 취약성 교차검증 후보; 라이브 호출은 하지 않음
vworld_building_api,국토교통부 VWorld,GIS건물통합정보 WMS/WFS/Data,WMS/WFS/Data API,https://www.data.go.kr/data/15123970/openapi.do,https://api.vworld.kr/req/{wms|wfs|data},SPEC CAPTURED,,KEY REQUIRED,TRUE,NOT CALLED,raw/api_specs/data_go_kr_15123970.json,키는 자동 갱신·대화형 조회에만 필요; MVP 벌크는 확보됨
vworld_building_integrated_bulk,국토교통부 VWorld,GIS건물통합정보 벌크,Bulk download,https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?svcCde=NA&dsId=18,,,DOWNLOADED,,FALSE,DOWNLOADED,raw/housing/vworld_incheon_building_integrated_20260809.zip,"인천 건물 폴리곤 309,851개; 기존 스냅샷 사용에 API 키 불필요"
vworld_building_age_bulk,국토교통부 VWorld,건축물연령정보 벌크,Bulk download,https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?svcCde=NA&dsId=1,,,DOWNLOADED,,FALSE,DOWNLOADED,raw/housing/vworld_incheon_building_age_by_district_20260810.zip,"현 11개 군구 CSV 175,549행; 기존 스냅샷 사용에 API 키 불필요"
vworld_admin_boundary_bulk,국토교통부 VWorld,센서스 행정동 경계 벌크,Bulk download,https://www.vworld.kr/dtmk/dtmk_ntads_s002.do?svcCde=MK&dsId=30017,,,DOWNLOADED,,FALSE,DOWNLOADED,raw/boundaries/vworld_census_admin_dong_boundary_20260410.zip,"전국 3,559개 폴리곤, 내부 기준일 2025-06-30; 기존 스냅샷 사용에 API 키 불필요"
juso_electronic_map_bulk,행정안전부,도로명주소 전자지도,Bulk download,https://www.data.go.kr/data/15050413/fileData.do,,,,LOGIN/REVIEW REQUIRED,TRUE,NOT CALLED,,정밀 건물 출입구가 실제 데모 요구가 될 때만 신청
juso_building_db_bulk,행정안전부 주소기반산업지원서비스,건물DB 월전체,Public bulk download,https://business.juso.go.kr/,,,DOWNLOADED,,FALSE,DOWNLOADED,raw/address/juso_building_db_202607.zip,2026-07 공개 월전체 건물DB; 기존 스냅샷과 공식 다운로드 모두 키 불필요
juso_search_api,행정안전부,도로명주소 검색,REST API,https://business.juso.go.kr/addrlink/openApi/apiExprn.do,https://business.juso.go.kr/addrlink/addrLinkApi.do,,,KEY REQUIRED,TRUE,NOT CALLED,,주소 정규화 선택 보강
kosis_api,통계청 KOSIS,통계자료·메타 API,REST API,https://kosis.kr/openapi/,https://kosis.kr/openapi/Param/statisticsParameterData.do?method=getList,,,KEY REQUIRED,TRUE,NOT CALLED,,추세 및 통계 교차검증; MVP 필수 아님
