current_admin_dong_code_20260701,current_district_name_20260701,current_dong_name_20260701,geometry_zone_id,geometry_adm_cd_20250630,geometry_district_name_20250630,geometry_dong_name_20250630,geometry_base_date,mapping_status,mapping_method,mapping_confidence,aggregation_required,aggregation_group_size,metric_handling,notes
2812551000,제물포구,신포동,vworld_sgis_20250630:23010530,23010530,중구,신포동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2812552000,제물포구,연안동,vworld_sgis_20250630:23010520,23010520,중구,연안동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2812553000,제물포구,신흥동,vworld_sgis_20250630:23010540,23010540,중구,신흥동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2812554000,제물포구,도원동,vworld_sgis_20250630:23010560,23010560,중구,도원동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2812555000,제물포구,율목동,vworld_sgis_20250630:23010570,23010570,중구,율목동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2812556000,제물포구,동인천동,vworld_sgis_20250630:23010580,23010580,중구,동인천동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2812557000,제물포구,개항동,vworld_sgis_20250630:23010670,23010670,중구,개항동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2812558000,제물포구,만석동,vworld_sgis_20250630:23020510,23020510,동구,만석동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2812559000,제물포구,화수1.화평동,vworld_sgis_20250630:23020520,23020520,동구,화수1·화평동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2812560000,제물포구,화수2동,vworld_sgis_20250630:23020530,23020530,동구,화수2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
