geometry_zone_id,geometry_adm_cd_20250630,geometry_district_name_20250630,geometry_dong_name_20250630,geometry_base_date,current_admin_dong_count,current_admin_dong_codes_20260701,current_district_names_20260701,current_dong_names_20260701,map_unit_status,aggregation_required,metric_handling,notes
vworld_sgis_20250630:23010520,23010520,중구,연안동,20250630,1,2812552000,제물포구,연안동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23010530,23010530,중구,신포동,20250630,1,2812551000,제물포구,신포동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23010540,23010540,중구,신흥동,20250630,1,2812553000,제물포구,신흥동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23010560,23010560,중구,도원동,20250630,1,2812554000,제물포구,도원동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23010570,23010570,중구,율목동,20250630,1,2812555000,제물포구,율목동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23010580,23010580,중구,동인천동,20250630,1,2812556000,제물포구,동인천동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23010630,23010630,중구,용유동,20250630,1,2815556000,영종구,용유동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23010640,23010640,중구,운서동,20250630,2,2815554000|2815555000,영종구,운서1동|운서2동,aggregated_split,true,sum_additive_counts_then_recompute_rates,분할된 현재 행정동들의 가산 지표를 기존 공간구역에 합산
vworld_sgis_20250630:23010650,23010650,중구,영종동,20250630,1,2815551000,영종구,영종동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23010670,23010670,중구,개항동,20250630,1,2812557000,제물포구,개항동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23010681,23010681,중구,영종1동,20250630,1,2815552000,영종구,영종1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23010691,23010691,중구,영종2동,20250630,1,2815553000,영종구,영종2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23020510,23020510,동구,만석동,20250630,1,2812558000,제물포구,만석동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23020520,23020520,동구,화수1·화평동,20250630,1,2812559000,제물포구,화수1.화평동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23020530,23020530,동구,화수2동,20250630,1,2812560000,제물포구,화수2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23020550,23020550,동구,송현1·2동,20250630,1,2812561000,제물포구,송현1.2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23020570,23020570,동구,송현3동,20250630,1,2812562000,제물포구,송현3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23020580,23020580,동구,송림1동,20250630,1,2812563000,제물포구,송림1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23020590,23020590,동구,송림2동,20250630,1,2812564000,제물포구,송림2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23020600,23020600,동구,송림3·5동,20250630,1,2812565000,제물포구,송림3·5동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23020610,23020610,동구,송림4동,20250630,1,2812566000,제물포구,송림4동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23020630,23020630,동구,송림6동,20250630,1,2812567000,제물포구,송림6동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23020640,23020640,동구,금창동,20250630,1,2812568000,제물포구,금창동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23040510,23040510,연수구,옥련1동,20250630,1,2818563000,연수구,옥련1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23040520,23040520,연수구,선학동,20250630,1,2818575000,연수구,선학동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23040530,23040530,연수구,연수1동,20250630,1,2818576100,연수구,연수1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23040540,23040540,연수구,연수2동,20250630,1,2818576200,연수구,연수2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23040550,23040550,연수구,연수3동,20250630,1,2818576300,연수구,연수3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23040560,23040560,연수구,청학동,20250630,1,2818576600,연수구,청학동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23040570,23040570,연수구,동춘1동,20250630,1,2818578000,연수구,동춘1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23040580,23040580,연수구,동춘2동,20250630,1,2818579000,연수구,동춘2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23040590,23040590,연수구,동춘3동,20250630,1,2818579500,연수구,동춘3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23040600,23040600,연수구,옥련2동,20250630,1,2818564000,연수구,옥련2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23040640,23040640,연수구,송도1동,20250630,1,2818582000,연수구,송도1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23040650,23040650,연수구,송도3동,20250630,1,2818584000,연수구,송도3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23040660,23040660,연수구,송도2동,20250630,1,2818583000,연수구,송도2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23040680,23040680,연수구,송도4동,20250630,1,2818585000,연수구,송도4동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23040690,23040690,연수구,송도5동,20250630,1,2818586000,연수구,송도5동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050510,23050510,남동구,구월1동,20250630,1,2820051000,남동구,구월1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050521,23050521,남동구,구월2동,20250630,1,2820052000,남동구,구월2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050530,23050530,남동구,구월3동,20250630,1,2820052100,남동구,구월3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050540,23050540,남동구,구월4동,20250630,1,2820052200,남동구,구월4동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050550,23050550,남동구,간석1동,20250630,1,2820053000,남동구,간석1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050561,23050561,남동구,간석2동,20250630,1,2820054000,남동구,간석2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050570,23050570,남동구,간석3동,20250630,1,2820055000,남동구,간석3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050580,23050580,남동구,간석4동,20250630,1,2820055100,남동구,간석4동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050590,23050590,남동구,만수1동,20250630,1,2820056000,남동구,만수1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050600,23050600,남동구,만수2동,20250630,1,2820057000,남동구,만수2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050610,23050610,남동구,만수3동,20250630,1,2820058000,남동구,만수3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050620,23050620,남동구,만수4동,20250630,1,2820058100,남동구,만수4동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050630,23050630,남동구,만수5동,20250630,1,2820058200,남동구,만수5동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050640,23050640,남동구,만수6동,20250630,1,2820058300,남동구,만수6동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050670,23050670,남동구,남촌도림동,20250630,1,2820066000,남동구,남촌도림동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050720,23050720,남동구,논현1동,20250630,1,2820069000,남동구,논현1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050730,23050730,남동구,논현2동,20250630,1,2820070000,남동구,논현2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050740,23050740,남동구,논현고잔동,20250630,1,2820071000,남동구,논현고잔동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050750,23050750,남동구,장수서창동,20250630,1,2820065000,남동구,장수서창동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23050760,23050760,남동구,서창2동,20250630,1,2820065500,남동구,서창2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060510,23060510,부평구,부평1동,20250630,1,2823751000,부평구,부평1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060520,23060520,부평구,부평2동,20250630,1,2823752000,부평구,부평2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060530,23060530,부평구,부평3동,20250630,1,2823753000,부평구,부평3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060540,23060540,부평구,부평4동,20250630,1,2823754000,부평구,부평4동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060550,23060550,부평구,부평5동,20250630,1,2823755000,부평구,부평5동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060560,23060560,부평구,부평6동,20250630,1,2823756000,부평구,부평6동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060570,23060570,부평구,산곡1동,20250630,1,2823757000,부평구,산곡1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060580,23060580,부평구,산곡2동,20250630,1,2823758000,부평구,산곡2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060590,23060590,부평구,산곡3동,20250630,1,2823758100,부평구,산곡3동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060600,23060600,부평구,산곡4동,20250630,1,2823758200,부평구,산곡4동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060610,23060610,부평구,청천1동,20250630,1,2823759100,부평구,청천1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060620,23060620,부평구,청천2동,20250630,1,2823759200,부평구,청천2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060630,23060630,부평구,갈산1동,20250630,1,2823764100,부평구,갈산1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060640,23060640,부평구,갈산2동,20250630,1,2823764200,부평구,갈산2동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
vworld_sgis_20250630:23060650,23060650,부평구,삼산1동,20250630,1,2823764600,부평구,삼산1동,exact,false,direct_geometry_join,현재 행정동 1개와 공간구역 1개가 일치
