province_name,district_name_20260701,admin_dong_count,total_population,population_age_65_plus,total_households,one_person_households,one_person_households_age_65_plus,population_age_65_plus_share,one_person_household_share,age_65_plus_one_person_share_of_age_65_plus_population
인천광역시,강화군,14,69681,29163,36329,16640,8901,0.418522,0.458036,0.305216
인천광역시,검단구,8,271021,33488,112282,34200,8445,0.123562,0.304590,0.252180
인천광역시,계양구,12,276309,58847,129289,50759,17038,0.212975,0.392601,0.289530
인천광역시,남동구,20,479149,102290,227382,94824,31053,0.213483,0.417025,0.303578
인천광역시,미추홀구,21,418211,92292,207662,93128,28751,0.220683,0.448460,0.311522
인천광역시,부평구,22,488191,103325,226734,87348,29087,0.211649,0.385244,0.281510
인천광역시,서해구,16,391854,65135,176223,66079,17793,0.166223,0.374974,0.273171
인천광역시,연수구,15,410290,60007,169495,52909,13145,0.146255,0.312157,0.219058
인천광역시,영종구,6,137621,16673,67331,31875,4506,0.121152,0.473407,0.270257
인천광역시,옹진군,10,19340,7265,12205,7720,2908,0.375646,0.632528,0.400275
인천광역시,제물포구,18,99335,30308,51431,24209,10799,0.305109,0.470708,0.356309
