facility_id,facility_name,district,legal_dong,address,phone,category_major,category_detail,facility_form,capacity_max_reported,current_occupancy_max_reported,staff_count_max_reported,latitude,longitude,designation_date,installation_date,status,source_as_of_date_latest,source_datasets,source_names,source_files,source_facility_codes,observation_count,source_count,entity_match_rule
fac_0014ca2c8a6fc200,조은요양원,부평구,삼산동,"인천광역시 부평구 부평북로 399, 4~5층 (삼산동)",032-330-1004,노인복지,노인요양시설 | 노인요양시설(개정법),의료복지 | 장기요양기관,58,,30,,,2018-06-04,2018-06-04,,2026-06-30,incheon_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | nhis_long_term_care_facilities_20260610.xlsx,12823700526,2,2,exact_normalized_district_name_address
fac_0016e86ec3ebb645,광명노인복지센터,남동구,논현동,"인천광역시 남동구 호구포로 294-1, 203호 (논현동)",032-439-9888,노인복지,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,,,78,,,2020-04-09,2020-04-09,,2026-06-30,incheon_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | nhis_long_term_care_facilities_20260610.xlsx,22820000693,4,2,exact_normalized_district_name_address
fac_0019973dc427ca8a,인천사랑노인요양원,미추홀구,용현동,인천광역시 미추홀구 낙섬서로 3-14 (용현동),0324288850,노인복지,노인요양시설 | 노인요양시설(개정법) | 노인의료복지시설,의료복지 | 장기요양기관,60,,30,37.45055575,126.6331389,2009-10-12,2009-10-12,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,12817000111,3,3,exact_normalized_district_name_address
fac_002ff98b4e178558,계양다사랑복지센터,계양구,계산동,"인천광역시 계양구 계산로 148, 2층(계산동)",032-554-8274,노인복지,방문목욕 | 방문요양,재가복지,,,,,,,,,2026-06-30,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,,2,1,exact_normalized_district_name_address
fac_003f190789fe7e47,검단햇살요양원,서구,원당동,"인천광역시 서구 원당대로 853, 7층 (원당동, 삼정프라자)",032-569-3883,노인복지,노인요양시설 | 노인요양시설(개정법),의료복지 | 장기요양기관,29,,19,,,2020-08-01,2020-08-01,,2026-06-30,incheon_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | nhis_long_term_care_facilities_20260610.xlsx,12826000508,2,2,exact_normalized_district_name_address
fac_004afa9e46a7e2ae,남동구노인인력개발센터,남동구,,인천광역시 남동구 소래로 645,032-466-8836,노인복지,노인일자리지원기관,이용,,,,,,,,,2025-01-31,incheon_welfare,인천광역시_사회복지시설 현황_20250131,incheon_welfare_facilities_20250131.csv,,1,1,exact_normalized_district_name_address
fac_004be8c10e3ce3af,남동구 가족센터,남동구,,인천광역시 남동구 문화서로 62번길 13,032-467-3904,가족·여성복지,가족센터,이용,,,,,,,,,2025-01-31,incheon_welfare,인천광역시_사회복지시설 현황_20250131,incheon_welfare_facilities_20250131.csv,,1,1,exact_normalized_district_name_address
fac_0054e02e516eb589,가족재가노인복지센터,남동구,논현동,인천광역시 남동구 청능대로715번길 24 207호 (논현동),,노인복지,재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,장기요양기관,,,60,,,2019-04-22,2019-04-22,,2026-06-10,nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610,nhis_long_term_care_facilities_20260610.xlsx,32820000609,2,1,exact_normalized_district_name_address
fac_007b0d4f197bd8e6,효성방문요양센터,남동구,논현동,"인천광역시 남동구 앵고개로934번길 5, 207-1호 (논현동, 씨티짱)",070-8287-3444,노인복지,방문요양 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,,,6,,,2026-03-01,2026-03-01,,2026-06-30,incheon_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | nhis_long_term_care_facilities_20260610.xlsx,22820001046,2,2,exact_normalized_district_name_address
fac_0081c625d60b4e48,푸른소나무송도요양원,연수구,송도동,"인천광역시 연수구 컨벤시아대로 69, 8층 (송도동)",032-834-8522,노인복지,노인요양공동생활가정,의료복지 | 장기요양기관,9,,7,,,2026-02-01,2026-02-01,,2026-06-30,incheon_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | nhis_long_term_care_facilities_20260610.xlsx,12818500362,2,2,exact_normalized_district_name_address
