facility_id,facility_name,district,address,observation_count,source_count,source_datasets,category_details,observation_ids,match_rule
fac_0014ca2c8a6fc200,조은요양원,부평구,"인천광역시 부평구 부평북로 399, 4~5층 (삼산동)",2,2,incheon_elderly | nhis_ltc,노인요양시설 | 노인요양시설(개정법),obs_de787678e748b474 | obs_e48900822c859f3e,exact_normalized_district_name_address
fac_0016e86ec3ebb645,광명노인복지센터,남동구,"인천광역시 남동구 호구포로 294-1, 203호 (논현동)",4,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_4dc49d62a7806e1d | obs_6678c1f8607bdd26 | obs_6fd8fe2faf6777e6 | obs_bd5d038fb3998931,exact_normalized_district_name_address
fac_0019973dc427ca8a,인천사랑노인요양원,미추홀구,인천광역시 미추홀구 낙섬서로 3-14 (용현동),3,3,incheon_elderly | michuhol_elderly | nhis_ltc,노인요양시설 | 노인요양시설(개정법) | 노인의료복지시설,obs_2b189e06492ab25e | obs_627bc7cd38a9bd77 | obs_a67e76090e64d14a,exact_normalized_district_name_address
fac_002ff98b4e178558,계양다사랑복지센터,계양구,"인천광역시 계양구 계산로 148, 2층(계산동)",2,1,incheon_elderly,방문목욕 | 방문요양,obs_20d4bd57fe177812 | obs_d3231f3b32b9c406,exact_normalized_district_name_address
fac_003f190789fe7e47,검단햇살요양원,서구,"인천광역시 서구 원당대로 853, 7층 (원당동, 삼정프라자)",2,2,incheon_elderly | nhis_ltc,노인요양시설 | 노인요양시설(개정법),obs_5c90ecf9a6f1fee8 | obs_bf1cf5cb14dc1984,exact_normalized_district_name_address
fac_0054e02e516eb589,가족재가노인복지센터,남동구,인천광역시 남동구 청능대로715번길 24 207호 (논현동),2,1,nhis_ltc,재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,obs_40627b07d4216530 | obs_fe32ae8c344fe9ca,exact_normalized_district_name_address
fac_007b0d4f197bd8e6,효성방문요양센터,남동구,"인천광역시 남동구 앵고개로934번길 5, 207-1호 (논현동, 씨티짱)",2,2,incheon_elderly | nhis_ltc,방문요양 | 재가노인복지시설 방문요양,obs_25bbae362a4520b5 | obs_761dc4905028311e,exact_normalized_district_name_address
fac_0081c625d60b4e48,푸른소나무송도요양원,연수구,"인천광역시 연수구 컨벤시아대로 69, 8층 (송도동)",2,2,incheon_elderly | nhis_ltc,노인요양공동생활가정,obs_2b9e7127087274b4 | obs_fa838e90f3ce9a06,exact_normalized_district_name_address
fac_00856f901f76a23e,은혜재가복지센터,연수구,인천광역시 연수구 한나루로197번길 34 2동202호 (옥련동),2,1,nhis_ltc,재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_6c31b433f20afca5 | obs_e80d5c0ed8b8fd91,exact_normalized_district_name_address
fac_0098eca63708efcc,고운재가요양센터,미추홀구,인천광역시 미추홀구 한나루로501번길 15 (용현동),5,3,incheon_elderly | michuhol_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_3a284f57a451219a | obs_50ddf5cda6768350 | obs_a13ab0cd8422c158 | obs_aae60163d50c7262 | obs_d08eb4b4735bdc44,exact_normalized_district_name_address
fac_00af11266e8d242f,낙원요양원,서구,인천광역시 서구 완정로10번길 6-7 (마전동),2,2,incheon_elderly | nhis_ltc,노인요양시설 | 노인요양시설(개정법),obs_bf910b2e63332083 | obs_de78b62cfa2aa36a,exact_normalized_district_name_address
fac_00bdbf3841ecbd72,에덴재가노인복지센터,동구,인천광역시 동구 금창로 40(금곡동),4,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,obs_9df14d483c70bde9 | obs_9fca2de28a86ef05 | obs_c28283dde1b22e8f | obs_e37070d2fa41651c,exact_normalized_district_name_address
fac_00df8917846ec4f8,인천중구 구립해송노인요양원,중구,인천광역시 중구 백운로 494 (운북동),2,2,incheon_elderly | nhis_ltc,노인요양시설 | 노인요양시설(개정법),obs_a9fae96f3e70007c | obs_fe789ca27fc4f820,exact_normalized_district_name_address
fac_00e640042f3ab64b,정다운노인장기요양센터 복지용구사업소,남동구,"인천광역시 남동구 경인로 596 (간석동,(1층))",2,2,incheon_elderly | nhis_ltc,복지용구 | 재가장기요양기관 복지용구,obs_238239b31cf9a91e | obs_bb8f447840571dc1,exact_normalized_district_name_address
fac_00eab8655140ac0b,사랑해노인복지센터,남동구,인천광역시 남동구 주안로 231 (간석동),2,2,incheon_elderly | nhis_ltc,방문요양 | 재가노인복지시설 방문요양,obs_4a24d1262bc26fd4 | obs_c759ef1e03c9bdfc,exact_normalized_district_name_address
fac_011246be538de183,간석아가페요양원,남동구,"인천광역시 남동구 남동대로916번길 75, 2층 (간석동, 간석프라자)",2,2,incheon_elderly | nhis_ltc,노인요양시설 | 노인요양시설(개정법),obs_8a6377ffd7ff5ec2 | obs_9cbab77222a70a80,exact_normalized_district_name_address
fac_01205e55d5672508,참사랑복지재가센터,남동구,인천광역시 남동구 남동대로916번길 75 3층 (간석동),2,1,nhis_ltc,재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_d18d5737d7a18ccf | obs_fa030c6a96f59971,exact_normalized_district_name_address
fac_01353497af45c550,주선노인복지센터,서구,"인천광역시 서구 건지로328번길 3-14, B2호 (가좌동)",4,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,obs_0f51453ac5aeacb3 | obs_412f732e5021a7a7 | obs_546504412a48bcd9 | obs_99bfc037f53da072,exact_normalized_district_name_address
fac_013bb33db606a9bb,동심원,연수구,인천광역시 연수구 봉재산로 68(동춘동),2,2,incheon_disabled_residential | incheon_welfare,생활시설 / 영유아 | 장애인거주시설(법인),obs_80ee2be5ea8bbbab | obs_ebbcd2a1abcf3cb2,exact_normalized_district_name_address
fac_014f1e922c215f28,무지개재가복지센터,계양구,"인천광역시 계양구 하느재로6번길 10, 101호 (계산동)",4,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_6aa9514ffa4d1c97 | obs_bba5e99335428cbd | obs_c2fb15127551d60a | obs_c9e2c207400c6d06,exact_normalized_district_name_address
fac_01685d41609cc63e,평안재가복지센터,미추홀구,"인천광역시 미추홀구 주승로 163-6, 102호 (관교동)",2,2,incheon_elderly | nhis_ltc,방문요양 | 재가노인복지시설 방문요양,obs_6d17f24a720aa44e | obs_cf38b283308a2b20,exact_normalized_district_name_address
fac_01a4f9648e7b3739,참사랑요양원,남동구,"인천광역시 남동구 남동대로916번길 75, 3층 (간석동, 간석프라자)",2,2,incheon_elderly | nhis_ltc,노인요양시설 | 노인요양시설(개정법),obs_16fdd2689b0db35e | obs_538c263fd6a6c9d8,exact_normalized_district_name_address
fac_01fa4b0563407ea7,해솔요양센터,미추홀구,"인천광역시 미추홀구 인하로 296, 제지하층 제 127-2호 (주안동, 쌍용주안상가)",4,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_258da1709aafe3ae | obs_2bb4da47f5df619c | obs_835860b0cc0fffa5 | obs_fdbfd82aed1bbbaa,exact_normalized_district_name_address
fac_021df520f88722a6,기쁨두배 한마음주야간보호센터,연수구,"인천광역시 연수구 독배로 33, 3층 (옥련동)",6,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양 | 재가장기요양기관 주야간보호 | 주야간보호,obs_406f8d889349ebb1 | obs_6644e2853eb76483 | obs_8219cc870825a9c3 | obs_83867900e3c44b2f | obs_fa1c83c77a0cc6b7 | obs_fad4e3742ccdcd01,exact_normalized_district_name_address
fac_023267cba5447570,사랑의 요양원,부평구,"인천광역시 부평구 부흥로 336 (부평동, 1층, 3-7층)",3,2,incheon_elderly | nhis_ltc,노인요양시설 | 노인요양시설(개정법) | 치매전담실가형1실,obs_6f2da11ed5b1eb2e | obs_ab1b3f33fd0c5fff | obs_c210902dcabe61e7,exact_normalized_district_name_address
fac_02380fdee665f053,소나무재가복지센터,남동구,"인천광역시 남동구 남동대로898번길 66, 1층 (간석동)",4,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_2d800801ef1818d6 | obs_980331324b9d41fc | obs_b91a7b1df109c340 | obs_ba32c245b293264a,exact_normalized_district_name_address
fac_025e75d72905d04d,평화요양원,남동구,"인천광역시 남동구 호구포로 915, 201호 (간석동, 호산빌딩)",2,2,incheon_elderly | nhis_ltc,노인요양공동생활가정,obs_0651ba0e8505ef67 | obs_f77864c5d2bc1d36,exact_normalized_district_name_address
fac_02b44c3773e4909f,섬김복지센터,연수구,"인천광역시 연수구 청능대로 109 9층 (연수동, 탑피온)",2,1,nhis_ltc,재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,obs_84436e80798ac593 | obs_8b98293b708b2bb9,exact_normalized_district_name_address
fac_02b9b5878d55604f,한사랑케어노인재가장기요양기관,부평구,"인천광역시 부평구 부흥북로6번길 5 4층405호 (부평동, 센트럴아파트)",2,1,nhis_ltc,재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,obs_8814c0ab17020958 | obs_e0d1b9caa16489e1,exact_normalized_district_name_address
fac_02fd6f1d78a061b4,장수노인복지센터,미추홀구,"인천광역시 미추홀구 주안로205번길 20, 3층 (주안동)",7,3,incheon_elderly | michuhol_elderly | nhis_ltc,방문목욕 | 방문요양 | 복지용구 | 재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양 | 재가노인복지시설 복지용구,obs_19cf1e8394f672cd | obs_1b43d250fc4b7f25 | obs_1cea5c6bb4159ca2 | obs_4a58483c7e0e875f | obs_4f01a96b5ae7e2e0 | obs_52e877eefabf6914 | obs_563e462f95ab8062,exact_normalized_district_name_address
fac_0312c9e2a0d95729,브솔시내,미추홀구,인천광역시 미추홀구 동산로 4(도화동),2,2,incheon_disabled_residential | incheon_welfare,생활시설 / 중증 | 장애인거주시설(법인),obs_4d7d5897d93c6980 | obs_fecea1687c97a091,exact_normalized_district_name_address
fac_0398b857d3c3d894,다인재가복지센터,연수구,"인천광역시 연수구 함박뫼로 12번길 1,201호",2,1,incheon_elderly,방문목욕 | 방문요양,obs_4bd1d49547be20b0 | obs_8fdba2032431f41e,exact_normalized_district_name_address
fac_03ba82e930650a3a,정다운방문요양센터,남동구,인천광역시 남동구 남촌로 96 105층 (남촌동),2,1,nhis_ltc,재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,obs_216005978c205a23 | obs_b187cb4885d5e447,exact_normalized_district_name_address
fac_03ee0e03eb44e74c,공감재가노인복지센터,계양구,"인천광역시 계양구 길마로 13 4층401호 (효성동, 삼성빌딩)",2,1,nhis_ltc,재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_0d1beaf443208dfc | obs_dc69e466f1800eaa,exact_normalized_district_name_address
fac_0400ade2e0bdf0a4,천사노인복지센터,서구,인천광역시 서구 고산후로95번길 28 503-1호 (당하동),2,1,incheon_elderly,방문목욕 | 방문요양,obs_60f60e6784bb6d70 | obs_88b288fc739a4f59,exact_normalized_district_name_address
fac_0402ced70e9acfef,더봄방문요양센터,부평구,"인천광역시 부평구 배곶남로 13-1, 3층 (십정동)",2,2,incheon_elderly | nhis_ltc,방문요양 | 재가노인복지시설 방문요양,obs_d43dfc8838252bbd | obs_e14c021633cddb37,exact_normalized_district_name_address
