facility_id,facility_name,district,legal_dong,address,category_major,category_detail,facility_form,road_name_normalized,road_building_main,road_building_sub,matched_pnu,juso_current_district,juso_legal_dong,juso_admin_dong_code,juso_admin_dong_name,geocode_status,geocode_method,match_confidence,matched_juso_building_count,matched_vworld_polygon_count,source_latitude,source_longitude,geocoded_latitude,geocoded_longitude,best_latitude,best_longitude,coordinate_source,privacy_scope,requires_public_export_policy_review
fac_0014ca2c8a6fc200,조은요양원,부평구,삼산동,"인천광역시 부평구 부평북로 399, 4~5층 (삼산동)",노인복지,노인요양시설 | 노인요양시설(개정법),의료복지 | 장기요양기관,부평북로,399,0,2823710500100550000,부평구,삼산동,2823764600,삼산1동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.52270325,126.73799298,37.52270325,126.73799298,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_0016e86ec3ebb645,광명노인복지센터,남동구,논현동,"인천광역시 남동구 호구포로 294-1, 203호 (논현동)",노인복지,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,호구포로,294,1,2820011000105640003,남동구,논현동,2820070000,논현2동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.40888026,126.71317515,37.40888026,126.71317515,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_0019973dc427ca8a,인천사랑노인요양원,미추홀구,용현동,인천광역시 미추홀구 낙섬서로 3-14 (용현동),노인복지,노인요양시설 | 노인요양시설(개정법) | 노인의료복지시설,의료복지 | 장기요양기관,낙섬서로,3,14,2817710200106270422,미추홀구,용현동,2817757000,용현5동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,37.45055575,126.6331389,37.45060096,126.63312208,37.45055575,126.6331389,source_dataset_coordinate,private_analysis_only,true
fac_002ff98b4e178558,계양다사랑복지센터,계양구,계산동,"인천광역시 계양구 계산로 148, 2층(계산동)",노인복지,방문목욕 | 방문요양,재가복지,계산로,148,0,2824510200103040002,계양구,계산동,2824561300,계산3동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.53702171,126.72866699,37.53702171,126.72866699,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_003f190789fe7e47,검단햇살요양원,서구,원당동,"인천광역시 서구 원당대로 853, 7층 (원당동, 삼정프라자)",노인복지,노인요양시설 | 노인요양시설(개정법),의료복지 | 장기요양기관,원당대로,853,0,2829010500108240006,검단구,원당동,2829053000,원당동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.59397757,126.69642106,37.59397757,126.69642106,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_004afa9e46a7e2ae,남동구노인인력개발센터,남동구,,인천광역시 남동구 소래로 645,노인복지,노인일자리지원기관,이용,소래로,645,0,2820010300109840006,남동구,만수동,2820058300,만수6동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.44757337,126.73299904,37.44757337,126.73299904,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_004be8c10e3ce3af,남동구 가족센터,남동구,,인천광역시 남동구 문화서로 62번길 13,가족·여성복지,가족센터,이용,문화서로62번길,13,0,2820010100111140012,남동구,구월동,2820052100,구월3동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,2,2,,,37.45100876,126.69726815,37.45100876,126.69726815,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_0054e02e516eb589,가족재가노인복지센터,남동구,논현동,인천광역시 남동구 청능대로715번길 24 207호 (논현동),노인복지,재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,장기요양기관,청능대로715번길,24,0,2820011000105990001,남동구,논현동,2820069000,논현1동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,21,,,37.408845,126.73755119,37.408845,126.73755119,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_007b0d4f197bd8e6,효성방문요양센터,남동구,논현동,"인천광역시 남동구 앵고개로934번길 5, 207-1호 (논현동, 씨티짱)",노인복지,방문요양 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,앵고개로934번길,5,0,2820011000106730002,남동구,논현동,2820069000,논현1동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.40179652,126.73517842,37.40179652,126.73517842,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_0081c625d60b4e48,푸른소나무송도요양원,연수구,송도동,"인천광역시 연수구 컨벤시아대로 69, 8층 (송도동)",노인복지,노인요양공동생활가정,의료복지 | 장기요양기관,컨벤시아대로,69,0,2818510600100030001,연수구,송도동,2818582000,송도1동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.39571144,126.65096068,37.39571144,126.65096068,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_00856f901f76a23e,은혜재가복지센터,연수구,옥련동,인천광역시 연수구 한나루로197번길 34 2동202호 (옥련동),노인복지,재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관,한나루로197번길,34,0,2818510100102850000,연수구,옥련동,2818563000,옥련1동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,2,2,,,37.42771431,126.65525458,37.42771431,126.65525458,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_0092632d06c8bc94,"""A(+)""수정방문간호센터",서구,가정동,"인천광역시 서구 청중로478번길 22, 4층 3호 (가정동)",노인복지,방문간호,재가복지,청중로478번길,22,0,2827510600106050009,서해구,가정동,2827554200,가정1동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.52863589,126.66547961,37.52863589,126.66547961,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_0098eca63708efcc,고운재가요양센터,미추홀구,용현동,인천광역시 미추홀구 한나루로501번길 15 (용현동),노인복지,방문목욕 | 방문요양 | 재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,한나루로501번길,15,0,2817710200100050002,미추홀구,용현동,2817754000,용현1.4동,matched_juso_pnu_no_vworld_geometry,exact_road_name_building_number_unique_pnu,high_address_match,1,0,37.45186298,126.6663221,,,37.45186298,126.6663221,source_dataset_coordinate,private_analysis_only,true
fac_00a4b4fcc7d0448d,강화군장애인복지관,강화군,,인천광역시 강화군 충렬사로 63,장애인복지,장애인복지관,이용,충렬사로,63,0,2871025024103560000,강화군,강화읍,2871025000,강화읍,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.73588072,126.48184904,37.73588072,126.48184904,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_00a8d785f25901ce,청라백세마을,서구,청라동,인천광역시 서구 로봇랜드로249번길 14 (청라동),노인복지,노인복지주택,주거복지,로봇랜드로249번길,14,0,2827511100100110023,서해구,청라동,2827553900,청라3동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,10,,,37.52926431,126.61005457,37.52926431,126.61005457,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_00af11266e8d242f,낙원요양원,서구,마전동,인천광역시 서구 완정로10번길 6-7 (마전동),노인복지,노인요양시설 | 노인요양시설(개정법),의료복지 | 장기요양기관,완정로10번길,6,7,2829010300110090004,검단구,마전동,2829056000,마전동,matched_juso_pnu_no_vworld_geometry,exact_road_name_building_number_unique_pnu,high_address_match,1,0,,,,,,,none,private_analysis_only,true
fac_00bdbf3841ecbd72,에덴재가노인복지센터,동구,금곡동,인천광역시 동구 금창로 40(금곡동),노인복지,방문목욕 | 방문요양 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,장기요양기관 | 재가복지,금창로,40,0,2812510600100570006,제물포구,금곡동,2812568000,금창동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.47223131,126.64200164,37.47223131,126.64200164,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_00cc9e22f4299eb6,인천서부아동보호전문기관,서구,왕길동,"인천광역시 서구 완정로 153, 10층 1001호(왕길동, 이레메디칼센타)",아동·돌봄,아동보호전문기관,이용,완정로,153,0,2829010900106620009,검단구,왕길동,2829055000,오류왕길동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.60135488,126.65879996,37.60135488,126.65879996,juso_pnu_vworld_representative_point,private_analysis_only,true
