observation_id,source_dataset,source_name,source_file,source_url,source_as_of_date,source_sheet,source_row,source_facility_code,source_service_code,facility_name,category_major,category_detail,facility_form,legal_basis,operator_name,district_source,district,legal_dong,address,postal_code,phone,capacity,current_occupancy,staff_count,latitude,longitude,designation_date,installation_date,status,source_note
obs_03ba9db27be9b8d1,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,2,,,마리아,장애인복지,장애인 주간이용시설,주간이용,,,강화군,강화군,길상면,인천광역시 강화군 길상면 해란길 63,,,15,11,5,,,,,,
obs_74c11400f77148ca,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,3,,,강화군장애인복지관,장애인복지,장애인 주간이용시설,주간이용,,,강화군,강화군,강화읍,인천광역시 강화군 강화읍 충렬사로 63,,,15,12,4,,,,,,
obs_c614d14f04f2fefe,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,4,,,중구장애인복지관,장애인복지,장애인 주간이용시설,주간이용,,,중구,중구,,인천광역시 중구 매소홀로10,,,12,12,5,,,,,,
obs_3dc18d558323b92b,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,5,,,무지개,장애인복지,장애인 주간이용시설,주간이용,,,중구,중구,,인천광역시 중구 우현로62번길 38-3,,,16,12,4,,,,,,
obs_9c16ba18d88f3467,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,6,,,영종장애인,장애인복지,장애인 주간이용시설,주간이용,,,중구,중구,,인천광역시 중구 영종해안북로 1000-26,,,16,16,6,,,,,,
obs_20427fc370993a17,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,7,,,동구장애인,장애인복지,장애인 주간이용시설,주간이용,,,동구,동구,,인천광역시 동구 만석로 53,,,12,12,5,,,,,,
obs_3f9723e8f1d4afa3,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,8,,,미추홀장애인복지관,장애인복지,장애인 주간이용시설,주간이용,,,미추홀구,미추홀구,,인천광역시 미추홀구 경원대로 714,,,12,12,5,,,,,,
obs_11bf525213e1bb01,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,9,,,시각장애인복지관,장애인복지,장애인 주간이용시설,주간이용,,,미추홀구,미추홀구,,인천광역시 미추홀구 한나루로 357번길,,,15,15,4,,,,,,
obs_48f6948e94f4a195,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,10,,,미추나래,장애인복지,장애인 주간이용시설,주간이용,,,미추홀구,미추홀구,,인천광역시 미추홀구 석정로102번길 11,,,20,13,6,,,,,,
obs_27ae95ae9359ea25,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,11,,,인천신장장애인,장애인복지,장애인 주간이용시설,주간이용,,,미추홀구,미추홀구,,인천광역시 미추홀구 미추홀대로 716,,,15,15,3,,,,,,
obs_6ae61444f9033fb8,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,12,,,늘푸른샘,장애인복지,장애인 주간이용시설,주간이용,,,미추홀구,미추홀구,,인천광역시 미추홀구 인하로405번길 7,,,20,17,6,,,,,,
obs_911ea4471ff8c1f3,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,13,,,미추홀장애,장애인복지,장애인 주간이용시설,주간이용,,,미추홀구,미추홀구,,인천광역시 미추홀구 염창로 97,,,15,12,3,,,,,,
obs_0910d029da77eecf,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,14,,,미추홀동그라미,장애인복지,장애인 주간이용시설,주간이용,,,미추홀구,미추홀구,,인천광역시 미추홀구 석정로375번길 23,,,12,9,4,,,,,,
obs_a691dd5d40f66c55,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,15,,,해내기,장애인복지,장애인 주간이용시설,주간이용,,,연수구,연수구,,인천광역시 연수구 앵고개로 130,,,15,15,6,,,,,,
obs_914c29d04c922b48,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,16,,,연수허브,장애인복지,장애인 주간이용시설,주간이용,,,연수구,연수구,,인천광역시 연수구 선학로 14,,,16,14,6,,,,,,
obs_ef966974c1a27d9b,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,17,,,사랑나눔,장애인복지,장애인 주간이용시설,주간이용,,,연수구,연수구,,인천광역시 연수구 선학로 14,,,12,11,5,,,,,,
obs_9d2baf08937adc34,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,18,,,연수구장애인,장애인복지,장애인 주간이용시설,주간이용,,,연수구,연수구,,인천광역시 연수구 청량로185번길 31,,,24,19,7,,,,,,
obs_858dfacd632a6028,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,19,,,늘푸른동산,장애인복지,장애인 주간이용시설,주간이용,,,남동구,남동구,,인천광역시 남동구 담방서로23번길 17,,,16,16,6,,,,,,
obs_f85585f2cd78b52b,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,20,,,하늘고운,장애인복지,장애인 주간이용시설,주간이용,,,남동구,남동구,,인천광역시 남동구 석정로 501,,,12,12,5,,,,,,
obs_c1db416956b0d80f,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,21,,,바다의별,장애인복지,장애인 주간이용시설,주간이용,,,남동구,남동구,,인천광역시 남동구 남촌동로16번길 15-12,,,12,12,5,,,,,,
obs_6503bf83ef0d46a6,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,22,,,샛별장애인,장애인복지,장애인 주간이용시설,주간이용,,,남동구,남동구,,인천광역시 남동구 남촌동로 3번길 14 3층,,,12,12,5,,,,,,
obs_51f3aa9a07ecd1a9,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,23,,,동그라미발달,장애인복지,장애인 주간이용시설,주간이용,,,남동구,남동구,,인천광역시 남동구 인주대로 819,,,12,11,5,,,,,,
obs_957442d9a4137bd3,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,24,,,민달팽이,장애인복지,장애인 주간이용시설,주간이용,,,남동구,남동구,,인천광역시 남동구 만수서로37번길55,,,16,12,5,,,,,,
obs_85bd8d5bd2e06df4,incheon_disabled_day,인천광역시_장애인주간 이용시설 현황_20250630,incheon_disabled_day_facilities_20250630.csv,https://www.data.go.kr/data/15103286/fileData.do,2025-06-30,CSV,25,,,국손장애인,장애인복지,장애인 주간이용시설,주간이용,,,남동구,남동구,,인천광역시 남동구 용천로97번길3,,,15,14,3,,,,,,
