observation_id,source_dataset,source_name,source_file,source_url,source_as_of_date,source_sheet,source_row,source_facility_code,source_service_code,facility_name,category_major,category_detail,facility_form,legal_basis,operator_name,district_source,district,legal_dong,address,postal_code,phone,capacity,current_occupancy,staff_count,latitude,longitude,designation_date,installation_date,status,source_note
obs_dc0a889b96aefec0,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,주거복지,6,,,백향그린실버타운,노인복지,노인양로시설,주거복지,,,강화군,강화군,2동,"인천광역시 강화군 길상면 길상로304번길 49-20, 2동(장흥다세대)",,032-937-9954,,,,,,,,,
obs_8705438b93dc9502,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,주거복지,7,,,영화복지타운(휴업),노인복지,노인양로시설,주거복지,,,강화군,강화군,불은면,인천광역시 강화군 불은면 강화동로 262,,032-933-2253,,,,,,,,휴업,
obs_8fe8b8f586ae6499,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,주거복지,8,,,이레홈타운,노인복지,노인공동생활가정,주거복지,,,강화군,강화군,양도면,인천광역시 강화군 양도면 강화남로 1077-39,,032-937-9387,,,,,,,,,
obs_57fe228c132d180d,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,주거복지,9,,,평화의 집,노인복지,노인양로시설,주거복지,,,강화군,강화군,불은면,인천광역시 강화군 불은면 강화동로 637,,032-937-9257,,,,,,,,,
obs_a7974c336a589925,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,주거복지,10,,,푸른마을실비양로원,노인복지,노인양로시설,주거복지,,,강화군,강화군,강화읍,인천광역시 강화군 강화읍 갑룡길206번길 55,,032-932-3155,,,,,,,,,
obs_1f005bab0e70034c,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,주거복지,11,,,형제나사로의 집,노인복지,노인양로시설,주거복지,,,강화군,강화군,송해면,인천광역시 강화군 송해면 전망대로 255-12,,032-932-1490,,,,,,,,,
obs_e8b7eb27ea6bd52a,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,주거복지,13,,,평복영락양로원,노인복지,노인양로시설,주거복지,,,연수구,연수구,동춘동,인천광역시 연수구 청량로 51 (동춘동),,032-831-6075,,,,,,,,,
obs_a28ae97b4529a89d,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,주거복지,15,,,소망의집,노인복지,노인양로시설,주거복지,,,남동구,남동구,고잔동,인천광역시 남동구 논현고잔로 88번길 35 (고잔동),,032-446-8965,,,,,,,,,
obs_99711dd46ceccaf1,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,주거복지,17,,,협성양로원,노인복지,노인양로시설,주거복지,,,부평구,부평구,산곡동,인천광역시 부평구 화랑로70 (산곡동),,032-518-9365,,,,,,,,,
obs_0aecdd6b0784b3cf,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,주거복지,18,,,요셉의 집,노인복지,노인공동생활가정,주거복지,,,부평구,부평구,삼산동,인천광역시 부평구 장제로 372 (삼산동),,032-526-8615,,,,,,,,,
obs_eec629f42bcdb819,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,주거복지,20,,,나솔채양로원,노인복지,노인양로시설,주거복지,,,계양구,계양구,박촌동,인천광역시 계양구 솔고개길 19 (박촌동),,032-515-9120,,,,,,,,,
obs_e7f31f034a357f7a,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,주거복지,22,,,예향원,노인복지,노인공동생활가정,주거복지,,,서구,서구,금곡동,인천광역시 서구 세자봉로76번길 11 (금곡동),,032-567-5615,,,,,,,,,
obs_f745dadd714d38e3,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,주거복지,23,,,마리스텔라,노인복지,노인복지주택,주거복지,,,서구,서구,심곡동,인천광역시 서구 심곡로 100번길 31 (심곡동),,032-280-1500,,,,,,,,,
obs_c64892dbb65b5b4a,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,주거복지,24,,,더시그넘하우스 청라,노인복지,노인복지주택,주거복지,,,서구,서구,청라동,인천광역시 서구 담지로 60 (청라동),,032-561-0120,,,,,,,,,
obs_eabe6cf140274d14,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,주거복지,25,,,청라백세마을,노인복지,노인복지주택,주거복지,,,서구,서구,청라동,인천광역시 서구 로봇랜드로249번길 14 (청라동),,032-582-0245,,,,,,,,,
obs_86a1f9fd225dd1b8,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,7,,,강화군 요양원,노인복지,노인요양시설,의료복지,,,강화군,강화군,길상면,인천광역시 강화군 길상면 길상로 272,,032-937-5767,,,,,,,,,
obs_148dc9d1eea18670,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,8,,,강화꽃동네노인요양원,노인복지,노인요양시설,의료복지,,,강화군,강화군,양사면,인천광역시 강화군 양사면 덕하로114번길 71,,032-930-8500,,,,,,,,,
obs_20f2009ca333f37d,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,9,,,강화노인복지센터부설 한울요양원,노인복지,노인요양시설,의료복지,,,강화군,강화군,선원면,인천광역시 강화군 선원면 시리미로225번길 3-27,,032-933-5822,,,,,,,,,
obs_813a8c0e8a748b9a,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,10,,,강화백석노인전문요양원,노인복지,노인요양시설,의료복지,,,강화군,강화군,양도면,인천광역시 강화군 양도면 강화남로 596,,032-464-9196,,,,,,,,,
obs_7ca8d07b0b3529d3,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,11,,,강화백세요양원(휴업),노인복지,노인요양공동생활가정,의료복지,,,강화군,강화군,선원면,인천광역시 강화군 선원면 선원사지로191번길 35-24,,032-933-3665,,,,,,,,휴업,
obs_3732f567517c9223,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,12,,,강화실버빌,노인복지,노인요양시설,의료복지,,,강화군,강화군,양도면,인천광역시 강화군 양도면 강화남로 862,,032-937-9119,,,,,,,,,
obs_c81ec880451661d5,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,13,,,강화요양원,노인복지,노인요양시설,의료복지,,,강화군,강화군,하점면,인천광역시 강화군 하점면 인화로 28,,032-933-9707,,,,,,,,,
obs_c623082d12b65387,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,14,,,강화은혜전문요양원,노인복지,노인요양시설,의료복지,,,강화군,강화군,불은면,인천광역시 강화군 불은면 강화동로314번길 22,,032-937-6676,,,,,,,,,
obs_670ba2f4dd4cd69d,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,15,,,강화플러스요양원,노인복지,노인요양시설,의료복지,,,강화군,강화군,선원면,인천광역시 강화군 선원면 연동로73번길 15,,032-934-1771,,,,,,,,,
obs_4f5186efde9b2efb,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,16,,,강화사랑요양원,노인복지,노인요양시설,의료복지,,,강화군,강화군,선원면,인천광역시 강화군 선원면 중앙로 144,,032-934-4385,,,,,,,,,
obs_ee7d964888338b93,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,17,,,강화해피빌 노인요양공동생활가정,노인복지,노인요양공동생활가정,의료복지,,,강화군,강화군,내가면,인천광역시 강화군 내가면 황청포구로385번길 55-45,,032-934-8806,,,,,,,,,
obs_14a034c2cb62bd03,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,18,,,늘편안한요양원,노인복지,노인요양시설,의료복지,,,강화군,강화군,하점면,인천광역시 강화군 하점면 고려산로 553-4,,032-933-9786,,,,,,,,,
obs_5037566a02b8e98e,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,19,,,마리 실버힐(휴업),노인복지,노인요양시설,의료복지,,,강화군,강화군,화도면,인천광역시 강화군 화도면 마니산로739번길 26-49,,032-937-8810,,,,,,,,휴업,
obs_206fafaa57f0a196,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,20,,,바다의 별 요양원,노인복지,노인요양시설,의료복지,,,강화군,강화군,선원면,인천광역시 강화군 선원면 시리미로 42,,032-933-9960,,,,,,,,,
obs_41a2a1f8c1d393d1,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,21,,,복된요양원,노인복지,노인요양시설,의료복지,,,강화군,강화군,화도면,인천광역시 강화군 화도면 마니산로 574,,032-937-3373,,,,,,,,,
obs_09757498634a8dd3,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,22,,,사랑이 머무는 들녘,노인복지,노인요양공동생활가정,의료복지,,,강화군,강화군,양사면,인천광역시 강화군 양사면 생설미길31번길 48,,032-934-8600,,,,,,,,,
obs_d87762f7659a48c8,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,23,,,삼성너싱홈,노인복지,노인요양시설,의료복지,,,강화군,강화군,불은면,인천광역시 강화군 불은면 중앙로 671,,032-937-9004,,,,,,,,,
obs_ce4014dfe2221f3e,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,24,,,성안나의집,노인복지,노인요양시설,의료복지,,,강화군,강화군,길상면,인천광역시 강화군 길상면 전등사로 79,,032-937-1935,,,,,,,,,
obs_c6131b79798c98c1,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,25,,,실버프리 강화,노인복지,노인요양시설,의료복지,,,강화군,강화군,화도면,인천광역시 강화군 화도면 마니산로 474,,032-937-5234,,,,,,,,,
obs_5fd57b358001f9a1,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,26,,,아름다운실버타운,노인복지,노인요양시설,의료복지,,,강화군,강화군,불은면,인천광역시 강화군 불은면 해안동로283번길 17,,032-937-4502,,,,,,,,,
obs_3a919ac861d4ea09,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,27,,,엠마우스노인요양공동생활가정,노인복지,노인요양공동생활가정,의료복지,,,강화군,강화군,화도면,인천광역시 강화군 화도면 마니산로 686-6,,032-937-0760,,,,,,,,,
obs_26ee1b17bbf3dc77,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,28,,,우림실버홈,노인복지,노인요양공동생활가정,의료복지,,,강화군,강화군,길상면,인천광역시 강화군 길상면 강화동로 151,,032-937-7776,,,,,,,,,
obs_83e978c7687c8d5c,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,29,,,임마누엘 요양원,노인복지,노인요양시설,의료복지,,,강화군,강화군,양도면,인천광역시 강화군 양도면 강화남로905번길 36,,032-937-6907,,,,,,,,,
obs_2577f9b27b29c007,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,30,,,즐거운 우리집,노인복지,노인요양시설,의료복지,,,강화군,강화군,하점면,인천광역시 강화군 하점면 고려산로 89-19,,032-933-8793,,,,,,,,,
obs_139c55f0f8dfa84b,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,31,,,진남요양원,노인복지,노인요양시설,의료복지,,,강화군,강화군,양도면,인천광역시 강화군 양도면 고려왕릉로139번길 10-11,,032-937-0707,,,,,,,,,
obs_963b29b3e7bfe0ef,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,32,,,햇살실버타운,노인복지,노인요양시설,의료복지,,,강화군,강화군,강화읍,인천광역시 강화군 강화읍 국화길 21,,032-933-3587,,,,,,,,,
obs_b6024d4a11814ebe,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,33,,,강화은빛마루요양원,노인복지,노인요양공동생활가정,의료복지,,,강화군,강화군,하점면,인천광역시 강화군 하점면 고려산로 201,,032-932-9787,,,,,,,,,
obs_4e883ac7233574ac,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,34,,,행복이 가득한집,노인복지,노인요양공동생활가정,의료복지,,,강화군,강화군,강화읍,인천광역시 강화군 강화읍 대산길51번길 6,,032-933-9035,,,,,,,,,
obs_521e3843f948abb4,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,35,,,호세요양원,노인복지,노인요양시설,의료복지,,,강화군,강화군,불은면,인천광역시 강화군 불은면 고려왕릉로 376,,032-937-3163,,,,,,,,,
obs_1941757bc74e5034,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,37,,,백령도노인요양원,노인복지,노인요양시설,의료복지,,,옹진군,옹진군,백령면,인천광역시 옹진군 백령면 백령남로72번길 84-26,,032-836-5088,,,,,,,,,
obs_996b2a615294ab2d,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,38,,,노인보금자리건강센터(노인요양),노인복지,노인요양시설,의료복지,,,옹진군,옹진군,영흥면,인천광역시 옹진군 영흥면 영흥로326번길 355,,032-888-7267,,,,,,,,,
obs_7aab5223be828c85,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,39,,,북도 공립 요양원(요양),노인복지,노인요양공동생활가정,의료복지,,,옹진군,옹진군,북도면,인천광역시 옹진군 북도면 시도로 64,,032-751-6945,,,,,,,,,
obs_d8763b96abeda5e6,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,40,,,연평 공립 요양원(요양),노인복지,노인요양공동생활가정,의료복지,,,옹진군,옹진군,연평면,인천광역시 옹진군 연평면 연평로 164,,032-832-8854,,,,,,,,,
obs_6f383153fd185c0e,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,41,,,대청공립요양원(요양),노인복지,노인요양공동생활가정,의료복지,,,옹진군,옹진군,대청면,인천광역시 옹진군 대청면 대청로244번길 116-34,,032-836-8854,,,,,,,,,
obs_a16d5985859eccb2,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,42,,,덕적 공립 요양원(요양),노인복지,노인요양공동생활가정,의료복지,,,옹진군,옹진군,덕적면,인천광역시 옹진군 덕적면 덕적남로 784,,032-832-8856,,,,,,,,,
obs_d644f1d063b239c5,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,43,,,자월 공립 요양원(공동생활가정),노인복지,노인요양공동생활가정,의료복지,,,옹진군,옹진군,,인천광역시 옹진군 자월서로342번길 34,,032-859-2002,,,,,,,,,
obs_62d520c5e47079d3,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,45,,,(인천)골드VIP요양원,노인복지,노인요양시설,의료복지,,,중구,중구,경동,인천광역시 중구 참외전로 178 (경동),,032-765-0119,,,,,,,,,
obs_9374294019105e6d,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,46,,,가족같은효성요양원,노인복지,노인요양시설,의료복지,,,중구,중구,,인천광역시 중구 연안부두로55번길 5 (항동7가),,032-889-3114,,,,,,,,,
obs_48d767c1d1c436e7,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,47,,,국제공항요양원,노인복지,노인요양시설,의료복지,,,중구,중구,운남동,인천광역시 중구 운중로48번길 21-46 (운남동),,032-746-3975,,,,,,,,,
obs_565ab9c7a2f91501,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,48,,,꿈꾸는요양원,노인복지,노인요양시설,의료복지,,,중구,중구,,인천광역시 중구 연안부두로55번길 6 (항동7가),,032-885-0707,,,,,,,,,
obs_e2dcd2cd7f4664bd,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,49,,,늘단비요양원,노인복지,노인요양공동생활가정,의료복지,,,중구,중구,,"인천광역시 중구 인항로 34, 403호 (신흥동3가, 현대상가)",,032-888-0333,,,,,,,,,
obs_5c96884ceae40640,incheon_elderly,인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx,https://www.incheon.go.kr/welfare/WE010216,2026-06-30,의료복지,50,,,다우요양원,노인복지,노인요양시설,의료복지,,,중구,중구,전동,인천광역시 중구 참외전로 52-6 (전동),,032-765-8887,,,,,,,,,
