facility_id,facility_name,district,legal_dong,address,phone,category_major,category_detail,facility_form,capacity_max_reported,current_occupancy_max_reported,staff_count_max_reported,latitude,longitude,designation_date,installation_date,status,source_as_of_date_latest,source_datasets,source_names,source_files,source_facility_codes,observation_count,source_count,entity_match_rule
fac_0019973dc427ca8a,인천사랑노인요양원,미추홀구,용현동,인천광역시 미추홀구 낙섬서로 3-14 (용현동),0324288850,노인복지,노인요양시설 | 노인요양시설(개정법) | 노인의료복지시설,의료복지 | 장기요양기관,60,,30,37.45055575,126.6331389,2009-10-12,2009-10-12,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,12817000111,3,3,exact_normalized_district_name_address
fac_0098eca63708efcc,고운재가요양센터,미추홀구,용현동,인천광역시 미추홀구 한나루로501번길 15 (용현동),032-865-0111,노인복지,방문목욕 | 방문요양 | 재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,,,44,37.45186298,126.6663221,2020-12-31,2020-12-31,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817700501,5,3,exact_normalized_district_name_address
fac_00ebf29b1ff76036,노인요양원 행복의집II,미추홀구,용현동,"인천광역시 미추홀구 아암대로29번길 86, 4층 (용현동, 백제당빌딩)",032-887-0238,노인복지,노인의료복지시설,,9,,,37.45631794,126.6409036,2013-09-30,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
fac_02fbd23fbab4865b,센트럴힐링요양원,미추홀구,학익동,"인천광역시 미추홀구 한나루로 432, 4층 (학익동, 성원빌딩)",032-872-2279,노인복지,노인의료복지시설,,9,,,37.44570328,126.6666593,2020-01-01,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
fac_02fd6f1d78a061b4,장수노인복지센터,미추홀구,주안동,"인천광역시 미추홀구 주안로205번길 20, 3층 (주안동)",032-264-3355,노인복지,방문목욕 | 방문요양 | 복지용구 | 재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양 | 재가노인복지시설 복지용구,장기요양기관 | 재가복지,,,79,37.46440278,126.6929463,2024-03-01,2024-03-01,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817700653,7,3,exact_normalized_district_name_address
fac_057abceae4ae0c54,두리재가복지센터,미추홀구,주안동,"인천광역시 미추홀구 구월로 30, 804호 (주안동, 스페이스이모션오피스텔)",032-862-1847,노인복지,재가노인복지시설,,,,,37.45731233,126.6933794,2020-10-12,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
fac_0713638a8ffed643,늘푸른재가복지센터,미추홀구,주안동,"인천광역시 미추홀구 신기길58번길 36, 1층 (주안동)",032-872-7687,노인복지,재가노인복지시설,,,,,37.445792,126.674726,2024-12-01,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
fac_092193f758d9a716,노인요양원 행복의집,미추홀구,용현동,"인천광역시 미추홀구 아암대로29번길 86, 5층 (용현동, 백제당빌딩)",0328870237,노인복지,노인요양공동생활가정 | 노인의료복지시설,의료복지 | 장기요양기관,9,,7,37.45631794,126.6409036,2013-03-07,2013-03-07,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,12817000229,3,3,exact_normalized_district_name_address
fac_0a35cbd9e2f99b89,힘찬실버요양원,미추홀구,숭의동,인천광역시 미추홀구 경인로33번길 22 (숭의동),0328915777,노인복지,노인요양시설 | 노인요양시설(개정법) | 노인의료복지시설,의료복지 | 장기요양기관,56,,31,37.46492667,126.6466303,2023-06-01,2023-06-01,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,12817700625,3,3,exact_normalized_district_name_address
fac_0bde988a8ea2e98c,지안노인주간보호센터,미추홀구,주안동,"인천광역시 미추홀구 석정로 409, 202호 (주안동, 동아프라자)",032-873-9949,노인복지,재가노인복지시설 | 재가노인복지시설 주야간보호 | 주야간보호,장기요양기관 | 재가복지,23,,7,37.46713129,126.6809692,2021-10-01,2021-10-01,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817700541,3,3,exact_normalized_district_name_address
fac_0ea56b31a9174c26,백암시니어복지센터,미추홀구,학익동,"인천광역시 미추홀구 매소홀로418번길 14-57, 다동 1~3층 (학익동)",032-876-2181,노인복지,방문요양 | 재가노인복지시설,재가복지,63,,,37.43866722,126.6668301,2022-04-01,,,2026-06-30,incheon_elderly | michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv,,2,2,exact_normalized_district_name_address
fac_10c37d8dc42c9afa,100세누리 방문요양센터,미추홀구,관교동,"인천광역시 미추홀구 주승로 229, 204호 (관교동, 쌍용A 상가)",032-424-1372,노인복지,방문목욕 | 방문요양 | 재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,,,43,37.44276692,126.6946851,2022-11-01,2022-11-01,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817700591,5,3,exact_normalized_district_name_address
fac_15f44505210ba0c2,인천사회복지센터,미추홀구,도화동,"인천광역시 미추홀구 주안로 12, 201호 (도화동)",032-868-2024,노인복지,방문요양 | 재가노인복지시설 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,,,22,37.4637304,126.6709999,2024-02-01,2024-02-01,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817700651,3,3,exact_normalized_district_name_address
fac_16d7a7af54ddaaed,햇살재가복지센터,미추홀구,관교동,"인천광역시 미추홀구 경원대로640번길 20-7, 102호 (관교동)",032-427-3962,노인복지,방문목욕 | 방문요양 | 재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,,,55,37.44093701,126.6949495,2022-09-01,2022-09-01,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817700580,5,3,exact_normalized_district_name_address
fac_17946cf7af8b65f6,행복드림요양원,미추홀구,주안동,"인천광역시 미추홀구 인주대로 495, 5층 (주안동)",0324381999,노인복지,노인요양공동생활가정 | 노인의료복지시설,의료복지 | 장기요양기관,9,,8,37.45090942,126.6918313,2014-12-01,2014-12-01,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,12817000267,3,3,exact_normalized_district_name_address
fac_185dd87064081d71,인천통합복지 사회적협동조합,미추홀구,주안동,"인천광역시 미추홀구 미추홀대로 516, 2층 201호 (주안동)",032-864-1006,노인복지,방문간호 | 방문목욕 | 방문요양 | 재가노인복지시설 | 재가노인복지시설 방문간호 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,,,138,37.44335536,126.6791046,2020-06-30,2020-06-30,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817700493,7,3,exact_normalized_district_name_address
fac_18fccafae787b2db,늘곁에방문요양센터,미추홀구,도화동,인천광역시 미추홀구 경인로 313-1 (도화동),032-227-1919,노인복지,재가노인복지시설,,,,,37.459841,126.675483,2024-09-01,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
fac_1ac6f6ffb5e98126,주안노인복지센터,미추홀구,주안동,인천광역시 미추홀구 주승로 129 (주안동),032-437-2070,노인복지,방문요양 | 재가노인복지시설 | 재가노인복지시설 단기보호 | 재가노인복지시설 방문요양 | 재가노인복지시설 주야간보호 | 주야간보호,장기요양기관 | 재가복지,56,,18,37.44579636,126.6847222,2012-01-11,2012-01-11,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817000200,6,3,exact_normalized_district_name_address
fac_1bb7482858a4b5c1,주안해피타운,미추홀구,주안동,인천광역시 미추홀구 주승로 129 (주안동),0324322070,노인복지,노인요양시설 | 노인요양시설(개정법) | 노인의료복지시설,의료복지 | 장기요양기관,55,,37,37.44579636,126.6847222,2008-05-30,2007-12-05,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,12817000005,3,3,exact_normalized_district_name_address
fac_1bcfbb09768c7219,좋은아침간호센터,미추홀구,용현동,"인천광역시 미추홀구 토금북로11번길 20, 304호 (용현동, 정다운오피스텔)",,노인복지,재가노인복지시설,,,,,37.45592766,126.6365521,2024-02-01,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
fac_1c362a4b4c88a4d5,봄날 복지용구,미추홀구,용현동,"인천광역시 미추홀구 낙섬중로 68, 102호 (용현동)",032-710-1350,노인복지,재가노인복지시설,,,,,37.45380291,126.6393195,2024-07-01,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
fac_1ebbab14c7370fae,선학2공동생활가정,연수구,청학동,인천광역시 연수구 청능말로 22번길 6(청학동 459-10 101호),032-818-5414,장애인복지,장애인 거주시설,장애인 거주시설,4,3,1,37.416941,126.668001,,1999-04-20,,2026-03-09,yeonsu_disabled,인천광역시 연수구_장애인 복지시설 현황_20260309,yeonsu_disabled_facilities_20260316.csv,,1,1,exact_normalized_district_name_address
fac_1ed5f4739b928fbb,두드림노인복지센터,미추홀구,관교동,"인천광역시 미추홀구 주승로 229, 상가동 105호 (관교동)",032-813-3381,노인복지,방문간호 | 방문목욕 | 방문요양 | 재가노인복지시설 | 재가노인복지시설 방문간호 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,,,50,37.44276692,126.6946851,2023-08-01,2023-08-01,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817700630,7,3,exact_normalized_district_name_address
fac_1ffd5a8bfbea488d,그린 재가노인복지센터,미추홀구,주안동,"인천광역시 미추홀구 주안로 226 중심상가동202호 (주안동, 주안더월드스테이트1트단지)",032-221-0905,노인복지,재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관,,,45,37.46300627,126.6952992,2022-11-01,2022-11-01,,2026-06-10,michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817700589,3,2,exact_normalized_district_name_address
fac_2000da3bdecf3bea,포도나무요양원,미추홀구,학익동,"인천광역시 미추홀구 주승로 22, 2층 (학익동)",0328661191,노인복지,노인요양시설 | 노인요양시설(개정법) | 노인의료복지시설,의료복지 | 장기요양기관,15,,9,37.44365373,126.6727799,2019-06-24,2019-06-24,,2026-06-30,incheon_elderly | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630,incheon_elderly_welfare_facilities_20260630.xlsx | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,12817700434,3,3,exact_normalized_district_name_address
fac_22cbd76fb3ec6d93,청학공동생활가정,연수구,청학동,인천광역시 연수구 청능말로8번길 9 101호(청학동 458-4 101호),032-575-5675,장애인복지,장애인 거주시설,장애인 거주시설,4,3,1,37.417499,126.667855,,2001-01-27,,2026-03-09,yeonsu_disabled,인천광역시 연수구_장애인 복지시설 현황_20260309,yeonsu_disabled_facilities_20260316.csv,,1,1,exact_normalized_district_name_address
fac_239cb1e6efb5355b,대한어머니회재가노인지원서비스센터,미추홀구,숭의동,"인천광역시 미추홀구 독배로 443, 2층 280호 (숭의동, 삼화복합빌딩)",032-868-9207,노인복지,방문목욕 | 방문요양 | 재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양 | 재가노인지원서비스,이용 | 장기요양기관 | 재가복지,,,8,37.4588359,126.6481512,2008-05-29,2008-05-23,,2026-06-30,incheon_elderly | incheon_welfare | michuhol_elderly | nhis_ltc,국민건강보험공단_장기요양기관 시설별 현황_20260610 | 인천광역시 미추홀구_노인복지시설_20250620 | 인천광역시_노인복지시설 현황_20260630 | 인천광역시_사회복지시설 현황_20250131,incheon_elderly_welfare_facilities_20260630.xlsx | incheon_welfare_facilities_20250131.csv | michuhol_elderly_welfare_facilities.csv | nhis_long_term_care_facilities_20260610.xlsx,22817000008,7,4,exact_normalized_district_name_address
fac_241ab22eac376e46,노아요양원,미추홀구,주안동,"인천광역시 미추홀구 경원대로 892, 2층 (주안동)",032-424-8188,노인복지,노인의료복지시설,,79,,,37.46243974,126.6901112,2012-06-27,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
fac_29ad14ec98a4cb87,케어네이션 방문요양센터 인천 미추홀점,미추홀구,학익동,"인천광역시 미추홀구 주승로 22, 101-5,6호 (학익동)",032-432-9748,노인복지,재가노인복지시설,,,,,37.443862,126.672927,2025-06-01,,,2025-06-20,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,,1,1,exact_normalized_district_name_address
