observation_id,source_dataset,source_name,source_file,source_url,source_as_of_date,source_sheet,source_row,source_facility_code,source_service_code,facility_name,category_major,category_detail,facility_form,legal_basis,operator_name,district_source,district,legal_dong,address,postal_code,phone,capacity,current_occupancy,staff_count,latitude,longitude,designation_date,installation_date,status,source_note
obs_c6da4eb9088629bd,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,https://www.data.go.kr/data/15070559/fileData.do,2025-06-20,CSV,2,,,주안해피타운,노인복지,노인의료복지시설,,,,미추홀구,미추홀구,주안동,인천광역시 미추홀구 주승로 129 (주안동),,032-432-2070,55,,,37.44579636,126.6847222,2008-05-30,,,
obs_f58025eca854c310,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,https://www.data.go.kr/data/15070559/fileData.do,2025-06-20,CSV,3,,,인천은혜요양원,노인복지,노인의료복지시설,,,,미추홀구,미추홀구,주안동,인천광역시 미추홀구 길파로29번길 53 (주안동),,032-868-7076,60,,,37.46871997,126.6766709,2008-05-30,,,
obs_9bd295324a5a1c8f,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,https://www.data.go.kr/data/15070559/fileData.do,2025-06-20,CSV,4,,,햇살노인전문요양원,노인복지,노인의료복지시설,,,,미추홀구,미추홀구,숭의동,인천광역시 미추홀구 인중로 13 (숭의동),,032-891-9555,95,,,37.46247938,126.6410163,2008-09-23,,,
obs_96e67325ef9a96c0,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,https://www.data.go.kr/data/15070559/fileData.do,2025-06-20,CSV,5,,,천사의집노인요양원,노인복지,노인의료복지시설,,,,미추홀구,미추홀구,문학동,인천광역시 미추홀구 소성로318번길 30 (문학동),,032-435-9257,60,,,37.43638829,126.6820731,2009-09-02,,,
obs_2b189e06492ab25e,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,https://www.data.go.kr/data/15070559/fileData.do,2025-06-20,CSV,6,,,인천사랑노인요양원,노인복지,노인의료복지시설,,,,미추홀구,미추홀구,용현동,인천광역시 미추홀구 낙섬서로 3-14 (용현동),,032-428-8850,60,,,37.45055575,126.6331389,2009-10-12,,,
obs_9a351f8b9fbf9397,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,https://www.data.go.kr/data/15070559/fileData.do,2025-06-20,CSV,7,,,행복한요양원,노인복지,노인의료복지시설,,,,미추홀구,미추홀구,주안동,"인천광역시 미추홀구 경원대로 858 (주안동,씨티프라자 7층)",,032-435-6300,42,,,37.4593647,126.6898433,2010-03-01,,,
obs_dfea0bfdd77bfa66,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,https://www.data.go.kr/data/15070559/fileData.do,2025-06-20,CSV,8,,,효다함요양원,노인복지,노인의료복지시설,,,,미추홀구,미추홀구,숭의동,"인천광역시 미추홀구 독배로 443, 411호 (숭의동)",,032-884-8883,42,,,37.4588359,126.6481512,2011-02-08,,,
obs_d73402c123362bff,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,https://www.data.go.kr/data/15070559/fileData.do,2025-06-20,CSV,9,,,온유한요양원,노인복지,노인의료복지시설,,,,미추홀구,미추홀구,주안동,인천광역시 미추홀구 주안로 150 (주안동),,032-442-7583,106,,,37.46348396,126.6864388,2011-07-29,,,
obs_65debe0a7554b9f8,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,https://www.data.go.kr/data/15070559/fileData.do,2025-06-20,CSV,10,,,노아요양원,노인복지,노인의료복지시설,,,,미추홀구,미추홀구,주안동,"인천광역시 미추홀구 경원대로 892, 2층 (주안동)",,032-424-8188,79,,,37.46243974,126.6901112,2012-06-27,,,
obs_7ee0a2a31cf50b17,michuhol_elderly,인천광역시 미추홀구_노인복지시설_20250620,michuhol_elderly_welfare_facilities.csv,https://www.data.go.kr/data/15070559/fileData.do,2025-06-20,CSV,11,,,햇살누리요양센터,노인복지,노인의료복지시설,,,,미추홀구,미추홀구,용현동,인천광역시 미추홀구 독배로 431 (용현동),,032-891-9588,46,,,37.45792912,126.6489993,2013-03-01,,,
