geometry_zone_id,geometry_adm_cd_20250630,geometry_district_name_20250630,geometry_dong_name_20250630,geometry_base_date,current_district_names_20260701,current_dong_names_20260701,map_unit_status,integrated_building_geometry_features,integrated_gis_ids_with_feature_in_zone,linked_gis_ids_used_by_assigned_age_records,age_building_register_records_assigned,age_valid_records,age_missing_or_invalid_records,age_coverage_pct,age_30_plus_records,age_30_plus_share_valid_pct,age_40_plus_records,age_40_plus_share_valid_pct,residential_records,residential_age_valid_records,residential_age_missing_or_invalid_records,residential_age_coverage_pct,residential_age_30_plus_records,residential_age_30_plus_share_valid_pct,residential_age_40_plus_records,residential_age_40_plus_share_valid_pct,metric_grain,spatial_assignment_method,age_data_as_of_date
vworld_sgis_20250630:23010520,23010520,중구,연안동,20250630,제물포구,연안동,exact,3516,1757,336,465,350,115,75.2688,181,51.7143,97,27.7143,129,42,87,32.5581,40,95.2381,33,78.5714,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23010530,23010530,중구,신포동,20250630,제물포구,신포동,exact,4159,2080,617,909,486,423,53.4653,361,74.2798,292,60.0823,565,226,339,40.0000,178,78.7611,143,63.2743,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23010540,23010540,중구,신흥동,20250630,제물포구,신흥동,exact,4933,2466,826,1067,764,303,71.6026,426,55.7592,298,39.0052,478,229,249,47.9079,182,79.4760,131,57.2052,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23010560,23010560,중구,도원동,20250630,제물포구,도원동,exact,1588,794,204,298,230,68,77.1812,202,87.8261,106,46.0870,202,150,52,74.2574,132,88.0000,44,29.3333,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23010570,23010570,중구,율목동,20250630,제물포구,율목동,exact,1564,782,130,188,122,66,64.8936,109,89.3443,61,50.0000,154,101,53,65.5844,92,91.0891,48,47.5248,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23010580,23010580,중구,동인천동,20250630,제물포구,동인천동,exact,4044,2022,675,979,743,236,75.8938,655,88.1561,554,74.5626,605,429,176,70.9091,381,88.8112,328,76.4569,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23010630,23010630,중구,용유동,20250630,영종구,용유동,exact,3898,3897,1463,1463,1393,70,95.2153,350,25.1256,325,23.3309,572,533,39,93.1818,282,52.9081,271,50.8443,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23010640,23010640,중구,운서동,20250630,영종구,운서1동|운서2동,aggregated_split,4303,4303,1235,1235,1232,3,99.7571,9,0.7305,1,0.0812,1057,1054,3,99.7162,1,0.0949,1,0.0949,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23010650,23010650,중구,영종동,20250630,영종구,영종동,exact,6075,6073,2624,2593,2386,207,92.0170,68,2.8500,43,1.8022,1726,1568,158,90.8459,37,2.3597,20,1.2755,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23010670,23010670,중구,개항동,20250630,제물포구,개항동,exact,6074,3045,691,978,681,297,69.6319,546,80.1762,417,61.2335,715,451,264,63.0769,405,89.8004,309,68.5144,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23010681,23010681,중구,영종1동,20250630,영종구,영종1동,exact,540,540,19,19,19,0,100.0000,0,0.0000,0,0.0000,0,0,0,,0,,0,,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23010691,23010691,중구,영종2동,20250630,영종구,영종2동,exact,1066,1066,47,47,42,5,89.3617,0,0.0000,0,0.0000,14,11,3,78.5714,0,0.0000,0,0.0000,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23020510,23020510,동구,만석동,20250630,제물포구,만석동,exact,1421,1312,436,511,413,98,80.8219,183,44.3099,129,31.2349,200,150,50,75.0000,116,77.3333,89,59.3333,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23020520,23020520,동구,화수1·화평동,20250630,제물포구,화수1.화평동,exact,1436,1309,257,405,231,174,57.0370,159,68.8312,112,48.4848,306,162,144,52.9412,110,67.9012,76,46.9136,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23020530,23020530,동구,화수2동,20250630,제물포구,화수2동,exact,851,799,162,226,187,39,82.7434,138,73.7968,87,46.5241,115,83,32,72.1739,66,79.5181,28,33.7349,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23020550,23020550,동구,송현1·2동,20250630,제물포구,송현1.2동,exact,622,598,177,252,175,77,69.4444,107,61.1429,91,52.0000,144,84,60,58.3333,49,58.3333,46,54.7619,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23020570,23020570,동구,송현3동,20250630,제물포구,송현3동,exact,1179,1121,307,466,356,110,76.3948,204,57.3034,107,30.0562,90,74,16,82.2222,73,98.6486,63,85.1351,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23020580,23020580,동구,송림1동,20250630,제물포구,송림1동,exact,578,555,184,186,98,88,52.6882,85,86.7347,56,57.1429,139,66,73,47.4820,63,95.4545,38,57.5758,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23020590,23020590,동구,송림2동,20250630,제물포구,송림2동,exact,1149,1067,255,391,257,134,65.7289,233,90.6615,168,65.3696,316,203,113,64.2405,191,94.0887,134,66.0099,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23020600,23020600,동구,송림3·5동,20250630,제물포구,송림3·5동,exact,1944,1846,313,378,212,166,56.0847,147,69.3396,126,59.4340,265,133,132,50.1887,101,75.9398,91,68.4211,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23020610,23020610,동구,송림4동,20250630,제물포구,송림4동,exact,960,870,137,142,133,9,93.6620,60,45.1128,14,10.5263,33,28,5,84.8485,8,28.5714,8,28.5714,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23020630,23020630,동구,송림6동,20250630,제물포구,송림6동,exact,1309,1278,321,404,347,57,85.8911,229,65.9942,182,52.4496,186,166,20,89.2473,137,82.5301,103,62.0482,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23020640,23020640,동구,금창동,20250630,제물포구,금창동,exact,1521,1371,293,459,231,228,50.3268,181,78.3550,141,61.0390,370,165,205,44.5946,140,84.8485,109,66.0606,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23040510,23040510,연수구,옥련1동,20250630,연수구,옥련1동,exact,2466,2466,957,956,945,11,98.8494,622,65.8201,250,26.4550,589,584,5,99.1511,414,70.8904,183,31.3356,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23040520,23040520,연수구,선학동,20250630,연수구,선학동,exact,1589,1589,567,567,553,14,97.5309,407,73.5986,11,1.9892,399,390,9,97.7444,304,77.9487,7,1.7949,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23040530,23040530,연수구,연수1동,20250630,연수구,연수1동,exact,1808,1808,1113,1113,1109,4,99.6406,1044,94.1389,3,0.2705,1020,1017,3,99.7059,989,97.2468,1,0.0983,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23040540,23040540,연수구,연수2동,20250630,연수구,연수2동,exact,799,799,439,439,437,2,99.5444,378,86.4989,0,0.0000,330,328,2,99.3939,320,97.5610,0,0.0000,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23040550,23040550,연수구,연수3동,20250630,연수구,연수3동,exact,392,392,126,126,124,2,98.4127,100,80.6452,0,0.0000,81,81,0,100.0000,81,100.0000,0,0.0000,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23040560,23040560,연수구,청학동,20250630,연수구,청학동,exact,2375,2375,1380,1380,1370,10,99.2754,1066,77.8102,301,21.9708,1202,1195,7,99.4176,958,80.1674,286,23.9331,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
vworld_sgis_20250630:23040570,23040570,연수구,동춘1동,20250630,연수구,동춘1동,exact,3321,3321,480,480,471,9,98.1250,336,71.3376,41,8.7049,244,242,2,99.1803,198,81.8182,31,12.8099,normalized_building_register_record,AL_D010_A1_representative_point_within_20250630_zone,2026-08-05
