district_code,district_name,legal_dong_code,legal_dong_name,building_records,age_valid_records,age_missing_or_invalid_records,age_coverage_pct,age_30_plus_records,age_30_plus_share_valid_pct,age_40_plus_records,age_40_plus_share_valid_pct,residential_records,residential_age_valid_records,residential_age_missing_or_invalid_records,residential_age_coverage_pct,residential_age_30_plus_records,residential_age_30_plus_share_valid_pct,residential_age_40_plus_records,residential_age_40_plus_share_valid_pct,data_as_of_date,granularity
28125,제물포구,2812510100,인천광역시 제물포구 만석동,760,587,173,77.2368,294,50.0852,198,33.7308,422,277,145,65.6398,193,69.6751,139,50.1805,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812510200,인천광역시 제물포구 화수동,1098,756,342,68.8525,624,82.5397,307,40.6085,862,565,297,65.5452,489,86.5487,230,40.7080,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812510300,인천광역시 제물포구 송현동,1473,1098,375,74.5418,718,65.3916,438,39.8907,691,360,331,52.0984,291,80.8333,233,64.7222,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812510400,인천광역시 제물포구 화평동,521,308,213,59.1171,223,72.4026,154,50.0000,406,222,184,54.6798,159,71.6216,115,51.8018,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812510500,인천광역시 제물포구 창영동,199,135,64,67.8392,97,71.8519,81,60.0000,146,93,53,63.6986,75,80.6452,65,69.8925,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812510600,인천광역시 제물포구 금곡동,552,351,201,63.5870,286,81.4815,190,54.1311,386,219,167,56.7358,179,81.7352,99,45.2055,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812510700,인천광역시 제물포구 송림동,2552,1934,618,75.7837,1551,80.1965,1189,61.4788,1853,1283,570,69.2391,1149,89.5557,916,71.3952,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812510800,인천광역시 제물포구 중앙동1가,38,29,9,76.3158,21,72.4138,13,44.8276,13,9,4,69.2308,7,77.7778,5,55.5556,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812510900,인천광역시 제물포구 중앙동2가,45,17,28,37.7778,14,82.3529,11,64.7059,20,3,17,15.0000,2,66.6667,2,66.6667,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812511000,인천광역시 제물포구 중앙동3가,51,23,28,45.0980,18,78.2609,13,56.5217,11,3,8,27.2727,2,66.6667,1,33.3333,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812511100,인천광역시 제물포구 중앙동4가,58,39,19,67.2414,35,89.7436,26,66.6667,2,2,0,100.0000,2,100.0000,2,100.0000,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812511200,인천광역시 제물포구 해안동1가,15,13,2,86.6667,5,38.4615,4,30.7692,0,0,0,,0,,0,,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812511300,인천광역시 제물포구 해안동2가,34,27,7,79.4118,20,74.0741,17,62.9630,10,10,0,100.0000,9,90.0000,9,90.0000,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812511400,인천광역시 제물포구 해안동3가,6,4,2,66.6667,3,75.0000,1,25.0000,2,0,2,0.0000,0,,0,,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812511500,인천광역시 제물포구 해안동4가,6,2,4,33.3333,2,100.0000,2,100.0000,0,0,0,,0,,0,,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812511600,인천광역시 제물포구 관동1가,46,28,18,60.8696,18,64.2857,10,35.7143,33,18,15,54.5455,11,61.1111,6,33.3333,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812511700,인천광역시 제물포구 관동2가,47,17,30,36.1702,10,58.8235,5,29.4118,28,8,20,28.5714,5,62.5000,2,25.0000,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812511800,인천광역시 제물포구 관동3가,42,21,21,50.0000,18,85.7143,14,66.6667,10,3,7,30.0000,2,66.6667,2,66.6667,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812511900,인천광역시 제물포구 항동1가,51,27,24,52.9412,22,81.4815,22,81.4815,15,10,5,66.6667,9,90.0000,9,90.0000,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812512000,인천광역시 제물포구 항동2가,1,1,0,100.0000,0,0.0000,0,0.0000,0,0,0,,0,,0,,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812512100,인천광역시 제물포구 항동3가,3,2,1,66.6667,1,50.0000,1,50.0000,0,0,0,,0,,0,,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812512200,인천광역시 제물포구 항동4가,6,4,2,66.6667,4,100.0000,2,50.0000,0,0,0,,0,,0,,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812512300,인천광역시 제물포구 항동5가,4,3,1,75.0000,0,0.0000,0,0.0000,0,0,0,,0,,0,,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812512400,인천광역시 제물포구 항동6가,5,3,2,60.0000,2,66.6667,1,33.3333,0,0,0,,0,,0,,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812512500,인천광역시 제물포구 항동7가,672,649,23,96.5774,358,55.1618,199,30.6626,47,47,0,100.0000,35,74.4681,25,53.1915,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812512600,인천광역시 제물포구 송학동1가,25,15,10,60.0000,13,86.6667,11,73.3333,7,3,4,42.8571,3,100.0000,3,100.0000,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812512700,인천광역시 제물포구 송학동2가,73,53,20,72.6027,45,84.9057,28,52.8302,50,35,15,70.0000,31,88.5714,17,48.5714,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812512800,인천광역시 제물포구 송학동3가,116,67,49,57.7586,56,83.5821,46,68.6567,72,41,31,56.9444,35,85.3659,31,75.6098,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812512900,인천광역시 제물포구 사동,97,85,12,87.6289,59,69.4118,51,60.0000,37,30,7,81.0811,21,70.0000,19,63.3333,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812513000,인천광역시 제물포구 신생동,140,119,21,85.0000,95,79.8319,83,69.7479,59,50,9,84.7458,36,72.0000,31,62.0000,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812513100,인천광역시 제물포구 신포동,304,174,130,57.2368,165,94.8276,154,88.5057,72,60,12,83.3333,59,98.3333,59,98.3333,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812513200,인천광역시 제물포구 답동,198,133,65,67.1717,107,80.4511,81,60.9023,131,86,45,65.6489,72,83.7209,53,61.6279,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812513300,인천광역시 제물포구 신흥동1가,276,139,137,50.3623,103,74.1007,63,45.3237,213,95,118,44.6009,70,73.6842,45,47.3684,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812513400,인천광역시 제물포구 신흥동2가,156,118,38,75.6410,90,76.2712,40,33.8983,97,75,22,77.3196,56,74.6667,19,25.3333,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812513500,인천광역시 제물포구 신흥동3가,679,629,50,92.6362,244,38.7917,150,23.8474,113,89,24,78.7611,74,83.1461,66,74.1573,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812513600,인천광역시 제물포구 선화동,232,169,63,72.8448,147,86.9822,96,56.8047,163,110,53,67.4847,92,83.6364,60,54.5455,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812513700,인천광역시 제물포구 유동,192,124,68,64.5833,121,97.5806,106,85.4839,151,94,57,62.2517,93,98.9362,83,88.2979,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812513800,인천광역시 제물포구 율목동,375,300,75,80.0000,271,90.3333,77,25.6667,329,265,64,80.5471,241,90.9434,60,22.6415,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812513900,인천광역시 제물포구 도원동,654,503,151,76.9113,434,86.2823,193,38.3698,545,417,128,76.5138,366,87.7698,154,36.9305,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812514000,인천광역시 제물포구 내동,317,230,87,72.5552,207,90.0000,147,63.9130,161,104,57,64.5963,91,87.5000,60,57.6923,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812514100,인천광역시 제물포구 경동,348,335,13,96.2644,307,91.6418,267,79.7015,164,161,3,98.1707,153,95.0311,128,79.5031,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812514200,인천광역시 제물포구 용동,158,95,63,60.1266,84,88.4211,70,73.6842,69,36,33,52.1739,28,77.7778,24,66.6667,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812514300,인천광역시 제물포구 인현동,236,172,64,72.8814,163,94.7674,142,82.5581,31,24,7,77.4194,23,95.8333,21,87.5000,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812514400,인천광역시 제물포구 전동,374,259,115,69.2513,197,76.0618,131,50.5792,283,198,85,69.9647,153,77.2727,102,51.5152,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812514500,인천광역시 제물포구 북성동1가,586,520,66,88.7372,412,79.2308,348,66.9231,256,242,14,94.5312,236,97.5207,222,91.7355,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812514600,인천광역시 제물포구 북성동2가,233,125,108,53.6481,92,73.6000,65,52.0000,179,87,92,48.6034,59,67.8161,39,44.8276,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812514700,인천광역시 제물포구 북성동3가,147,113,34,76.8707,91,80.5310,88,77.8761,115,84,31,73.0435,73,86.9048,71,84.5238,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812514800,인천광역시 제물포구 선린동,92,58,34,63.0435,49,84.4828,42,72.4138,39,27,12,69.2308,21,77.7778,18,66.6667,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812514900,인천광역시 제물포구 송월동1가,399,292,107,73.1830,252,86.3014,127,43.4932,369,264,105,71.5447,225,85.2273,114,43.1818,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812515000,인천광역시 제물포구 송월동2가,67,41,26,61.1940,32,78.0488,20,48.7805,49,28,21,57.1429,21,75.0000,13,46.4286,2026-08-05,legal_dong; not administrative_dong
28125,제물포구,2812515100,인천광역시 제물포구 송월동3가,207,130,77,62.8019,98,75.3846,73,56.1538,169,102,67,60.3550,83,81.3725,60,58.8235,2026-08-05,legal_dong; not administrative_dong
28155,영종구,2815510100,인천광역시 영종구 중산동,804,727,77,90.4229,28,3.8514,19,2.6135,511,455,56,89.0411,13,2.8571,7,1.5385,2026-08-05,legal_dong; not administrative_dong
28155,영종구,2815510200,인천광역시 영종구 운남동,876,818,58,93.3790,13,1.5892,7,0.8557,588,547,41,93.0272,8,1.4625,3,0.5484,2026-08-05,legal_dong; not administrative_dong
28155,영종구,2815510300,인천광역시 영종구 운서동,1261,1258,3,99.7621,9,0.7154,1,0.0795,1057,1054,3,99.7162,1,0.0949,1,0.0949,2026-08-05,legal_dong; not administrative_dong
28155,영종구,2815510400,인천광역시 영종구 운북동,980,903,77,92.1429,27,2.9900,17,1.8826,641,577,64,90.0156,16,2.7730,10,1.7331,2026-08-05,legal_dong; not administrative_dong
28155,영종구,2815510500,인천광역시 영종구 을왕동,686,665,21,96.9388,121,18.1955,116,17.4436,213,205,8,96.2441,103,50.2439,100,48.7805,2026-08-05,legal_dong; not administrative_dong
28155,영종구,2815510600,인천광역시 영종구 남북동,329,308,21,93.6170,73,23.7013,63,20.4545,153,137,16,89.5425,59,43.0657,56,40.8759,2026-08-05,legal_dong; not administrative_dong
28155,영종구,2815510700,인천광역시 영종구 덕교동,175,169,6,96.5714,97,57.3964,94,55.6213,92,89,3,96.7391,75,84.2697,74,83.1461,2026-08-05,legal_dong; not administrative_dong
28155,영종구,2815510800,인천광역시 영종구 무의동,247,225,22,91.0931,59,26.2222,52,23.1111,114,102,12,89.4737,45,44.1176,41,40.1961,2026-08-05,legal_dong; not administrative_dong
28177,미추홀구,2817710100,인천광역시 미추홀구 숭의동,3373,2890,483,85.6804,1927,66.6782,1335,46.1938,2636,2217,419,84.1047,1490,67.2079,1026,46.2788,2026-08-05,legal_dong; not administrative_dong
28177,미추홀구,2817710200,인천광역시 미추홀구 용현동,6012,5600,412,93.1470,3864,69.0000,2507,44.7679,4660,4298,362,92.2318,3185,74.1042,2131,49.5812,2026-08-05,legal_dong; not administrative_dong
28177,미추홀구,2817710300,인천광역시 미추홀구 학익동,1499,1397,102,93.1955,806,57.6951,382,27.3443,900,828,72,92.0000,553,66.7874,246,29.7101,2026-08-05,legal_dong; not administrative_dong
28177,미추홀구,2817710400,인천광역시 미추홀구 도화동,3694,3488,206,94.4234,2410,69.0940,1674,47.9931,2585,2413,172,93.3462,1875,77.7041,1306,54.1235,2026-08-05,legal_dong; not administrative_dong
28177,미추홀구,2817710500,인천광역시 미추홀구 주안동,10520,10053,467,95.5608,7719,76.7830,4667,46.4240,8104,7690,414,94.8914,6060,78.8036,3730,48.5046,2026-08-05,legal_dong; not administrative_dong
28177,미추홀구,2817710600,인천광역시 미추홀구 관교동,600,596,4,99.3333,533,89.4295,38,6.3758,507,506,1,99.8028,466,92.0949,36,7.1146,2026-08-05,legal_dong; not administrative_dong
28177,미추홀구,2817710700,인천광역시 미추홀구 문학동,872,868,4,99.5413,193,22.2350,66,7.6037,713,709,4,99.4390,148,20.8745,59,8.3216,2026-08-05,legal_dong; not administrative_dong
28185,연수구,2818510100,인천광역시 연수구 옥련동,1337,1318,19,98.5789,847,64.2640,320,24.2792,864,855,9,98.9583,596,69.7076,239,27.9532,2026-08-05,legal_dong; not administrative_dong
28185,연수구,2818510200,인천광역시 연수구 선학동,567,553,14,97.5309,407,73.5986,11,1.9892,399,390,9,97.7444,304,77.9487,7,1.7949,2026-08-05,legal_dong; not administrative_dong
28185,연수구,2818510300,인천광역시 연수구 연수동,1678,1670,8,99.5232,1522,91.1377,3,0.1796,1431,1426,5,99.6506,1390,97.4755,1,0.0701,2026-08-05,legal_dong; not administrative_dong
28185,연수구,2818510400,인천광역시 연수구 청학동,1380,1370,10,99.2754,1066,77.8102,301,21.9708,1202,1195,7,99.4176,958,80.1674,286,23.9331,2026-08-05,legal_dong; not administrative_dong
28185,연수구,2818510500,인천광역시 연수구 동춘동,811,796,15,98.1504,613,77.0101,41,5.1508,456,453,3,99.3421,409,90.2870,31,6.8433,2026-08-05,legal_dong; not administrative_dong
28185,연수구,2818510600,인천광역시 연수구 송도동,611,597,14,97.7087,0,0.0000,0,0.0000,262,262,0,100.0000,0,0.0000,0,0.0000,2026-08-05,legal_dong; not administrative_dong
28200,남동구,2820010100,인천광역시 남동구 구월동,4905,4852,53,98.9195,3554,73.2481,517,10.6554,3408,3393,15,99.5599,2559,75.4200,377,11.1111,2026-08-05,legal_dong; not administrative_dong
28200,남동구,2820010200,인천광역시 남동구 간석동,3928,3885,43,98.9053,2828,72.7928,1231,31.6860,2705,2678,27,99.0018,1973,73.6744,906,33.8312,2026-08-05,legal_dong; not administrative_dong
28200,남동구,2820010300,인천광역시 남동구 만수동,4420,4375,45,98.9819,3468,79.2686,875,20.0000,3232,3204,28,99.1337,2601,81.1798,675,21.0674,2026-08-05,legal_dong; not administrative_dong
28200,남동구,2820010400,인천광역시 남동구 장수동,431,424,7,98.3759,75,17.6887,33,7.7830,255,251,4,98.4314,42,16.7331,27,10.7570,2026-08-05,legal_dong; not administrative_dong
28200,남동구,2820010500,인천광역시 남동구 서창동,497,494,3,99.3964,21,4.2510,7,1.4170,365,365,0,100.0000,14,3.8356,2,0.5479,2026-08-05,legal_dong; not administrative_dong
28200,남동구,2820010600,인천광역시 남동구 운연동,196,174,22,88.7755,52,29.8851,24,13.7931,62,45,17,72.5806,27,60.0000,12,26.6667,2026-08-05,legal_dong; not administrative_dong
28200,남동구,2820010700,인천광역시 남동구 남촌동,1215,1150,65,94.6502,773,67.2174,15,1.3043,461,458,3,99.3492,379,82.7511,3,0.6550,2026-08-05,legal_dong; not administrative_dong
28200,남동구,2820010800,인천광역시 남동구 수산동,214,198,16,92.5234,43,21.7172,24,12.1212,86,72,14,83.7209,30,41.6667,14,19.4444,2026-08-05,legal_dong; not administrative_dong
28200,남동구,2820010900,인천광역시 남동구 도림동,426,419,7,98.3568,98,23.3890,26,6.2053,242,238,4,98.3471,61,25.6303,10,4.2017,2026-08-05,legal_dong; not administrative_dong
28200,남동구,2820011000,인천광역시 남동구 논현동,1640,1595,45,97.2561,320,20.0627,26,1.6301,847,846,1,99.8819,65,7.6832,15,1.7730,2026-08-05,legal_dong; not administrative_dong
28200,남동구,2820011100,인천광역시 남동구 고잔동,3457,3222,235,93.2022,1711,53.1037,12,0.3724,34,26,8,76.4706,19,73.0769,6,23.0769,2026-08-05,legal_dong; not administrative_dong
28237,부평구,2823710100,인천광역시 부평구 부평동,6114,5924,190,96.8924,3399,57.3768,1425,24.0547,4005,3877,128,96.8040,2248,57.9830,876,22.5948,2026-08-05,legal_dong; not administrative_dong
28237,부평구,2823710200,인천광역시 부평구 십정동,3696,3630,66,98.2143,2715,74.7934,1326,36.5289,2758,2704,54,98.0421,2143,79.2530,1100,40.6805,2026-08-05,legal_dong; not administrative_dong
28237,부평구,2823710300,인천광역시 부평구 산곡동,1882,1817,65,96.5462,1365,75.1238,556,30.5999,1340,1294,46,96.5672,1056,81.6074,489,37.7898,2026-08-05,legal_dong; not administrative_dong
28237,부평구,2823710400,인천광역시 부평구 청천동,2216,2173,43,98.0596,1185,54.5329,611,28.1178,904,895,9,99.0044,563,62.9050,296,33.0726,2026-08-05,legal_dong; not administrative_dong
28237,부평구,2823710500,인천광역시 부평구 삼산동,975,970,5,99.4872,351,36.1856,78,8.0412,644,643,1,99.8447,257,39.9689,61,9.4868,2026-08-05,legal_dong; not administrative_dong
28237,부평구,2823710600,인천광역시 부평구 갈산동,1218,1210,8,99.3432,915,75.6198,241,19.9174,873,869,4,99.5418,712,81.9333,172,19.7929,2026-08-05,legal_dong; not administrative_dong
