geometry_zone_id,geometry_adm_cd_20250630,geometry_district_name_20250630,geometry_dong_name_20250630,geometry_base_date,current_admin_reference_date,current_district_name_20260701,current_admin_dong_codes_20260701,current_admin_dong_names_20260701,current_admin_dong_count,map_unit_status,mapping_methods,mapping_confidence,aggregation_required,metric_handling,population_reference_date,household_reference_date,total_population,population_age_65_plus,total_households,one_person_households,one_person_households_age_65_plus,population_age_65_plus_share,one_person_household_share,age_65_plus_one_person_share_of_age_65_plus_population,representative_longitude,representative_latitude,representative_point_method,bubble_metric_name,bubble_metric_label_ko,bubble_metric_value,bubble_metric_interpretation
vworld_sgis_20250630:23010520,23010520,중구,연안동,20250630,20260701,제물포구,2812552000,연안동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,4945,1795,2828,1565,648,0.362993,0.553395,0.361003,126.59985687,37.44765965,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),648,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23010530,23010530,중구,신포동,20250630,20260701,제물포구,2812551000,신포동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,4398,1478,2470,1391,653,0.336062,0.563158,0.441813,126.62701628,37.46691339,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),653,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23010540,23010540,중구,신흥동,20250630,20260701,제물포구,2812553000,신흥동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,14062,3453,7056,3134,1090,0.245555,0.444161,0.315668,126.62676457,37.44905660,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),1090,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23010560,23010560,중구,도원동,20250630,20260701,제물포구,2812554000,도원동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,3374,1389,1961,1086,591,0.411678,0.553799,0.425486,126.64008612,37.46710709,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),591,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23010570,23010570,중구,율목동,20250630,20260701,제물포구,2812555000,율목동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,3036,1058,1892,1154,533,0.348485,0.609937,0.503781,126.63501739,37.47013810,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),533,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23010580,23010580,중구,동인천동,20250630,20260701,제물포구,2812556000,동인천동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,5168,1969,3274,2107,992,0.380998,0.643555,0.503809,126.62818274,37.47520494,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),992,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23010630,23010630,중구,용유동,20250630,20260701,영종구,2815556000,용유동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,3339,1558,2222,1442,678,0.466607,0.648965,0.435173,126.39460997,37.45691086,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),678,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23010640,23010640,중구,운서동,20250630,20260701,영종구,2815554000|2815555000,운서1동|운서2동,2,aggregated_split,post_snapshot_split_aggregate,high,true,sum_additive_counts_then_recompute_rates,2026-06-30,2026-07-31,40279,4181,23891,15361,1183,0.103801,0.642962,0.282947,126.45875998,37.46877850,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),1183,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23010650,23010650,중구,영종동,20250630,20260701,영종구,2815551000,영종동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,30702,4958,15689,7474,1492,0.161488,0.476385,0.300928,126.53329788,37.49986602,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),1492,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23010670,23010670,중구,개항동,20250630,20260701,제물포구,2812557000,개항동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,6426,2285,3815,2173,906,0.355587,0.569594,0.396499,126.60334558,37.47630428,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),906,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
