program_id,category_code,category,title,status,description,gender,lifecycle,region,intro,period,content,target,scale,apply_period,apply_method,contact,updated_date,source_url
A2026010200300200400100289,OHH020101,정서,1로와 친구,접수중,"1인가구 상담, 신규회원 프로그램",전체,전체,영종구,"1인가구 상담, 신규회원 프로그램",2026-02-01~2026-11-30,"1인가구 욕구파악 및 정보제공
· 신규 1인가구 프로그램",인천시 영종구 거주 1인가구 누구나,,2026-02-02 ~ 2026-11-30,문의처로 전화신청/아래 링크 접속 후 신청,영종구가족센터 가족사업2팀 / 032-245-7775,2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026010200300200400100289
A2026040700300200400100376,OHH020101,정서,1로와 친구(한지공예),접수마감,한지공예 교실,전체,전체,중구,한지공예 교실,2026-04-20~2026-04-27,,"1인가구 누구나 선착순 10명
* 신규참여자 우선모집",,2026-04-06 ~ 2026-04-10,중구가족센터 홈페이지 또는 전화문의,인천중구가족센터 032)245-7775,2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026040700300200400100376
A2026051400300200400100381,OHH020101,정서,1로와 친구_지화꽃체험,접수마감,지화꽃공예 체험,전체,전체,중구,지화꽃공예 체험,2026-05-16 ~ 2026-05-16,,1인가구 누구나(신규회원 우선모집),14명,2026-05-06 ~ 2026-05-15,중구가족센터 홈페이지 신청,중구가족센터 032-245-7775,2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026051400300200400100381
A2026022300300200400600324,OHH020101,정서,1인 가구 사회관계망 프로그램 ‘동고동락(同苦同樂)’,접수중,사회적 고립 위험이 있는 1인 가구를 대상으로 집단·소그룹 활동을 운영하여 이웃 간 관계를 형성하고 사회적 고립감 완화를 지원하는 사회관계망 형성 사업,전체,전체,남동구,사회적 고립 위험이 있는 1인 가구를 대상으로 집단·소그룹 활동을 운영하여 이웃 간 관계를 형성하고 사회적 고립감 완화를 지원하는 사회관계망 형성 사업,2026. 04. 01. ~ 2026. 11. 31.,"- 집단 프로그램(관계형성 활동, 만들기 체험 등)
- 동별 소그룹 활동(산책, 만들기, 보드게임, 식사 등 참여자 욕구 기반 활동)
- 개별 상담 및 안부 확인을 통한 지속적인 관계 형성 지원","인천광역시 남동구(구월1·2·3·4동, 남촌도림동) 거주중인 사회적 고립 위험이 있는 1인가구",,2026-04-01 ~ 2026-10-31,"- 남동구 또는 행정복지센터를 통한 추천
- 본 기관 이용자 중 필요성이 인정되는 자",구월종합사회복지관 032-463-9900,2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026022300300200400600324
A2026022600300200400200340,OHH020101,정서,"1인가구 「마음회복 심리지원」(전문심리상담, 프로그램)",접수중,동구 주민 1인가구 대상 마음회복 심리지원,전체,전체,동구,동구 주민 1인가구 대상 마음회복 심리지원,2026-03-02~2026-11-30,"① 전문심리상담(마음회복 심리상담) 8회기 지원
② 1로 모여봐요(마음회복 프로그램) 8회기 지원","<아래 사항 모두 충족하는 자>
① 인천시 동구 주민 중 1인가구
② 본 센터 정신건강검사 결과 심리지원 필요 대상으로 확인되는 자",,2026-02-02 ~ 2026-11-30,"① 문의처 전화신청(유선신청)
② 아래 링크 접속 후 신청(온라인 신청)",인천동구정신건강복지센터 / 032-765-3690,2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026022600300200400200340
A2026022000300200400500307,OHH020101,정서,1인가구 관계망 형성 지원사업,접수마감,중장년 1인가구를 대상으로 관계형성기술 강의 및 실습을 통한 역량 강화와 관계망 형성 지원,전체,중장년,연수구,중장년 1인가구를 대상으로 관계형성기술 강의 및 실습을 통한 역량 강화와 관계망 형성 지원,2026. 3. 5. ~ 2026. 11. 25.,"- 관계망 형성 관련 강의, 실습 참여
* 소통 교육, 스트레스관리 교육, 노후대비 교육
* 강의 종료 후 참여자 간 실습 및 관계망 형성 시간",연수구 거주 65세 미만 1인가구 25명,,2026-02-02 ~ 2026-02-26,주민등록등본(최근 3개월 이내 발급한) 지참 후 복지관 방문 신청,연수종합사회복지관 서비스제공2팀 / 032-811-8012,2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026022000300200400500307
A2026010200300200400800268,OHH020101,정서,1인가구 나들이,접수예정,1인가구 사회적관계망 형성을 위한 단체 여가활동,전체,전체,계양구,1인가구 사회적관계망 형성을 위한 단체 여가활동,2026. 09. *세부일정 미정,"○ 기간 : 2026. 09. *세부일정 미정
○ 장소 : 계양구가족센터 또는 개별장소
○ 내용 : 단체 나들이 활동 지원을 통한 1인가구 간의
교류·소통 기회 확대 및 여가욕구 충족",계양구 거주 1인가구,,2026-09-01 ~ 2026-09-05,계양구가족센터 홈페이지 프로그램 신청,계양구가족센터(032-547-1017(내선201)),2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026010200300200400800268
A2026040300300200400000375,OHH020101,정서,1인가구 맞춤형 심리지원 프로그램,접수중,심리·정서적 지원이 필요한 1인가구의 마음건강을 지원하기 위해 1인가구 특성에 맞는 생애주기별 맞춤형 프로그램을 운영하고 있습니다,전체,전체,인천광역시 전체,심리·정서적 지원이 필요한 1인가구의 마음건강을 지원하기 위해 1인가구 특성에 맞는 생애주기별 맞춤형 프로그램을 운영하고 있습니다,연중,"퍼스널 컬러, 아로마테라피, 디퓨저, 핸드드립, 명상 자살예방교육 등 다양한 힐링 프로그램으로 구성",인천광역시 내 거주 1인가구,,2026-01-01 ~ 2026-12-31,,인천광역시자살예방센터 032)468-9917,2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026040300300200400000375
A2026071600300200401100477,OHH020101,정서,1인가구 심리정서지원사업(노년기),접수중,1인가구 반찬나눔 및 심리정서 말벗 서비스,전체,노년,옹진군,1인가구 반찬나눔 및 심리정서 말벗 서비스,2026.01.01. ~ 2026.10.31.,자원봉사자들이 반찬을 만들어 노년기 1인가구 가정에 배달하고 심리정서 지원을 위한 말벗 서비스 제공,옹진군 거주 노년 1인가구,,2026-01-01 ~ 2026-12-31,옹진군가족센터 포털 홈페이지 신청,옹진군가족센터 프로그램 담당자 070-8832-3918,2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026071600300200401100477
A2026022300300200400600328,OHH020101,정서,1인가구 은둔형 외톨이 지원사업 ‘쨍하고 해뜰날’,접수마감,고립가구의 일상회복과 관계망형성 지원사업,전체,중장년,남동구,고립가구의 일상회복과 관계망형성 지원사업,2026. 2. 2. ~ 2026. 12. 31.,지역밀착형 1인가구 발굴 및 서비스 지원,중장년 1인가구(만40세 이상 ~ 만65세 이하),,2026-01-02 ~ 2026-03-31,구월1동행정복지센터 및 주민 의뢰를 통한 선정,구월종합사회복지관 032-463-9900 (직통: 070-4942-5471),2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026022300300200400600328
