program_id,category_code,category,title,status,description,gender,lifecycle,region,intro,period,content,target,scale,apply_period,apply_method,contact,updated_date,source_url,relevance_domains,relevance_keywords
A2026022300300200400600324,OHH020101,정서,1인 가구 사회관계망 프로그램 ‘동고동락(同苦同樂)’,접수중,사회적 고립 위험이 있는 1인 가구를 대상으로 집단·소그룹 활동을 운영하여 이웃 간 관계를 형성하고 사회적 고립감 완화를 지원하는 사회관계망 형성 사업,전체,전체,남동구,사회적 고립 위험이 있는 1인 가구를 대상으로 집단·소그룹 활동을 운영하여 이웃 간 관계를 형성하고 사회적 고립감 완화를 지원하는 사회관계망 형성 사업,2026. 04. 01. ~ 2026. 11. 31.,"- 집단 프로그램(관계형성 활동, 만들기 체험 등)
- 동별 소그룹 활동(산책, 만들기, 보드게임, 식사 등 참여자 욕구 기반 활동)
- 개별 상담 및 안부 확인을 통한 지속적인 관계 형성 지원","인천광역시 남동구(구월1·2·3·4동, 남촌도림동) 거주중인 사회적 고립 위험이 있는 1인가구",,2026-04-01 ~ 2026-10-31,"- 남동구 또는 행정복지센터를 통한 추천
- 본 기관 이용자 중 필요성이 인정되는 자",구월종합사회복지관 032-463-9900,2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026022300300200400600324,고립·관계망 | 돌봄·발굴,고립 | 관계 형성 | 관계망 형성 | 안부
A2026022000300200400500307,OHH020101,정서,1인가구 관계망 형성 지원사업,접수마감,중장년 1인가구를 대상으로 관계형성기술 강의 및 실습을 통한 역량 강화와 관계망 형성 지원,전체,중장년,연수구,중장년 1인가구를 대상으로 관계형성기술 강의 및 실습을 통한 역량 강화와 관계망 형성 지원,2026. 3. 5. ~ 2026. 11. 25.,"- 관계망 형성 관련 강의, 실습 참여
* 소통 교육, 스트레스관리 교육, 노후대비 교육
* 강의 종료 후 참여자 간 실습 및 관계망 형성 시간",연수구 거주 65세 미만 1인가구 25명,,2026-02-02 ~ 2026-02-26,주민등록등본(최근 3개월 이내 발급한) 지참 후 복지관 방문 신청,연수종합사회복지관 서비스제공2팀 / 032-811-8012,2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026022000300200400500307,고립·관계망,관계망 형성
A2026010200300200400800268,OHH020101,정서,1인가구 나들이,접수예정,1인가구 사회적관계망 형성을 위한 단체 여가활동,전체,전체,계양구,1인가구 사회적관계망 형성을 위한 단체 여가활동,2026. 09. *세부일정 미정,"○ 기간 : 2026. 09. *세부일정 미정
○ 장소 : 계양구가족센터 또는 개별장소
○ 내용 : 단체 나들이 활동 지원을 통한 1인가구 간의
교류·소통 기회 확대 및 여가욕구 충족",계양구 거주 1인가구,,2026-09-01 ~ 2026-09-05,계양구가족센터 홈페이지 프로그램 신청,계양구가족센터(032-547-1017(내선201)),2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026010200300200400800268,고립·관계망,사회적관계망 | 관계망 형성
A2026071600300200401100477,OHH020101,정서,1인가구 심리정서지원사업(노년기),접수중,1인가구 반찬나눔 및 심리정서 말벗 서비스,전체,노년,옹진군,1인가구 반찬나눔 및 심리정서 말벗 서비스,2026.01.01. ~ 2026.10.31.,자원봉사자들이 반찬을 만들어 노년기 1인가구 가정에 배달하고 심리정서 지원을 위한 말벗 서비스 제공,옹진군 거주 노년 1인가구,,2026-01-01 ~ 2026-12-31,옹진군가족센터 포털 홈페이지 신청,옹진군가족센터 프로그램 담당자 070-8832-3918,2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026071600300200401100477,돌봄·발굴,말벗 | 반찬
A2026022300300200400600328,OHH020101,정서,1인가구 은둔형 외톨이 지원사업 ‘쨍하고 해뜰날’,접수마감,고립가구의 일상회복과 관계망형성 지원사업,전체,중장년,남동구,고립가구의 일상회복과 관계망형성 지원사업,2026. 2. 2. ~ 2026. 12. 31.,지역밀착형 1인가구 발굴 및 서비스 지원,중장년 1인가구(만40세 이상 ~ 만65세 이하),,2026-01-02 ~ 2026-03-31,구월1동행정복지센터 및 주민 의뢰를 통한 선정,구월종합사회복지관 032-463-9900 (직통: 070-4942-5471),2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026022300300200400600328,고립·관계망,고립 | 은둔
A2026022000300200400700313,OHH020101,정서,1인가구 중장년프로그램 [싱글벙글],접수중,1인가구 중장년 일상생활 역량 강화 및 사회적 관계망 형성을 위한 프로그램,전체,중장년,부평구,1인가구 중장년 일상생활 역량 강화 및 사회적 관계망 형성을 위한 프로그램,2026. 03. 11. ~ 2026. 07. 01. (상반기) / 2026. 08. 01. ~ 2026. 11. 18. (하반기),"중장년 1인 가구를 위한 일상생활교육, 건강교육, 요리활동, 힐링활동 등 모임활동","부평구 삼산동, 부개동 거주 및 생활권 중장년 1인 가구(만 40세 이상 ~ 만 65세 이하)",,2026-02-19 ~ 2026-11-18,전화 및 온라인(https://naver.me/FM9WPdUj) 신청,삼산종합사회복지관 부개3동팀 / 032-529-8607,2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026022000300200400700313,고립·관계망,사회적 관계망 | 관계망 형성
A2026022600300200400200341,OHH020101,정서,"2026년 동 지역사회보장협의체 특화사업 「다시 봄(Spring/See), 송림」",접수마감,"중장년 1인 가구의 사회적 고립을 예방하기 위해 5개 분야 사업(정서 지원, 관계 형성 등)을 통합 지원하여 사회적 관계망 형성",전체,중장년,동구,"중장년 1인 가구의 사회적 고립을 예방하기 위해 5개 분야 사업(정서 지원, 관계 형성 등)을 통합 지원하여 사회적 관계망 형성",2026. 3. ~ 2026. 11.,"- 내 마음을 보다(정서) : 반려식물 및 감정 메모지 전달을 통한 관계 형성
- 생활에 향기를 입히다(환경) : 전문 업체를 통한 세탁기 분해 청소 및 주거 위생 관리
- 삶에 생기를 더하다(활력) : 홈 파밍 재배 키트 및 문화체험(공연 관람) 지원
- 식탁에 온기를 채우다(식생활) : 부식품 및 밀키트 지원(연 4회)
- 일촌 맺기 및 정기 방문(관계) : 가정방문을 통한 안부 확인 및 고립감 해소","인천시 동구 송림4동 거주, 중장년 1인가구(40세 이상 ~ 65세 이하)",,2026-03-01 ~ 2026-04-30,동구 송림4동 행정복지센터 찾아가는 보건복지팀으로 문의,동구 송림4동 행정복지센터 찾아가는 보건복지팀 / ☎032-760-4975,2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026022600300200400200341,고립·관계망 | 돌봄·발굴,고립 | 사회적 관계망 | 관계 형성 | 관계망 형성 | 안부
A2026022400300200400500336,OHH020101,정서,[행복 동행 사업] 1인가구 중장년 수다살롱,접수마감,중장년 1인가구를 대상으로 소규모 관심분야 동아리 운영 및 정기적인 교류 관계 형성,전체,중장년,연수구,중장년 1인가구를 대상으로 소규모 관심분야 동아리 운영 및 정기적인 교류 관계 형성,2026-04-01~2026-10-31,중장년 1인가구 동아리 구성 및 활동비 지원,연수구 거주 중장년 1인가구(만40세 이상 ~ 만64세 이하),,2026-04-01 ~ 2026-05-31,연수구가족센터 홈페이지 또는 방문접수,연수구가족센터 070-4412-0200,2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026022400300200400500336,고립·관계망,관계 형성
A2026072200300200400500486,OHH020101,정서,[행복 동행 사업] 1인가구 중장년 수다살롱,접수중,중장년 1인가구의 건강 증진 및 사회적 관계망 형성을 위한 공예 소모임 운영,전체,중장년,연수구,중장년 1인가구의 건강 증진 및 사회적 관계망 형성을 위한 공예 소모임 운영,2026. 9. 1. ~ 2026. 11. 30.,중장년 1인가구 동아리 구성 및 활동비 지원,인천시 거주 중장년 1인가구(만 40세~64세 이하),,2026-08-10 ~ 2026-08-31,유선 연락 및 연수구가족센터 홈페이지 신청,연수구가족센터 상담사례관리팀 / 070-4412-0200,2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026072200300200400500486,고립·관계망,사회적 관계망 | 관계망 형성
A2026033100300200400000351,OHH020101,정서,[행복 동행 사업] 중장년 1인가구 수다살롱,접수중,(사업목적) 중장년 1인가구 관심분야 동아리 구성 및 지원을 통한 사회적 관계망 형성,전체,중장년,강화군 | 연수구 | 부평구 | 서구,(사업목적) 중장년 1인가구 관심분야 동아리 구성 및 지원을 통한 사회적 관계망 형성,연중,"중장년 1인가구 동아리 구성(1개 모임당 5명 내외)
정기적인 모임과 활동을 통한 사회 참여 활성화(월 2회 이상)
주제별, 연령별 모임 지원으로 소통과 여가의 장 마련","인천시 거주 중장년(40~64세) 1인가구
- 강화군, 연수구, 부평구, 서구",군구별 4개 내외 동아리,2026-01-01 ~ 2026-12-31,"군구 가족센터 전화, 홈페이지","강화군 가족센터(032-932-1005), 연수구 가족센터(032-851-2740), 부평구 건강가정지원센터(032-508-0121), 서구 가족센터(032-569-1560)",2026-03-20,https://www.incheon.go.kr/1in/OHH020108/view?oneHouseHoldId=A2026033100300200400000351,고립·관계망,사회적 관계망 | 관계망 형성
