admin_dong_code_20260701,district_name_20260701,admin_dong_name,population_reference_date,household_reference_date,privacy_cell_status,total_population,population_age_65_plus,total_households,one_person_households,one_person_households_age_65_plus,population_age_65_plus_share,one_person_household_share,age_65_plus_one_person_share_of_age_65_plus_population
2812551000,제물포구,신포동,2026-06-30,2026-07-31,publishable_aggregate,4398,1478,2470,1391,653,0.336062,0.563158,0.441813
2812552000,제물포구,연안동,2026-06-30,2026-07-31,publishable_aggregate,4945,1795,2828,1565,648,0.362993,0.553395,0.361003
2812553000,제물포구,신흥동,2026-06-30,2026-07-31,publishable_aggregate,14062,3453,7056,3134,1090,0.245555,0.444161,0.315668
2812554000,제물포구,도원동,2026-06-30,2026-07-31,publishable_aggregate,3374,1389,1961,1086,591,0.411678,0.553799,0.425486
2812555000,제물포구,율목동,2026-06-30,2026-07-31,publishable_aggregate,3036,1058,1892,1154,533,0.348485,0.609937,0.503781
2812556000,제물포구,동인천동,2026-06-30,2026-07-31,publishable_aggregate,5168,1969,3274,2107,992,0.380998,0.643555,0.503809
2812557000,제물포구,개항동,2026-06-30,2026-07-31,publishable_aggregate,6426,2285,3815,2173,906,0.355587,0.569594,0.396499
2812558000,제물포구,만석동,2026-06-30,2026-07-31,publishable_aggregate,6027,1852,3046,1351,674,0.307284,0.443533,0.363931
2812559000,제물포구,화수1.화평동,2026-06-30,2026-07-31,publishable_aggregate,5112,1894,2653,1233,696,0.370501,0.464757,0.367476
2812560000,제물포구,화수2동,2026-06-30,2026-07-31,publishable_aggregate,6548,2493,3551,1770,932,0.380727,0.498451,0.373847
2812561000,제물포구,송현1.2동,2026-06-30,2026-07-31,publishable_aggregate,9341,2600,4276,1536,626,0.278343,0.359214,0.240769
2812562000,제물포구,송현3동,2026-06-30,2026-07-31,publishable_aggregate,2554,1040,1512,844,455,0.407204,0.558201,0.4375
2812563000,제물포구,송림1동,2026-06-30,2026-07-31,publishable_aggregate,6586,1207,2830,832,234,0.183268,0.293993,0.193869
2812564000,제물포구,송림2동,2026-06-30,2026-07-31,publishable_aggregate,1136,538,731,477,281,0.473592,0.652531,0.522305
2812565000,제물포구,송림3·5동,2026-06-30,2026-07-31,publishable_aggregate,5058,1427,2311,860,384,0.282127,0.372133,0.269096
2812566000,제물포구,송림4동,2026-06-30,2026-07-31,publishable_aggregate,5857,1061,2491,707,195,0.181151,0.283822,0.183789
2812567000,제물포구,송림6동,2026-06-30,2026-07-31,publishable_aggregate,7618,1833,3515,1311,512,0.240614,0.372973,0.279324
2812568000,제물포구,금창동,2026-06-30,2026-07-31,publishable_aggregate,2089,936,1219,678,397,0.448061,0.556194,0.424145
2815551000,영종구,영종동,2026-06-30,2026-07-31,publishable_aggregate,30702,4958,15689,7474,1492,0.161488,0.476385,0.300928
2815552000,영종구,영종1동,2026-06-30,2026-07-31,publishable_aggregate,35752,3565,14640,4443,755,0.099715,0.303484,0.211781
2815553000,영종구,영종2동,2026-06-30,2026-07-31,publishable_aggregate,27549,2411,10889,3155,398,0.087517,0.289742,0.165077
