district_scope_20260701,district_assignment_status,public_service_facility_count,sensitive_facility_count,total_canonical_facility_count,sensitive_exact_points_published
강화군,exact_unchanged_district_name,104,90,194,0
계양구,exact_unchanged_district_name,330,117,447,0
남동구,exact_unchanged_district_name,462,154,616,0
미추홀구,exact_unchanged_district_name,388,108,496,0
부평구,exact_unchanged_district_name,361,110,471,0
서구·검단구(미배분),aggregate_only_pre_reform_seogu_cannot_be_split_without_exact_location,373,155,528,0
연수구,exact_unchanged_district_name,256,94,350,0
옹진군,exact_unchanged_district_name,23,18,41,0
제물포구,exact_pre_reform_donggu_to_jemulpogu,81,17,98,0
제물포구·영종구(미배분),aggregate_only_pre_reform_junggu_cannot_be_split_without_exact_location,105,48,153,0
