source_data_row,source_date,company_name,company_id,route_number,route_id,sequence,source_stop_name,source_stop_number,source_isc_id,segment_distance_m,cumulative_distance_m,major_via_flag,direction,normalized_stop_name,stop_match_key,match_status,match_candidate_count,same_number_candidate_count,candidate_place_ids,candidate_names,place_id,master_source_id,master_source_date,master_stop_name,source_district,district,dong,latitude,longitude,coordinate_status,valid_wgs84,in_incheon,point_status
122,2025-12-31,(주)마니버스,168016,9500,165000163,23,고속터미널(중),31018,2803390,826,42242,Y,상행,고속터미널중,31018|고속터미널중,unmatched,0,1,bus:121000020,고속터미널,,,,,,,,,,,false,false,unmatched
124,2025-12-31,(주)마니버스,168016,9500,165000163,25,논현역(중),32007,2803568,1262,44333,Y,상행,논현역중,32007|논현역중,unmatched,0,1,bus:121000013,논현역,,,,,,,,,,,false,false,unmatched
134,2025-12-31,(주)마니버스,168016,9500,165000163,35,양재역.서초문화예술회관(중),31008,2803398,554,51460,Y,하행,양재역서초문화예술회관중,31008|양재역서초문화예술회관중,unmatched,0,1,bus:121000004,양재역.서초문화예술회관,,,,,,,,,,,false,false,unmatched
979,2025-12-31,강인여객,166001,223,165000063,103,영종국제도시수자인,35891,2808573,695,61621,N,하행,영종국제도시수자인,35891|영종국제도시수자인,unmatched,0,1,bus:161000891,동원로얄듀크마리나포레,,,,,,,,,,,false,false,unmatched
1378,2025-12-31,강화교통,169002,Feb-60,165000229,43,인삼농협앞,80116,2805220,194,27450,,하행,인삼농협앞,80116|인삼농협앞,unmatched,0,1,bus:232000306,양곡사거리.양촌터미널,,,,,,,,,,,false,false,unmatched
2243,2025-12-31,강화교통,169002,800A,169000025,15,주안센트럴파라곤 아파트,37302,2802774,1630,46686,N,상행,주안센트럴파라곤아파트,37302|주안센트럴파라곤아파트,unmatched,0,1,bus:163000302,(구)주안2동치안센터,,,,,,,,,,,false,false,unmatched
2376,2025-12-31,강화교통,169002,801,169000027,17,주안센트럴파라곤 아파트,37302,2802774,1630,46678,N,상행,주안센트럴파라곤아파트,37302|주안센트럴파라곤아파트,unmatched,0,1,bus:163000302,(구)주안2동치안센터,,,,,,,,,,,false,false,unmatched
2726,2025-12-31,검단버스,161009,904-1,165000355,75,경연초중학교·청라호반써밋,89285,2807268,368,41114,,하행,경연초중학교청라호반써밋,89285|경연초중학교청라호반써밋,unmatched,0,1,bus:168001285,경연초중학교·호반베르디움6차,,,,,,,,,,,false,false,unmatched
3228,2025-12-31,검단버스,161009,인천e음22,168000037,19,주민행복센터,36152,2806182,640,6795,N,하행,주민행복센터,36152|주민행복센터,unmatched,0,1,bus:162000152,송림체육관후문,,,,,,,,,,,false,false,unmatched
3252,2025-12-31,검단버스,161009,인천e음31,168000040,7,두산위브더제니스센트럴여의 아파트,37296,2802780,186,2711,N,상행,두산위브더제니스센트럴여의아파트,37296|두산위브더제니스센트럴여의아파트,unmatched,0,1,bus:163000296,숭의초등학교,,,,,,,,,,,false,false,unmatched
3579,2025-12-31,검단버스,161009,인천e음87,168000018,24,인천검단가온중학교,42725,2804828,784,10323,N,하행,인천검단가온중학교,42725|인천검단가온중학교,unmatched,0,1,bus:168000725,신검단중학교,,,,,,,,,,,false,false,unmatched
