source_stop_number,source_stop_name,normalized_stop_name,stop_match_key,match_status,match_candidate_count,same_number_candidate_count,candidate_place_ids,candidate_names,place_id,master_source_id,master_stop_name,source_district,district,dong,latitude,longitude,coordinate_status,valid_wgs84,in_incheon,point_status,source_dates,route_row_count,distinct_route_count,distinct_route_number_count,distinct_route_direction_count,distinct_direction_count,directions,route_ids,route_numbers,major_via_yes_row_count
0,관악IC(미정차),관악ic미정차,0|관악ic미정차,matched,1,8,bus:277104695,관악IC(미정차),bus:277104695,277104695,관악IC(미정차),기타,기타,신림동,37.4688325,126.9472045,outside_incheon_bounds,true,false,valid_wgs84_outside_incheon_scope,2025-12-31,1,1,1,1,1,하행,168000057,M6461,0
0,금천(미정차),금천미정차,0|금천미정차,ambiguous,2,8,bus:277102909;bus:277104692,금천(미정차),,,,,,,,,,false,false,ambiguous,2025-12-31,2,1,1,2,2,상행;하행,168000057,M6461,0
0,봉천터널진입(미정차),봉천터널진입미정차,0|봉천터널진입미정차,matched,1,8,bus:277104694,봉천터널진입(미정차),bus:277104694,277104694,봉천터널진입(미정차),기타,기타,봉천동,37.4699218,126.9499806,outside_incheon_bounds,true,false,valid_wgs84_outside_incheon_scope,2025-12-31,1,1,1,1,1,상행,168000057,M6461,0
0,사당IC진입(미정차),사당ic진입미정차,0|사당ic진입미정차,matched,1,8,bus:277103904,사당IC진입(미정차),bus:277103904,277103904,사당IC진입(미정차),기타,기타,사당동,37.4702860,126.9833045,outside_incheon_bounds,true,false,valid_wgs84_outside_incheon_scope,2025-12-31,1,1,1,1,1,하행,168000057,M6461,0
0,사당IC출입(미정차),사당ic출입미정차,0|사당ic출입미정차,matched,1,8,bus:277103902,사당IC출입(미정차),bus:277103902,277103902,사당IC출입(미정차),기타,기타,봉천동,37.4703566,126.9842955,outside_incheon_bounds,true,false,valid_wgs84_outside_incheon_scope,2025-12-31,1,1,1,1,1,상행,168000057,M6461,0
0,소하JC(미정차),소하jc미정차,0|소하jc미정차,matched,1,8,bus:277102910,소하JC(미정차),bus:277102910,277102910,소하JC(미정차),기타,기타,소하동,37.4394900,126.8985433,outside_incheon_bounds,true,false,valid_wgs84_outside_incheon_scope,2025-12-31,1,1,1,1,1,하행,168000057,M6461,0
11002,종근당.충정로역,종근당충정로역,11002|종근당충정로역,matched,1,1,bus:101000015,종근당.충정로역,bus:101000015,101000015,종근당.충정로역,코드정보 없음,코드정보 없음,중림동,37.5596180,126.9645567,outside_incheon_bounds,true,false,valid_wgs84_outside_incheon_scope,2025-12-31,1,1,1,1,1,상행,165000335,1800,1
11013,서울역,서울역,11013|서울역,matched,1,1,bus:101000250,서울역,bus:101000250,101000250,서울역,코드정보 없음,코드정보 없음,회현동,37.5572066,126.9718214,outside_incheon_bounds,true,false,valid_wgs84_outside_incheon_scope,2025-12-31,1,1,1,1,1,상행,165000335,1800,0
11014,송내고교입구,송내고교입구,11014|송내고교입구,matched,1,1,bus:210000102,송내고교입구,bus:210000102,210000102,송내고교입구,코드정보 없음,코드정보 없음,상2동,37.4889937,126.7446845,valid_header_swapped,true,false,valid_wgs84_outside_incheon_scope,2025-12-31,1,1,1,1,1,하행,165000067,302,0
11015,송내고교입구,송내고교입구,11015|송내고교입구,matched,1,1,bus:210000171,송내고교입구,bus:210000171,210000171,송내고교입구,코드정보 없음,코드정보 없음,상2동,37.4887508,126.7448815,valid_header_swapped,true,false,valid_wgs84_outside_incheon_scope,2025-12-31,2,2,2,2,1,상행,165000067;165000452,302;302B,1
11020,자동차매매단지,자동차매매단지,11020|자동차매매단지,matched,1,1,bus:210000246,자동차매매단지,bus:210000246,210000246,자동차매매단지,코드정보 없음,코드정보 없음,상2동,37.4888157,126.7475787,valid_header_swapped,true,false,valid_wgs84_outside_incheon_scope,2025-12-31,2,2,2,2,1,상행,165000067;165000452,302;302B,0
