source_data_row,reference_date,reference_date_provenance,source_stop_name,source_stop_number,normalized_stop_name,stop_match_key,boardings,alightings,boardings_card,alightings_card,boardings_cash,total_board_alightings,daily_average_board_alightings_reported,match_status,match_candidate_count,same_number_candidate_count,candidate_place_ids,candidate_names,place_id,master_source_id,master_source_date,master_stop_name,source_district,district,dong,latitude,longitude,coordinate_status,valid_wgs84,in_incheon,point_status
1,2026-06-30,portal_metadata_and_filename_not_record_field,(주)경동세라믹스,89146,주경동세라믹스,89146|주경동세라믹스,1064,35,1064,35,0,1099,36.63,matched,1,1,bus:168001146,(주)경동세라믹스,bus:168001146,168001146,20260228,(주)경동세라믹스,서구,검단구,오류왕길동,37.5591855,126.6169776,valid_header_swapped,true,true,incheon_map_ready
2,2026-06-30,portal_metadata_and_filename_not_record_field,(주)경인양행앞,42096,주경인양행앞,42096|주경인양행앞,2048,1290,2048,1290,0,3338,111.27,matched,1,1,bus:168000096,(주)경인양행앞,bus:168000096,168000096,20260228,(주)경인양행앞,서구,서해구,가좌1동,37.4990454,126.6654136,valid_header_swapped,true,true,incheon_map_ready
3,2026-06-30,portal_metadata_and_filename_not_record_field,(주)경인양행앞,42097,주경인양행앞,42097|주경인양행앞,2104,4765,2104,4765,0,6869,228.97,matched,1,1,bus:168000097,(주)경인양행앞,bus:168000097,168000097,20260228,(주)경인양행앞,서구,서해구,석남2동,37.4993425,126.6667891,valid_header_swapped,true,true,incheon_map_ready
4,2026-06-30,portal_metadata_and_filename_not_record_field,(주)대한특수금속,39050,주대한특수금속,39050|주대한특수금속,952,106,952,106,0,1058,35.27,matched,1,1,bus:165000050,(주)대한특수금속,bus:165000050,165000050,20260228,(주)대한특수금속,남동구,남동구,논현고잔동,37.4000294,126.6944906,valid_header_swapped,true,true,incheon_map_ready
5,2026-06-30,portal_metadata_and_filename_not_record_field,(주)두남,39135,주두남,39135|주두남,185,71,185,71,0,256,8.53,matched,1,1,bus:165000135,(주)두남,bus:165000135,165000135,20260228,(주)두남,남동구,남동구,남촌도림동,37.4178186,126.7031061,valid_header_swapped,true,true,incheon_map_ready
6,2026-06-30,portal_metadata_and_filename_not_record_field,(주)세모입구(린나이코리아),37585,주세모입구린나이코리아,37585|주세모입구린나이코리아,1306,2271,1306,2271,0,3577,119.23,matched,1,1,bus:163000585,(주)세모입구(린나이코리아),bus:163000585,163000585,20260228,(주)세모입구(린나이코리아),미추홀구,미추홀구,주안5동,37.4726027,126.6846847,valid_header_swapped,true,true,incheon_map_ready
7,2026-06-30,portal_metadata_and_filename_not_record_field,(주)세모입구(린나이코리아),40893,주세모입구린나이코리아,40893|주세모입구린나이코리아,387,700,387,700,0,1087,36.23,matched,1,1,bus:166000893,(주)세모입구(린나이코리아),bus:166000893,166000893,20260228,(주)세모입구(린나이코리아),부평구,부평구,십정1동,37.4729428,126.6849083,valid_header_swapped,true,true,incheon_map_ready
8,2026-06-30,portal_metadata_and_filename_not_record_field,(주)스킨이데아,89388,주스킨이데아,89388|주스킨이데아,1490,3721,1490,3721,0,5211,173.7,matched,1,1,bus:168001388,(주)스킨이데아,bus:168001388,168001388,20260228,(주)스킨이데아,서구,서해구,원창동,37.5019027,126.6174734,valid_header_swapped,true,true,incheon_map_ready
9,2026-06-30,portal_metadata_and_filename_not_record_field,(주)스킨이데아,89389,주스킨이데아,89389|주스킨이데아,3551,59,3551,59,0,3610,120.33,matched,1,1,bus:168001389,(주)스킨이데아,bus:168001389,168001389,20260228,(주)스킨이데아,서구,서해구,원창동,37.5017214,126.6174950,valid_header_swapped,true,true,incheon_map_ready
10,2026-06-30,portal_metadata_and_filename_not_record_field,(주)우리김치,39133,주우리김치,39133|주우리김치,449,3051,449,3051,0,3500,116.67,matched,1,1,bus:165000133,(주)우리김치,bus:165000133,165000133,20260228,(주)우리김치,남동구,남동구,남촌도림동,37.4156230,126.7074206,valid_header_swapped,true,true,incheon_map_ready
11,2026-06-30,portal_metadata_and_filename_not_record_field,(주)우리김치,39134,주우리김치,39134|주우리김치,2046,458,2046,458,0,2504,83.47,matched,1,1,bus:165000134,(주)우리김치,bus:165000134,165000134,20260228,(주)우리김치,남동구,남동구,남촌도림동,37.4159365,126.7071348,valid_header_swapped,true,true,incheon_map_ready
12,2026-06-30,portal_metadata_and_filename_not_record_field,(주)창원,39029,주창원,39029|주창원,3281,2913,3281,2913,0,6194,206.47,matched,1,1,bus:165000029,(주)창원,bus:165000029,165000029,20260228,(주)창원,남동구,남동구,논현고잔동,37.3937235,126.6992605,valid_header_swapped,true,true,incheon_map_ready
