source_data_row,reference_date,reference_date_provenance,source_stop_name,source_stop_number,normalized_stop_name,stop_match_key,boardings,alightings,boardings_card,alightings_card,boardings_cash,total_board_alightings,daily_average_board_alightings_reported,match_status,match_candidate_count,same_number_candidate_count,candidate_place_ids,candidate_names,place_id,master_source_id,master_source_date,master_stop_name,source_district,district,dong,latitude,longitude,coordinate_status,valid_wgs84,in_incheon,point_status
55,2026-06-30,portal_metadata_and_filename_not_record_field,KTX광명역4번출구,58057,ktx광명역4번출구,58057|ktx광명역4번출구,3,26,3,26,0,29,0.97,matched,1,1,bus:213000486,KTX광명역4번출구,bus:213000486,213000486,20260228,KTX광명역4번출구,코드정보 없음,코드정보 없음,소하2동,37.4156756,126.8834350,outside_incheon_bounds,true,false,valid_wgs84_outside_incheon_scope
66,2026-06-30,portal_metadata_and_filename_not_record_field,KT중동지사,55081,kt중동지사,55081|kt중동지사,852,216,852,216,0,1068,35.6,matched,1,1,bus:210000525,KT중동지사,bus:210000525,210000525,20260228,KT중동지사,코드정보 없음,코드정보 없음,중1동,37.5024846,126.7607453,valid_header_swapped,true,false,valid_wgs84_outside_incheon_scope
67,2026-06-30,portal_metadata_and_filename_not_record_field,KT중동지사,55082,kt중동지사,55082|kt중동지사,229,1193,229,1193,0,1422,47.4,matched,1,1,bus:210000551,KT중동지사,bus:210000551,210000551,20260228,KT중동지사,코드정보 없음,코드정보 없음,중1동,37.5022459,126.7608225,valid_header_swapped,true,false,valid_wgs84_outside_incheon_scope
78,2026-06-30,portal_metadata_and_filename_not_record_field,LH검단사업본부,42448,lh검단사업본부,42448|lh검단사업본부,7507,7132,7507,7132,0,14639,487.97,unmatched,0,1,bus:168000448,서구영어마을,,,,,,,,,,,false,false,unmatched
79,2026-06-30,portal_metadata_and_filename_not_record_field,LH검단사업본부,42449,lh검단사업본부,42449|lh검단사업본부,5660,6928,5660,6928,0,12588,419.6,unmatched,0,1,bus:168000449,서구영어마을,,,,,,,,,,,false,false,unmatched
131,2026-06-30,portal_metadata_and_filename_not_record_field,가산디지털단지역9번출구,18106,가산디지털단지역9번출구,18106|가산디지털단지역9번출구,9,1950,9,1950,0,1959,65.3,unmatched,0,1,bus:117000020,가산디지털단지역,,,,,,,,,,,false,false,unmatched
132,2026-06-30,portal_metadata_and_filename_not_record_field,가산디지털단지역9번출구,18107,가산디지털단지역9번출구,18107|가산디지털단지역9번출구,1777,32,1777,32,0,1809,60.3,unmatched,0,1,bus:117000021,가산디지털단지역,,,,,,,,,,,false,false,unmatched
135,2026-06-30,portal_metadata_and_filename_not_record_field,가오대입구,80033,가오대입구,80033|가오대입구,105,321,105,321,0,426,14.2,matched,1,1,bus:232000661,가오대입구,bus:232000661,232000661,20260228,가오대입구,코드정보 없음,코드정보 없음,양촌면,37.6550094,126.6148009,valid_header_swapped,true,false,valid_wgs84_outside_incheon_scope
136,2026-06-30,portal_metadata_and_filename_not_record_field,가오대입구,80034,가오대입구,80034|가오대입구,67,617,67,617,0,684,22.8,matched,1,1,bus:232000660,가오대입구,bus:232000660,232000660,20260228,가오대입구,코드정보 없음,코드정보 없음,양촌면,37.6551588,126.6145795,valid_header_swapped,true,false,valid_wgs84_outside_incheon_scope
151,2026-06-30,portal_metadata_and_filename_not_record_field,가정2지구3단지아파트,89626,가정2지구3단지아파트,89626|가정2지구3단지아파트,488,424,488,424,0,912,30.4,unmatched,0,0,,,,,,,,,,,,,false,false,unmatched
