reference_year,reference_period,source_admin_code,source_admin_name,source_sido_name,source_sigungu_name,source_eupmyeondong_name,harmonization_status,population_total,population_age_60_plus_exact,population_age_70_plus_exact,population_age_65_plus_status,households_total,one_person_households,one_person_household_share_pct,one_person_age_source_available,one_person_age_60_plus_exact,one_person_age_70_plus_exact,one_person_age_65_plus_status,source_population_file,source_households_file,source_one_person_age_file
2021,2021-12,2811052000,인천광역시 중구 연안동,인천광역시,중구,연안동,requires_2026_07_01_reform_crosswalk,6145,2357,992,not_calculated_source_aggregates_ages_60_to_69,3392,1848,54.4811,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2811053000,인천광역시 중구 신포동,인천광역시,중구,신포동,requires_2026_07_01_reform_crosswalk,5086,1827,973,not_calculated_source_aggregates_ages_60_to_69,2730,1484,54.3590,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2811054000,인천광역시 중구 신흥동,인천광역시,중구,신흥동,requires_2026_07_01_reform_crosswalk,13241,3916,1795,not_calculated_source_aggregates_ages_60_to_69,6297,2720,43.1952,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2811056000,인천광역시 중구 도원동,인천광역시,중구,도원동,requires_2026_07_01_reform_crosswalk,3925,1566,793,not_calculated_source_aggregates_ages_60_to_69,2073,1013,48.8664,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2811057000,인천광역시 중구 율목동,인천광역시,중구,율목동,requires_2026_07_01_reform_crosswalk,3192,1268,641,not_calculated_source_aggregates_ages_60_to_69,1819,1023,56.2397,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2811058500,인천광역시 중구 동인천동,인천광역시,중구,동인천동,requires_2026_07_01_reform_crosswalk,5818,2303,1171,not_calculated_source_aggregates_ages_60_to_69,3415,2058,60.2635,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2811061500,인천광역시 중구 개항동,인천광역시,중구,개항동,requires_2026_07_01_reform_crosswalk,7022,2741,1357,not_calculated_source_aggregates_ages_60_to_69,3645,1747,47.9287,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2811062000,인천광역시 중구 영종동,인천광역시,중구,영종동,requires_2026_07_01_reform_crosswalk,19131,4481,1703,not_calculated_source_aggregates_ages_60_to_69,10097,5347,52.9563,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2811062200,인천광역시 중구 영종1동,인천광역시,중구,영종1동,requires_2026_07_01_reform_crosswalk,44046,5040,1956,not_calculated_source_aggregates_ages_60_to_69,16826,4364,25.9361,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2811062800,인천광역시 중구 운서동,인천광역시,중구,운서동,requires_2026_07_01_reform_crosswalk,32080,3988,1866,not_calculated_source_aggregates_ages_60_to_69,18171,11544,63.5298,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2811063000,인천광역시 중구 용유동,인천광역시,중구,용유동,requires_2026_07_01_reform_crosswalk,3947,1943,867,not_calculated_source_aggregates_ages_60_to_69,2596,1682,64.7920,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2814051000,인천광역시 동구 만석동,인천광역시,동구,만석동,requires_2026_07_01_reform_crosswalk,6940,2118,985,not_calculated_source_aggregates_ages_60_to_69,3229,1333,41.2821,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2814052500,인천광역시 동구 화수1.화평동,인천광역시,동구,화수1.화평동,requires_2026_07_01_reform_crosswalk,5929,2223,1134,not_calculated_source_aggregates_ages_60_to_69,2849,1225,42.9975,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2814053000,인천광역시 동구 화수2동,인천광역시,동구,화수2동,requires_2026_07_01_reform_crosswalk,7597,2868,1484,not_calculated_source_aggregates_ages_60_to_69,3728,1598,42.8648,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2814055500,인천광역시 동구 송현1.2동,인천광역시,동구,송현1.2동,requires_2026_07_01_reform_crosswalk,10394,2968,1381,not_calculated_source_aggregates_ages_60_to_69,4440,1426,32.1171,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
