reference_year,reference_period,source_admin_code,source_admin_name,source_sido_name,source_sigungu_name,source_eupmyeondong_name,harmonization_status,households_total,one_person_households,two_person_households,three_person_households,four_person_households,five_person_households,six_person_households,seven_person_households,eight_person_households,nine_person_households,ten_plus_person_households,one_person_household_share_pct,source_file
2021,2021-12,2811052000,인천광역시 중구 연안동,인천광역시,중구,연안동,requires_2026_07_01_reform_crosswalk,3392,1848,800,405,243,75,14,5,2,0,0,54.4811,jumin_households_size_202112.csv
2021,2021-12,2811053000,인천광역시 중구 신포동,인천광역시,중구,신포동,requires_2026_07_01_reform_crosswalk,2730,1484,574,364,216,66,19,5,0,1,1,54.3590,jumin_households_size_202112.csv
2021,2021-12,2811054000,인천광역시 중구 신흥동,인천광역시,중구,신흥동,requires_2026_07_01_reform_crosswalk,6297,2720,1547,1009,773,195,44,5,2,2,0,43.1952,jumin_households_size_202112.csv
2021,2021-12,2811056000,인천광역시 중구 도원동,인천광역시,중구,도원동,requires_2026_07_01_reform_crosswalk,2073,1013,563,279,161,39,16,2,0,0,0,48.8664,jumin_households_size_202112.csv
2021,2021-12,2811057000,인천광역시 중구 율목동,인천광역시,중구,율목동,requires_2026_07_01_reform_crosswalk,1819,1023,423,229,103,30,6,4,0,0,1,56.2397,jumin_households_size_202112.csv
2021,2021-12,2811058500,인천광역시 중구 동인천동,인천광역시,중구,동인천동,requires_2026_07_01_reform_crosswalk,3415,2058,718,356,194,66,13,9,0,1,0,60.2635,jumin_households_size_202112.csv
2021,2021-12,2811061500,인천광역시 중구 개항동,인천광역시,중구,개항동,requires_2026_07_01_reform_crosswalk,3645,1747,973,524,283,91,24,0,2,0,1,47.9287,jumin_households_size_202112.csv
2021,2021-12,2811062000,인천광역시 중구 영종동,인천광역시,중구,영종동,requires_2026_07_01_reform_crosswalk,10097,5347,2247,1222,936,268,58,11,6,0,2,52.9563,jumin_households_size_202112.csv
2021,2021-12,2811062200,인천광역시 중구 영종1동,인천광역시,중구,영종1동,requires_2026_07_01_reform_crosswalk,16826,4364,3806,3887,3714,854,148,35,13,4,1,25.9361,jumin_households_size_202112.csv
2021,2021-12,2811062800,인천광역시 중구 운서동,인천광역시,중구,운서동,requires_2026_07_01_reform_crosswalk,18171,11544,2542,1710,1752,489,96,21,11,3,3,63.5298,jumin_households_size_202112.csv
2021,2021-12,2811063000,인천광역시 중구 용유동,인천광역시,중구,용유동,requires_2026_07_01_reform_crosswalk,2596,1682,621,172,102,17,0,2,0,0,0,64.7920,jumin_households_size_202112.csv
