reference_year,reference_period,source_admin_code,source_admin_name,source_sido_name,source_sigungu_name,source_eupmyeondong_name,harmonization_status,one_person_households_age_total,one_person_households_age_male,one_person_households_age_female,one_person_age_60_plus_exact,one_person_age_70_plus_exact,one_person_age_60_plus_share_pct,one_person_age_70_plus_share_pct,one_person_age_65_plus_status,source_file
2023,2023-12,2811052000,인천광역시 중구 연안동,인천광역시,중구,연안동,requires_2026_07_01_reform_crosswalk,1707,1081,626,855,367,50.0879,21.4997,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2811053000,인천광역시 중구 신포동,인천광역시,중구,신포동,requires_2026_07_01_reform_crosswalk,1341,719,622,696,398,51.9016,29.6793,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2811054000,인천광역시 중구 신흥동,인천광역시,중구,신흥동,requires_2026_07_01_reform_crosswalk,2919,1604,1315,1262,626,43.2340,21.4457,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2811056000,인천광역시 중구 도원동,인천광역시,중구,도원동,requires_2026_07_01_reform_crosswalk,1044,557,487,632,351,60.5364,33.6207,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2811057000,인천광역시 중구 율목동,인천광역시,중구,율목동,requires_2026_07_01_reform_crosswalk,1070,581,489,601,332,56.1682,31.0280,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2811058500,인천광역시 중구 동인천동,인천광역시,중구,동인천동,requires_2026_07_01_reform_crosswalk,1972,1131,841,1075,568,54.5132,28.8032,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2811061500,인천광역시 중구 개항동,인천광역시,중구,개항동,requires_2026_07_01_reform_crosswalk,2083,1093,990,996,539,47.8157,25.8761,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2811062000,인천광역시 중구 영종동,인천광역시,중구,영종동,requires_2026_07_01_reform_crosswalk,5965,4017,1948,1538,574,25.7837,9.6228,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2811062200,인천광역시 중구 영종1동,인천광역시,중구,영종1동,requires_2026_07_01_reform_crosswalk,6199,3313,2886,1193,513,19.2450,8.2755,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2811062800,인천광역시 중구 운서동,인천광역시,중구,운서동,requires_2026_07_01_reform_crosswalk,13407,7665,5742,1342,579,10.0097,4.3186,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2811063000,인천광역시 중구 용유동,인천광역시,중구,용유동,requires_2026_07_01_reform_crosswalk,1551,929,622,849,345,54.7389,22.2437,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2814051000,인천광역시 동구 만석동,인천광역시,동구,만석동,requires_2026_07_01_reform_crosswalk,1345,741,604,773,381,57.4721,28.3271,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2814052500,인천광역시 동구 화수1.화평동,인천광역시,동구,화수1.화평동,requires_2026_07_01_reform_crosswalk,1254,654,600,788,460,62.8389,36.6826,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2814053000,인천광역시 동구 화수2동,인천광역시,동구,화수2동,requires_2026_07_01_reform_crosswalk,1693,786,907,1004,598,59.3030,35.3219,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2814055500,인천광역시 동구 송현1.2동,인천광역시,동구,송현1.2동,requires_2026_07_01_reform_crosswalk,1477,699,778,670,385,45.3622,26.0664,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2814057000,인천광역시 동구 송현3동,인천광역시,동구,송현3동,requires_2026_07_01_reform_crosswalk,853,468,385,508,270,59.5545,31.6530,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2814058000,인천광역시 동구 송림1동,인천광역시,동구,송림1동,requires_2026_07_01_reform_crosswalk,941,459,482,273,141,29.0117,14.9841,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2814059000,인천광역시 동구 송림2동,인천광역시,동구,송림2동,requires_2026_07_01_reform_crosswalk,551,276,275,369,205,66.9691,37.2051,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2814060500,인천광역시 동구 송림3.5동,인천광역시,동구,송림3.5동,requires_2026_07_01_reform_crosswalk,930,477,453,497,258,53.4409,27.7419,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2814061000,인천광역시 동구 송림4동,인천광역시,동구,송림4동,requires_2026_07_01_reform_crosswalk,704,439,265,209,82,29.6875,11.6477,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2814063000,인천광역시 동구 송림6동,인천광역시,동구,송림6동,requires_2026_07_01_reform_crosswalk,837,388,449,483,283,57.7061,33.8112,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2814064000,인천광역시 동구 금창동,인천광역시,동구,금창동,requires_2026_07_01_reform_crosswalk,662,325,337,413,250,62.3867,37.7644,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2817751000,인천광역시 미추홀구 숭의2동,인천광역시,미추홀구,숭의2동,pre_reform_code_preserved_district_not_reorganized,2860,1485,1375,1337,693,46.7483,24.2308,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2817752000,인천광역시 미추홀구 숭의1.3동,인천광역시,미추홀구,숭의1.3동,pre_reform_code_preserved_district_not_reorganized,3115,1644,1471,1137,605,36.5008,19.4222,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2817753000,인천광역시 미추홀구 숭의4동,인천광역시,미추홀구,숭의4동,pre_reform_code_preserved_district_not_reorganized,3182,1650,1532,1522,759,47.8316,23.8529,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2817754000,인천광역시 미추홀구 용현1.4동,인천광역시,미추홀구,용현1.4동,pre_reform_code_preserved_district_not_reorganized,7087,4293,2794,1802,937,25.4268,13.2214,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2817755000,인천광역시 미추홀구 용현2동,인천광역시,미추홀구,용현2동,pre_reform_code_preserved_district_not_reorganized,3746,1861,1885,1357,737,36.2253,19.6743,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
2023,2023-12,2817756000,인천광역시 미추홀구 용현3동,인천광역시,미추홀구,용현3동,pre_reform_code_preserved_district_not_reorganized,2524,1409,1115,1166,577,46.1965,22.8605,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202312.csv
