reference_year,reference_period,source_admin_code,source_admin_name,source_sido_name,source_sigungu_name,source_eupmyeondong_name,harmonization_status,population_total,population_male,population_female,population_age_60_plus_exact,population_age_70_plus_exact,population_age_60_plus_share_pct,population_age_70_plus_share_pct,population_age_65_plus_status,source_file
2021,2021-12,2811052000,인천광역시 중구 연안동,인천광역시,중구,연안동,requires_2026_07_01_reform_crosswalk,6145,3326,2819,2357,992,38.3564,16.1432,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202112.csv
2021,2021-12,2811053000,인천광역시 중구 신포동,인천광역시,중구,신포동,requires_2026_07_01_reform_crosswalk,5086,2595,2491,1827,973,35.9221,19.1309,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202112.csv
2021,2021-12,2811054000,인천광역시 중구 신흥동,인천광역시,중구,신흥동,requires_2026_07_01_reform_crosswalk,13241,6734,6507,3916,1795,29.5748,13.5564,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202112.csv
2021,2021-12,2811056000,인천광역시 중구 도원동,인천광역시,중구,도원동,requires_2026_07_01_reform_crosswalk,3925,2001,1924,1566,793,39.8981,20.2038,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202112.csv
2021,2021-12,2811057000,인천광역시 중구 율목동,인천광역시,중구,율목동,requires_2026_07_01_reform_crosswalk,3192,1644,1548,1268,641,39.7243,20.0815,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202112.csv
2021,2021-12,2811058500,인천광역시 중구 동인천동,인천광역시,중구,동인천동,requires_2026_07_01_reform_crosswalk,5818,3083,2735,2303,1171,39.5840,20.1272,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202112.csv
2021,2021-12,2811061500,인천광역시 중구 개항동,인천광역시,중구,개항동,requires_2026_07_01_reform_crosswalk,7022,3518,3504,2741,1357,39.0345,19.3250,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202112.csv
2021,2021-12,2811062000,인천광역시 중구 영종동,인천광역시,중구,영종동,requires_2026_07_01_reform_crosswalk,19131,10455,8676,4481,1703,23.4227,8.9018,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202112.csv
2021,2021-12,2811062200,인천광역시 중구 영종1동,인천광역시,중구,영종1동,requires_2026_07_01_reform_crosswalk,44046,22118,21928,5040,1956,11.4426,4.4408,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202112.csv
2021,2021-12,2811062800,인천광역시 중구 운서동,인천광역시,중구,운서동,requires_2026_07_01_reform_crosswalk,32080,17008,15072,3988,1866,12.4314,5.8167,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202112.csv
2021,2021-12,2811063000,인천광역시 중구 용유동,인천광역시,중구,용유동,requires_2026_07_01_reform_crosswalk,3947,2197,1750,1943,867,49.2273,21.9661,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202112.csv
2021,2021-12,2814051000,인천광역시 동구 만석동,인천광역시,동구,만석동,requires_2026_07_01_reform_crosswalk,6940,3580,3360,2118,985,30.5187,14.1931,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202112.csv
