"행정구역","2024년12월_전체세대","2024년12월_1인세대","2024년12월_2인세대","2024년12월_3인세대","2024년12월_4인세대","2024년12월_5인세대","2024년12월_6인세대","2024년12월_7인세대","2024년12월_8인세대","2024년12월_9인세대","2024년12월_10인이상세대"
"전국  (1000000000)","24,118,928","10,122,587","6,005,284","4,052,362","3,050,745","707,014","136,768","30,978","8,259","2,506","2,425"
"서울특별시  (1100000000)","4,482,063","2,012,137","1,010,838","746,493","558,273","119,525","25,828","6,202","1,799","572","396"
"서울특별시 종로구 (1111000000)","72,166","38,032","14,704","10,112","6,944","1,786","417","108","38","13","12"
"서울특별시 종로구 청운효자동(1111051500)","4,954","1,934","1,188","929","668","177","40","11","4","3","0"
"서울특별시 종로구 사직동(1111053000)","4,557","2,321","933","677","469","118","21","11","3","0","4"
"서울특별시 종로구 삼청동(1111054000)","1,107","547","247","150","108","39","12","3","1","0","0"
"서울특별시 종로구 부암동(1111055000)","4,135","1,675","1,025","732","500","139","47","13","3","0","1"
"서울특별시 종로구 평창동(1111056000)","7,134","2,268","1,837","1,446","1,114","355","79","22","10","2","1"
"서울특별시 종로구 무악동(1111057000)","2,986","704","763","702","636","146","27","4","2","1","1"
"서울특별시 종로구 교남동(1111058000)","4,302","1,603","1,060","897","604","119","11","5","1","2","0"
"서울특별시 종로구 가회동(1111060000)","1,875","898","410","302","201","43","17","2","1","0","1"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,898","3,911","498","273","161","39","11","4","0","1","0"
"서울특별시 종로구 종로5.6가동(1111063000)","3,533","2,533","501","293","161","37","5","3","0","0","0"
"서울특별시 종로구 이화동(1111064000)","4,350","2,856","766","405","245","55","15","5","1","2","0"
"서울특별시 종로구 혜화동(1111065000)","9,138","5,716","1,475","1,003","701","170","48","12","7","2","4"
"서울특별시 종로구 창신제1동(1111067000)","2,653","1,591","560","303","140","44","11","3","1","0","0"
"서울특별시 종로구 창신제2동(1111068000)","3,910","2,009","950","523","320","79","25","2","2","0","0"
"서울특별시 종로구 창신제3동(1111069000)","2,731","927","745","571","367","99","17","4","1","0","0"
"서울특별시 종로구 숭인제1동(1111070000)","2,992","1,504","712","420","266","68","19","2","1","0","0"
"서울특별시 종로구 숭인제2동(1111071000)","6,911","5,035","1,034","486","283","59","12","2","0","0","0"
"서울특별시 중구 (1114000000)","64,995","34,974","14,359","8,690","5,267","1,255","324","83","23","9","11"
"서울특별시 중구 소공동(1114052000)","1,243","749","241","151","84","9","5","3","0","0","1"
"서울특별시 중구 회현동(1114054000)","2,480","1,507","449","294","166","44","13","5","1","1","0"
"서울특별시 중구 명동(1114055000)","1,331","911","215","110","75","11","4","2","0","2","1"
"서울특별시 중구 필동(1114057000)","2,780","1,907","464","227","131","39","8","2","1","0","1"
"서울특별시 중구 장충동(1114058000)","2,864","1,971","433","233","159","46","17","2","1","1","1"
"서울특별시 중구 광희동(1114059000)","3,949","2,906","579","281","123","41","13","3","3","0","0"
"서울특별시 중구 을지로동(1114060500)","2,113","1,468","415","145","68","13","3","1","0","0","0"
"서울특별시 중구 신당동(1114061500)","4,706","3,125","883","391","224","55","22","5","0","1","0"
