"행정구역","2023년12월_계_총세대수","2023년12월_계_연령구간세대수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상","2023년12월_남_총세대수","2023년12월_남_연령구간세대수","2023년12월_남_0~9세","2023년12월_남_10~19세","2023년12월_남_20~29세","2023년12월_남_30~39세","2023년12월_남_40~49세","2023년12월_남_50~59세","2023년12월_남_60~69세","2023년12월_남_70~79세","2023년12월_남_80~89세","2023년12월_남_90~99세","2023년12월_남_100세 이상","2023년12월_여_총세대수","2023년12월_여_연령구간세대수","2023년12월_여_0~9세","2023년12월_여_10~19세","2023년12월_여_20~29세","2023년12월_여_30~39세","2023년12월_여_40~49세","2023년12월_여_50~59세","2023년12월_여_60~69세","2023년12월_여_70~79세","2023년12월_여_80~89세","2023년12월_여_90~99세","2023년12월_여_100세 이상"
"전국  (1000000000)","9,935,600","9,935,600","2,649","37,944","1,514,982","1,676,332","1,284,439","1,634,211","1,832,132","1,092,969","735,444","121,257","3,241","5,114,354","5,114,354","1,319","18,211","773,990","1,058,704","828,595","985,535","906,099","373,813","148,629","18,952","507","4,821,246","4,821,246","1,330","19,733","740,992","617,628","455,844","648,676","926,033","719,156","586,815","102,305","2,734"
"서울특별시  (1100000000)","1,988,235","1,988,235","465","8,879","448,719","454,914","252,224","251,974","277,351","178,099","100,415","14,735","460","954,572","954,572","238","3,511","192,469","251,656","143,327","147,368","131,032","59,041","23,080","2,737","113","1,033,663","1,033,663","227","5,368","256,250","203,258","108,897","104,606","146,319","119,058","77,335","11,998","347"
"서울특별시 종로구 (1111000000)","37,728","37,728","10","238","8,742","7,261","4,396","5,331","5,642","3,479","2,241","370","18","18,743","18,743","5","76","3,880","3,958","2,356","3,191","3,130","1,435","621","84","7","18,985","18,985","5","162","4,862","3,303","2,040","2,140","2,512","2,044","1,620","286","11"
"서울특별시 종로구 청운효자동(1111051500)","1,964","1,964","0","4","238","454","342","272","259","206","155","32","2","749","749","0","1","98","210","128","114","96","56","39","6","1","1,215","1,215","0","3","140","244","214","158","163","150","116","26","1"
"서울특별시 종로구 사직동(1111053000)","2,299","2,299","0","12","307","634","400","297","274","190","150","32","3","930","930","0","1","119","281","154","138","121","62","42","10","2","1,369","1,369","0","11","188","353","246","159","153","128","108","22","1"
"서울특별시 종로구 삼청동(1111054000)","555","555","0","1","66","93","89","80","99","68","44","15","0","262","262","0","1","37","54","45","41","47","24","10","3","0","293","293","0","0","29","39","44","39","52","44","34","12","0"
"서울특별시 종로구 부암동(1111055000)","1,674","1,674","0","11","216","348","280","253","280","151","115","20","0","706","706","0","3","95","177","114","107","115","64","29","2","0","968","968","0","8","121","171","166","146","165","87","86","18","0"
"서울특별시 종로구 평창동(1111056000)","2,260","2,260","0","17","196","394","319","384","392","279","219","54","6","899","899","0","3","92","217","143","152","155","80","47","8","2","1,361","1,361","0","14","104","177","176","232","237","199","172","46","4"
"서울특별시 종로구 무악동(1111057000)","707","707","1","0","18","94","71","119","156","126","103","18","1","278","278","0","0","8","55","36","61","58","36","18","6","0","429","429","1","0","10","39","35","58","98","90","85","12","1"
"서울특별시 종로구 교남동(1111058000)","1,621","1,621","1","3","228","341","243","252","246","177","115","15","0","640","640","1","2","83","161","108","120","81","47","34","3","0","981","981","0","1","145","180","135","132","165","130","81","12","0"
"서울특별시 종로구 가회동(1111060000)","921","921","0","4","80","190","156","173","141","104","61","12","0","385","385","0","3","34","85","72","88","62","28","11","2","0","536","536","0","1","46","105","84","85","79","76","50","10","0"
