"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상","2023년12월_남_총인구수","2023년12월_남_연령구간인구수","2023년12월_남_0~9세","2023년12월_남_10~19세","2023년12월_남_20~29세","2023년12월_남_30~39세","2023년12월_남_40~49세","2023년12월_남_50~59세","2023년12월_남_60~69세","2023년12월_남_70~79세","2023년12월_남_80~89세","2023년12월_남_90~99세","2023년12월_남_100세 이상","2023년12월_여_총인구수","2023년12월_여_연령구간인구수","2023년12월_여_0~9세","2023년12월_여_10~19세","2023년12월_여_20~29세","2023년12월_여_30~39세","2023년12월_여_40~49세","2023년12월_여_50~59세","2023년12월_여_60~69세","2023년12월_여_70~79세","2023년12월_여_80~89세","2023년12월_여_90~99세","2023년12월_여_100세 이상"
"서울특별시  (1100000000)","9,386,034","9,386,034","513,562","733,211","1,355,811","1,427,405","1,420,073","1,495,557","1,315,938","738,469","339,214","45,346","1,448","4,540,031","4,540,031","263,448","375,346","643,229","713,915","703,001","734,760","622,855","334,075","137,024","12,059","319","4,846,003","4,846,003","250,114","357,865","712,582","713,490","717,072","760,797","693,083","404,394","202,190","33,287","1,129"
"서울특별시 종로구 (1111000000)","139,417","139,417","5,919","9,739","21,496","19,322","19,194","23,915","20,689","11,503","6,644","961","35","67,306","67,306","2,989","4,776","10,174","9,648","9,291","11,854","10,365","5,211","2,674","315","9","72,111","72,111","2,930","4,963","11,322","9,674","9,903","12,061","10,324","6,292","3,970","646","26"
"서울특별시 종로구 청운효자동(1111051500)","11,349","11,349","596","1,084","1,402","1,512","1,891","1,914","1,414","901","552","80","3","5,187","5,187","317","552","685","677","827","868","648","362","227","23","1","6,162","6,162","279","532","717","835","1,064","1,046","766","539","325","57","2"
"서울특별시 종로구 사직동(1111053000)","8,998","8,998","462","661","1,044","1,413","1,409","1,478","1,246","689","503","88","5","3,993","3,993","228","283","441","633","611","681","584","280","211","39","2","5,005","5,005","234","378","603","780","798","797","662","409","292","49","3"
"서울특별시 종로구 삼청동(1111054000)","2,248","2,248","86","163","238","282","317","351","382","251","146","30","2","1,075","1,075","39","95","121","130","153","171","176","118","58","13","1","1,173","1,173","47","68","117","152","164","180","206","133","88","17","1"
"서울특별시 종로구 부암동(1111055000)","9,085","9,085","381","815","1,102","1,172","1,387","1,633","1,342","744","431","75","3","4,303","4,303","182","448","564","572","616","756","620","346","182","17","0","4,782","4,782","199","367","538","600","771","877","722","398","249","58","3"
"서울특별시 종로구 평창동(1111056000)","17,387","17,387","996","1,538","2,004","2,061","2,483","3,158","2,783","1,397","812","146","9","8,097","8,097","539","742","994","973","1,123","1,414","1,304","632","333","41","2","9,290","9,290","457","796","1,010","1,088","1,360","1,744","1,479","765","479","105","7"
"서울특별시 종로구 무악동(1111057000)","7,961","7,961","546","925","823","812","1,301","1,435","1,089","605","375","46","4","3,650","3,650","238","391","387","378","610","717","504","266","143","16","0","4,311","4,311","308","534","436","434","691","718","585","339","232","30","4"
"서울특별시 종로구 교남동(1111058000)","9,715","9,715","741","786","1,143","1,407","1,695","1,625","1,195","692","386","45","0","4,457","4,457","368","370","522","639","784","791","534","276","159","14","0","5,258","5,258","373","416","621","768","911","834","661","416","227","31","0"
"서울특별시 종로구 가회동(1111060000)","3,860","3,860","148","314","406","503","633","690","547","369","219","31","0","1,793","1,793","88","161","188","230","295","333","254","152","83","9","0","2,067","2,067","60","153","218","273","338","357","293","217","136","22","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,683","6,683","170","204","950","975","840","1,121","1,313","695","367","46","2","4,045","4,045","96","102","460","576","515","764","896","428","190","17","1","2,638","2,638","74","102","490","399","325","357","417","267","177","29","1"
"서울특별시 종로구 종로5.6가동(1111063000)","5,384","5,384","156","203","1,180","889","571","857","796","465","233","34","0","2,827","2,827","72","89","547","494","322","494","473","215","111","10","0","2,557","2,557","84","114","633","395","249","363","323","250","122","24","0"
"서울특별시 종로구 이화동(1111064000)","6,899","6,899","171","316","1,495","1,220","793","1,002","936","581","340","45","0","3,280","3,280","89","165","686","604","403","491","451","258","116","17","0","3,619","3,619","82","151","809","616","390","511","485","323","224","28","0"
"서울특별시 종로구 혜화동(1111065000)","15,869","15,869","512","1,181","4,287","2,039","1,912","2,309","1,720","1,075","725","103","6","7,623","7,623","247","590","2,115","1,077","925","1,096","827","428","286","30","2","8,246","8,246","265","591","2,172","962","987","1,213","893","647","439","73","4"
