행정기관코드,기준연월,시도명,시군구명,읍면동명,전체세대수,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인이상세대
1111051500,2026-07-31,서울특별시,종로구,청운효자동,4830,1885,1205,925,597,155,48,9,3,3,0
1111053000,2026-07-31,서울특별시,종로구,사직동,4553,2367,913,676,453,103,23,12,2,0,4
1111054000,2026-07-31,서울특별시,종로구,삼청동,1045,523,242,141,98,31,7,3,0,0,0
1111055000,2026-07-31,서울특별시,종로구,부암동,4110,1685,1043,726,468,133,40,9,4,1,1
1111056000,2026-07-31,서울특별시,종로구,평창동,7097,2250,1938,1435,1046,313,83,19,11,1,1
1111057000,2026-07-31,서울특별시,종로구,무악동,2980,715,767,743,584,144,19,6,0,1,1
1111058000,2026-07-31,서울특별시,종로구,교남동,4336,1650,1117,846,590,108,19,4,1,1,0
1111060000,2026-07-31,서울특별시,종로구,가회동,1791,896,383,296,155,40,16,2,2,0,1
1111061500,2026-07-31,서울특별시,종로구,종로1.2.3.4가동,4875,3927,470,274,149,38,10,4,2,0,1
1111063000,2026-07-31,서울특별시,종로구,종로5.6가동,3721,2731,545,255,149,34,4,3,0,0,0
1111064000,2026-07-31,서울특별시,종로구,이화동,4494,3018,766,413,228,48,15,4,1,1,0
1111065000,2026-07-31,서울특별시,종로구,혜화동,9318,5966,1517,943,666,159,51,9,3,0,4
1111067000,2026-07-31,서울특별시,종로구,창신제1동,2643,1643,540,279,127,45,7,1,1,0,0
1111068000,2026-07-31,서울특별시,종로구,창신제2동,3876,2053,946,500,294,62,19,0,2,0,0
1111069000,2026-07-31,서울특별시,종로구,창신제3동,2725,946,796,551,328,82,17,5,0,0,0
1111070000,2026-07-31,서울특별시,종로구,숭인제1동,3015,1556,702,425,257,56,16,2,1,0,0
1111071000,2026-07-31,서울특별시,종로구,숭인제2동,7050,5130,1077,508,270,56,7,2,0,0,0
1114052000,2026-07-31,서울특별시,중구,소공동,1244,741,227,169,90,10,3,3,0,0,1
1114054000,2026-07-31,서울특별시,중구,회현동,2270,1314,445,299,156,37,10,7,2,0,0
1114055000,2026-07-31,서울특별시,중구,명동,1315,905,206,120,64,11,5,2,0,1,1
1114057000,2026-07-31,서울특별시,중구,필동,2825,1964,477,226,122,27,6,1,1,0,1
1114058000,2026-07-31,서울특별시,중구,장충동,2950,2059,457,222,155,40,14,0,1,1,1
1114059000,2026-07-31,서울특별시,중구,광희동,3976,2940,592,258,132,39,10,3,2,0,0
1114060500,2026-07-31,서울특별시,중구,을지로동,2062,1439,384,157,61,17,3,0,1,0,0
1114061500,2026-07-31,서울특별시,중구,신당동,4671,3126,893,373,201,53,18,6,1,0,0
1114062500,2026-07-31,서울특별시,중구,다산동,6707,3337,1640,973,587,130,29,6,2,0,3
1114063500,2026-07-31,서울특별시,중구,약수동,7690,3232,2254,1256,728,150,47,19,2,1,1
1114064500,2026-07-31,서울특별시,중구,청구동,5030,2001,1409,887,568,132,25,7,0,1,0
1114065000,2026-07-31,서울특별시,중구,신당제5동,5419,2855,1270,754,419,96,17,6,1,1,0
1114066500,2026-07-31,서울특별시,중구,동화동,3954,1101,1105,900,619,158,51,8,10,2,0
1114067000,2026-07-31,서울특별시,중구,황학동,7866,4664,1820,826,427,100,24,2,2,0,1
1114068000,2026-07-31,서울특별시,중구,중림동,5875,2659,1389,1047,606,136,30,3,3,2,0
1117051000,2026-07-31,서울특별시,용산구,후암동,8308,4387,1879,1124,693,173,29,15,3,0,5
1117052000,2026-07-31,서울특별시,용산구,용산2가동,4948,2893,1159,529,280,64,17,5,1,0,0
1117053000,2026-07-31,서울특별시,용산구,남영동,5001,3800,680,312,147,47,12,2,0,0,1
1117055500,2026-07-31,서울특별시,용산구,청파동,11553,7600,2101,1032,598,164,42,9,4,0,3
1117056000,2026-07-31,서울특별시,용산구,원효로제1동,9374,5227,1896,1257,785,161,37,6,2,1,2
1117057000,2026-07-31,서울특별시,용산구,원효로제2동,6319,2738,1475,1167,702,170,46,9,6,4,2
1117058000,2026-07-31,서울특별시,용산구,효창동,4725,1774,1255,930,577,136,39,8,2,3,1
1117059000,2026-07-31,서울특별시,용산구,용문동,5346,2271,1394,960,564,120,26,5,4,0,2
1117062500,2026-07-31,서울특별시,용산구,한강로동,11177,5957,2373,1620,953,194,55,16,9,0,0
1117063000,2026-07-31,서울특별시,용산구,이촌제1동,9131,1743,2339,2500,1970,427,108,24,12,5,3
1117064000,2026-07-31,서울특별시,용산구,이촌제2동,3547,1305,1035,680,401,94,26,3,1,1,1
1117065000,2026-07-31,서울특별시,용산구,이태원제1동,3085,1758,719,338,197,56,11,6,0,0,0
1117066000,2026-07-31,서울특별시,용산구,이태원제2동,4668,2572,1112,564,301,86,23,6,2,1,1
1117068500,2026-07-31,서울특별시,용산구,한남동,6928,3367,1644,1031,627,185,48,16,4,4,2
1117069000,2026-07-31,서울특별시,용산구,서빙고동,5055,1710,1224,930,860,262,48,12,7,2,0
1117070000,2026-07-31,서울특별시,용산구,보광동,2779,1516,641,361,203,45,9,1,3,0,0
1120052000,2026-07-31,서울특별시,성동구,왕십리제2동,7334,3014,1806,1402,884,163,53,10,0,1,1
1120053500,2026-07-31,서울특별시,성동구,왕십리도선동,12028,5139,2737,2262,1493,296,71,20,6,4,0
1120054000,2026-07-31,서울특별시,성동구,마장동,11166,5691,2549,1534,1076,227,66,18,0,1,4
1120055000,2026-07-31,서울특별시,성동구,사근동,8470,6460,1005,517,379,82,19,5,3,0,0
1120056000,2026-07-31,서울특별시,성동구,행당제1동,7362,3037,1765,1372,965,175,38,8,1,1,0
1120057000,2026-07-31,서울특별시,성동구,행당제2동,9108,2399,2608,2234,1520,267,56,19,4,1,0
1120058000,2026-07-31,서울특별시,성동구,응봉동,5827,1598,1520,1439,1019,204,34,7,4,2,0
1120059000,2026-07-31,서울특별시,성동구,금호1가동,6335,2200,1717,1367,843,157,40,9,1,1,0
1120061500,2026-07-31,서울특별시,성동구,금호2.3가동,9373,3349,2594,2009,1155,207,41,15,3,0,0
1120062000,2026-07-31,서울특별시,성동구,금호4가동,6273,2268,1723,1351,757,129,33,8,4,0,0
1120064500,2026-07-31,서울특별시,성동구,옥수동,10699,3098,3130,2629,1457,297,70,12,4,1,1
1120065000,2026-07-31,서울특별시,성동구,성수1가제1동,7252,3183,1858,1258,765,135,40,5,7,1,0
1120066000,2026-07-31,서울특별시,성동구,성수1가제2동,7094,3142,1843,1205,736,126,28,9,4,1,0
1120067000,2026-07-31,서울특별시,성동구,성수2가제1동,7070,3608,1716,989,605,112,29,8,3,0,0
1120069000,2026-07-31,서울특별시,성동구,성수2가제3동,4865,2534,1029,691,451,123,30,5,1,0,1
1120072000,2026-07-31,서울특별시,성동구,송정동,5100,2893,1127,593,393,76,14,2,2,0,0
1120079000,2026-07-31,서울특별시,성동구,용답동,8373,5512,1602,738,403,94,18,5,0,1,0
1121571000,2026-07-31,서울특별시,광진구,화양동,18236,15208,1910,663,361,65,22,6,0,0,1
1121573000,2026-07-31,서울특별시,광진구,군자동,11273,7162,2118,1144,664,134,35,11,3,2,0
1121574000,2026-07-31,서울특별시,광진구,중곡제1동,8608,4970,1996,951,529,122,28,11,1,0,0
1121575000,2026-07-31,서울특별시,광진구,중곡제2동,10503,5349,2591,1459,856,195,42,5,1,3,2
1121576000,2026-07-31,서울특별시,광진구,중곡제3동,8433,4515,2066,1079,599,144,23,6,1,0,0
1121577000,2026-07-31,서울특별시,광진구,중곡제4동,13204,5773,3493,2237,1323,283,65,23,5,1,1
1121578000,2026-07-31,서울특별시,광진구,능동,6336,3903,1291,633,391,78,36,3,0,0,1
1121581000,2026-07-31,서울특별시,광진구,광장동,11740,2372,2199,3418,3129,490,96,27,8,1,0
1121582000,2026-07-31,서울특별시,광진구,자양제1동,12137,6848,2718,1424,925,182,28,8,4,0,0
1121583000,2026-07-31,서울특별시,광진구,자양제2동,12197,4891,3052,2298,1533,324,75,18,3,2,1
1121584000,2026-07-31,서울특별시,광진구,자양제3동,10970,3295,2773,2509,1916,352,83,25,14,2,1
1121584700,2026-07-31,서울특별시,광진구,자양제4동,11402,6538,2490,1396,775,157,31,10,5,0,0
1121585000,2026-07-31,서울특별시,광진구,구의제1동,13588,8137,2786,1513,891,207,40,10,2,1,1
1121586000,2026-07-31,서울특별시,광진구,구의제2동,11545,4660,2930,2104,1443,320,65,15,3,1,4
