연번,군구명,기관명,시설장,소재지,종사자,정원,현원
1,강화군,마리아,반○○,강화군 길상면 해란길 63,5,15,11
2,강화군,강화군장애인복지관,최○○,강화군 강화읍 충렬사로 63,4,15,12
3,중구,중구장애인복지관,최○○,중구 매소홀로10,5,12,12
4,중구,무지개,김○○,중구 우현로62번길 38-3,4,16,12
5,중구,영종장애인,오○○,중구 영종해안북로 1000-26 ,6,16,16
6,동구,동구장애인,이○○,동구 만석로 53,5,12,12
7,미추홀구,미추홀장애인복지관,조○○,미추홀구 경원대로 714 ,5,12,12
8,미추홀구,시각장애인복지관,이○○,미추홀구 한나루로 357번길,4,15,15
9,미추홀구,미추나래,김○○,미추홀구 석정로102번길 11 ,6,20,13
10,미추홀구,인천신장장애인,원○,미추홀구 미추홀대로 716 ,3,15,15
11,미추홀구,늘푸른샘,류○○,미추홀구 인하로405번길 7 ,6,20,17
12,미추홀구,미추홀장애,오○○,미추홀구 염창로 97,3,15,12
13,미추홀구,미추홀동그라미,박○○,미추홀구 석정로375번길 23 ,4,12,9
14,연수구,해내기,전○○,연수구 앵고개로 130 ,6,15,15
15,연수구,연수허브,김○○,연수구 선학로 14,6,16,14
16,연수구,사랑나눔,나○○,연수구 선학로 14,5,12,11
17,연수구,연수구장애인,이○○,연수구 청량로185번길 31 ,7,24,19
18,남동구,늘푸른동산,손○○,남동구 담방서로23번길 17 ,6,16,16
19,남동구,하늘고운,김○○,남동구 석정로 501,5,12,12
20,남동구,바다의별,김○○,남동구 남촌동로16번길 15-12 ,5,12,12
21,남동구,샛별장애인,정○,남동구 남촌동로 3번길 14 3층 ,5,12,12
22,남동구,동그라미발달,이○○,남동구 인주대로 819,5,12,11
23,남동구,민달팽이,가○○,남동구 만수서로37번길55,5,16,12
24,남동구,국손장애인,김○○,남동구 용천로97번길3,3,15,14
25,남동구,함께행동,전○○,남동구 논고개로 114,1,,
26,부평구,해늘,서○○,부평구 화랑북로 35-4 ,4,16,12
27,부평구,성동,김○○,부평구 경인로 880,6,21,15
28,부평구,부평장애인복지관,김○○,부평구 일신로 25,4,15,10
29,부평구,아카펠라,하○○,부평구 평천로 319-5 ,5,15,13
30,부평구,(시각)혜인,김○○,부평구 마장로 24,5,15,14
31,부평구,부흥장애인,윤○○,부평구 부흥로334번길 37 ,3,15,7
32,부평구,나래장애인,차○○,부평구 부영로 161 ,7,20,20
33,부평구,꿈이룸장애인,배○○,부평구 안남로 62 ,5,15,12
34,계양구,노틀담,이○○,계양구 계양산로 35번길 12-37,6,21,17
35,계양구,사랑터장애인,김○○,"계양구 주부토로422, 402호",6,16,14
36,계양구,해도두리,고○○,"계양구 장재로 708, 401호",5,12,12
37,계양구,예원 ,이○○,계양구 효서로 92,5,12,12
38,계양구,더행복한장애인 ,김○○,계양구 아나지로 198번길,5,12,12
39,서구,태화인천장애인,양○○,서구 심곡로124번길 10,5,20,11
40,서구,서구장애인복지관,오○○,서구 드림로 284-8,5,15,12
41,서구,느티나무,강○○,서구 심곡로 100번길 8-11,7,20,18
42,서구,해피로드장애인,한○○,서구 가정로 125번길 12,5,16,12
43,서구,구립서로이음장애인,송○○,서구 완정로 153 4층 1호,5,15,10
