연번,구분,시설유형,시설명,정원,소 재 지,전화번호
1,생활시설,지체,성촌의집,35,부평구 경인로 701번길 26 (십정동),032-422-0573
2,생활시설,지체,은광원,42,부평구 마분로 8(부개동),032-501-0105
3,생활시설,시각,인천광명원,50,부평구 경인로 769번길 27(십정동),032-514-1956
4,생활시설,청각,성동원,30,부평구 경인로 880(부평동),032-522-2984
5,생활시설,지적,예림원,57,부평구 동수로 87(부평동),032-525-6043
6,생활시설,지적,장봉혜림원,37,옹진군 북도면 장봉로 26번길 218,032-751-8051
7,생활시설,지적,우리들의집(실비),32,부평구 경인로 701번길 26 (십정동),032-433-7907
8,생활시설,중증,샬롬원,30,강화군 교동면 교동서로 412번길 184-94,032-933-2640
9,생활시설,중증,예닮,60,강화군 강화읍 갑룡길 206번길 66,032-934-0630
10,생활시설,중증,색동원,60,강화군 길상면 장촌길 31,032-362-9300
11,생활시설,중증,브솔시내,40,미추홀구 동산로 4(도화동),032-515-0066
12,생활시설,중증,미추홀 푸르내,15,미추홀구 석바위로107,032-427-8880
13,생활시설,중증,밝은마음,50,연수구 봉재산로 68(동춘동),032-817-2070
14,생활시설,중증,하늘채,30,남동구 장아산로 200번길 8(서창동),032-465-6640
15,생활시설,중증,예원,45,계양구 둑실안길 54(둑실동),032-544-5680
16,생활시설,지적,요한의집(실비),30,강화군 길상면 해란길 63-1,032-937-0860
17,생활시설,중증,장봉혜림요양원,51,옹진군 북도면 장봉로 26번길 218,032-751-8051
18,생활시설,중증,해피타운,40,옹진군 영흥면 영흥서로 277-36,032-465-1540
19,생활시설,영유아,동심원,50,연수구 봉재산로 68(동춘동),032-818-4737
20,개인운영,중증,희락원,29,중구 송학로 48(내동),032-777-4117
21,개인운영,지적,평화의집,12,연수구 경원대로 588번길 5(선학동),032-427-4145
22,개인운영,지적,쉴만한물가의집,10,부평구 원적로 421번길 9-12(산곡동),032-521-9595
23,단기시설,,이든단기보호센터,10,"중구 우현로67번길 27-13, 2F(내동)",032-762-3302
24,단기시설,,미추홀구단기보호센터,10,미추홀구 석정로 240번길(도화동),032-886-9031
25,단기시설,,연수허브단기보호센터,14,"연수구 선학로 14(선학동, 선학시영상가)",032-817-2092
26,단기시설,,해늘단기보호센터,11,"부평구 화랑북로 35-4(산곡동, 1층) ",032-506-6595
27,공동생활가정,,우리마을공동생활가정1,4,강화군 길상면해란길 63(온수리),032-937-9054
28,공동생활가정,,우리마을공동생활가정4,4,강화군 길상면 해란길 63(온수리),032-937-9036
29,공동생활가정,,릴리공동생활가정1,4,강화군 길상면 길상로 242-28(온수리),070-4915-9565
30,공동생활가정,,릴리공동생활가정2,4,강화군 길상면 길상로 242-28(온수리),032-937-8675
31,공동생활가정,,릴리공동생활가정3,4,강화군 길상면 길상로 242-28(온수리),032-937-8698
32,공동생활가정,,릴리공동생활가정4,4,강화군 길상면 길상로 242-28(온수리),032-937-9035
33,공동생활가정,,송림장애인공동생활가정,4,"동구 송림로 50, 2-406(송림동, 삼익A)",032-764-8051
34,공동생활가정,,기분좋은그룹홈1,4,"미추홀구 한나루로490번길 59, 201호(주안동)",070-8866-0419
35,공동생활가정,,기분좋은그룹홈3,4,"미추홀구 인하로 394번길18,201호(관교동)",032-818-2151
36,공동생활가정,,길벗그룹홈,4,미추홀구 남주길 125번길 64-14(주안동),032-864-0522
37,공동생활가정,,길벗숭의그룹홈,4,"미추홀구 장천로 88-1,612동 301호(숭의동)",070-8995-0813
38,공동생활가정,,예그리나공동생활가정1,4,"미추홀구 경인로 395, 4-403 (주안동, 현대A)",032-427-5245
