연번,관련 근거법,시설종류,시설형태,시설명,군구명,주소,연락처
1,국민기초생활보장법,지역자활센터,이용,강화지역자활센터,강화군,강화군 강화읍 충렬사로 155 ,032-934-1189
2,국민기초생활보장법,지역자활센터,이용,중구지역자활센터,중구,중구 제물량로 132-2 ,032-763-1988
3,국민기초생활보장법,지역자활센터,이용,동구지역자활센터,동구,"동구 송림로 78,5층(송림동)",032-761-0766
4,국민기초생활보장법,지역자활센터,이용,희망지역자활센터,미추홀구,"미추홀구 송림로 249, 4층",032-867-8414
5,국민기초생활보장법,지역자활센터,이용,미추홀지역자활센터,미추홀구,"미추홀구 인주대로 493, 3층 ",032-888-0231
6,국민기초생활보장법,지역자활센터,이용,연수지역자활센터,연수구,연수구 청명로3번길 8-5 ,032-816-1995
7,국민기초생활보장법,지역자활센터,이용,남동지역자활센터,남동구,남동구 만수로 12-6 ,032-422-4318
8,국민기초생활보장법,지역자활센터,이용,부평지역자활센터,부평구,"부평구 후정동로 6, 3층",032-291-7400
9,국민기초생활보장법,지역자활센터,이용,부평남부지역자활센터,부평구,"부평구 후정동로 6, 2층",032-291-3500
10,국민기초생활보장법,지역자활센터,이용,계양지역자활센터,계양구,계양구 계양산로102번길 5,032-543-3370
11,국민기초생활보장법,지역자활센터,이용,서구지역자활센터,서구,서구 원창로 76 ,032-569-1491
12,사회복지사업법,종합사회복지관,이용,백령사회복지관,옹진군,백령로 271번길20,032-836-6001
13,사회복지사업법,종합사회복지관,이용,성미가엘사회복지관,중구,송학로 40번길 (내동),032-766-0981
14,사회복지사업법,종합사회복지관,이용,송림사회복지관,동구,송림로 43번길(송림1동),032-764-1185
15,사회복지사업법,종합사회복지관,이용,창영사회복지관,동구,우각로 57번지(창영동),032-773-1733
16,사회복지사업법,종합사회복지관,이용,인천사회복지관,미추홀구,매소홀로 418번길14-57(학익1동),032-873-0541
17,사회복지사업법,종합사회복지관,이용,미추홀사회복지관,미추홀구,염창로 97(주안5동),032-876-8181
18,사회복지사업법,종합사회복지관,이용,숭의사회복지관,미추홀구,독배로 485(숭의2동),032-888-6222
19,사회복지사업법,종합사회복지관,이용,선학사회복지관,연수구,선학로 14(선학동),032-813-6453
20,사회복지사업법,종합사회복지관,이용,세화사회복지관,연수구,원인재로 315(연수3동),032-813-2790
21,사회복지사업법,종합사회복지관,이용,연수사회복지관,연수구,원인재로 212(연수2동),032-811-8012
22,사회복지사업법,종합사회복지관,이용,함박사회복지관,연수구,함박안로 217(연수1동),032-724-9965
23,사회복지사업법,종합사회복지관,이용,만수사회복지관,남동구,담방로 105(만수1동),032-463-8161
24,사회복지사업법,종합사회복지관,이용,만월사회복지관,남동구,서판로 54번길12(만수3동),032-471-9070
25,사회복지사업법,종합사회복지관,이용,성산사회복지관,남동구,석정로552(간석동),032-437-2500
26,사회복지사업법,종합사회복지관,이용,논현사회복지관,남동구,호구포로 292(논현동),032-446-9339
27,사회복지사업법,종합사회복지관,이용,구월사회복지관,남동구,선수촌로7(구월동),032-463-9900
28,사회복지사업법,종합사회복지관,이용,갈산사회복지관,부평구,주부토로 206(갈산동),032-515-8187
29,사회복지사업법,종합사회복지관,이용,부평중부사회복지관,부평구,경원대로 1418번길 13(부평동),032-528-4020
30,사회복지사업법,종합사회복지관,이용,삼산사회복지관,부평구,평천로 447(삼산동),032-529-8607
31,사회복지사업법,종합사회복지관,이용,계양사회복지관,계양구,아니지로 517(서운동),032-552-9090
32,사회복지사업법,종합사회복지관,이용,인천기독교사회복지관,서구,심곡로 124번길10(심곡동),032-568-3270
33,노숙인 등 복지 및 자립지원에 관한 법률,노숙인재활시설,생활,은혜의집,서구,심곡로132번길22(심곡동),032-590-8532
34,노숙인 등 복지 및 자립지원에 관한 법률,노숙인요양시설,생활,광명의집,서구,새오개로16번길 7-4,032-576-3347
35,노숙인 등 복지 및 자립지원에 관한 법률,노숙인요양시설,생활,다사랑의집,미추홀구,인주대로11번길 34-10(숭의동) ,032-886-8780
36,노숙인 등 복지 및 자립지원에 관한 법률,노숙인요양시설,생활,한무리Holylife,미추홀구,장천로19번길 15(숭의동),032-881-5777
37,노숙인 등 복지 및 자립지원에 관한 법률,노숙인자활시설,생활,내일을여는자활쉼터,계양구,경명대로1029-35(계산동),032-544-6330
38,노숙인 등 복지 및 자립지원에 관한 법률,쪽방상담소,이용,쪽방상담소,계양구,계양산로91(계산동),032-543-6330
39,장애인복지법,장애인거주시설(법인),생활,샬롬원,강화군,교동면 교동서로 412번길 184-94,032-933-2640
40,장애인복지법,장애인거주시설(법인),생활,중증장애인요양시설 예닮,강화군,강화읍 갑룡길 206번길 66,032-934-0630
41,장애인복지법,장애인거주시설(법인),생활,색동원,강화군,길상면 장촌길 31,032-362-9300
42,장애인복지법,장애인거주시설(법인),생활,요한의집(실비),강화군,길상면 해란길 63-1,032-937-0860
43,장애인복지법,장애인거주시설(법인),생활,장봉혜림원,옹진군,북도면 장봉로 26번길 218,032-751-8051
44,장애인복지법,장애인거주시설(법인),생활,장봉혜림요양원,옹진군,북도면 장봉로 26번길 218,032-751-8051
45,장애인복지법,장애인거주시설(법인),생활,해피타운,옹진군,영흥면 영흥서로 277-36,032-465-1540
