연번, 시설명, 시설종류, 지정일자, 주소,위도,경도, 전화번호, 정원(명)
1,주안해피타운,노인의료복지시설,2008-05-30,인천광역시 미추홀구 주승로 129 (주안동),37.44579636,126.6847222,032-432-2070,55
2,인천은혜요양원,노인의료복지시설,2008-05-30,인천광역시 미추홀구 길파로29번길 53 (주안동),37.46871997,126.6766709,032-868-7076,60
3,햇살노인전문요양원,노인의료복지시설,2008-09-23,인천광역시 미추홀구 인중로 13 (숭의동),37.46247938,126.6410163,032-891-9555,95
4,천사의집노인요양원,노인의료복지시설,2009-09-02,인천광역시 미추홀구 소성로318번길 30 (문학동),37.43638829,126.6820731,032-435-9257,60
5,인천사랑노인요양원,노인의료복지시설,2009-10-12,인천광역시 미추홀구 낙섬서로 3-14 (용현동),37.45055575,126.6331389,032-428-8850,60
6,행복한요양원,노인의료복지시설,2010-03-01,"인천광역시 미추홀구 경원대로 858 (주안동,씨티프라자 7층)",37.4593647,126.6898433,032-435-6300,42
7,효다함요양원,노인의료복지시설,2011-02-08,"인천광역시 미추홀구 독배로 443, 411호 (숭의동)",37.4588359,126.6481512,032-884-8883,42
8,온유한요양원,노인의료복지시설,2011-07-29,인천광역시 미추홀구 주안로 150 (주안동),37.46348396,126.6864388,032-442-7583,106
9,노아요양원,노인의료복지시설,2012-06-27,"인천광역시 미추홀구 경원대로 892, 2층 (주안동)",37.46243974,126.6901112,032-424-8188,79
10,햇살누리요양센터,노인의료복지시설,2013-03-01,인천광역시 미추홀구 독배로 431 (용현동),37.45792912,126.6489993,032-891-9588,46
11,노인요양원 행복의집,노인의료복지시설,2013-03-07,"인천광역시 미추홀구 아암대로29번길 86, 5층 (용현동, 백제당빌딩)",37.45631794,126.6409036,032-887-0237,9
12,인일효요양원,노인의료복지시설,2013-03-19,"인천광역시 미추홀구 한나루로 604, 1801호 (도화동, 롯데월드타워)",37.45984908,126.6729642,032-868-6000,29
13,주안愛요양원,노인의료복지시설,2013-07-23,"인천광역시 미추홀구 주안중로50번길 3 (주안동, 부건프라자 5,6층)",37.46308776,126.6830834,032-442-3114,41
14,노인요양원 행복의집Ⅱ,노인의료복지시설,2013-09-30,"인천광역시 미추홀구 아암대로29번길 86, 4층 (용현동, 백제당빌딩)",37.45631794,126.6409036,032-887-0238,9
15,남구늘푸른노인요양원,노인의료복지시설,2014-06-02,"인천광역시 미추홀구 소성로 193-26 (학익동, 동남빌딩 2~5층)",37.4414108,126.6701712,032-423-8870,29
16,행복드림요양원,노인의료복지시설,2014-12-01,"인천광역시 미추홀구 인주대로 495, 5층 (주안동)",37.45090942,126.6918313,032-438-1999,9
17,행복드림요양원2,노인의료복지시설,2014-12-01,"인천광역시 미추홀구 인주대로 495, 4층 (주안동)",37.45090942,126.6918313,032-437-1990,9
18,제일요양원,노인의료복지시설,2015-11-09,"인천광역시 미추홀구 학익소로 19, B1,2,5~7층 (학익동)",37.44548374,126.6689827,032-876-3230,80
19,예사랑요양원,노인의료복지시설,2015-12-01,인천광역시 미추홀구 미추로 1 (숭의동),37.46030261,126.6478681,032-883-8511,55
20,주안요양원,노인의료복지시설,2015-12-11,"인천광역시 미추홀구 석바위로 68, 601호 (주안동, 주안필프라자)",37.46085744,126.6806235,032-433-5675,34
21,효담채요양원,노인의료복지시설,2016-01-29,인천광역시 미추홀구 경인로 109 (숭의동),37.46648688,126.6546836,032-882-2200,80
22,믿음요양원,노인의료복지시설,2016-08-26,"인천광역시 미추홀구 매소홀로 507, 3층 (문학동, 스카이빌딩)",37.43967891,126.6786527,032-435-1020,39
23,세심요양원,노인의료복지시설,2016-12-26,인천광역시 미추홀구 경인로 270-1 (도화동),37.46199148,126.6712693,032-472-9626,95
24,인하요양원,노인의료복지시설,2018-03-15,인천광역시 미추홀구 한나루로456번길 8 (학익동),37.4472043,126.668078,032-875-2255,89
25,참사랑요양원,노인의료복지시설,2018-12-05,인천광역시 미추홀구 주안로 157-1 (주안동),37.46392981,126.6873702,032-464-7802,49
26,성심요양원,노인의료복지시설,2019-05-21,"인천광역시 미추홀구 미추홀대로657번길 1, 2층 (주안동)",37.4560139,126.6797616,032-872-9248,46
27,포도나무요양원,노인의료복지시설,2019-06-24,"인천광역시 미추홀구 주승로 22, 2층 (학익동)",37.44365373,126.6727799,032-866-1191,15
28,생명수요양원,노인의료복지시설,2019-09-23,인천광역시 미추홀구 인하로 193 (주안동),37.4489507,126.6694842,032-874-7070,41
29,주안하주요양원,노인의료복지시설,2019-10-01,인천광역시 미추홀구 경인로435번길 23 (주안동),37.45915485,126.6885723,032-715-4455,41
30,자미원요양원,노인의료복지시설,2019-12-01,인천광역시 미추홀구 참외전로 341 (숭의동),37.4664822,126.6521062,032-888-3688,29
31,도화요양원,노인의료복지시설,2019-12-16,"인천광역시 미추홀구 한나루로 604, 10층 (도화동, 롯데월드타워)",37.45984908,126.6729642,032-422-5161,68
32,미추홀효요양원,노인의료복지시설,2019-12-16,"인천광역시 미추홀구 경원대로864번길 10, 3층 4층 (주안동)",37.45956503,126.6902005,032-426-8090,45
33,센트럴힐링요양원,노인의료복지시설,2020-01-01,"인천광역시 미추홀구 한나루로 432, 4층 (학익동, 성원빌딩)",37.44570328,126.6666593,032-872-2279,9
34,매화요양원,노인의료복지시설,2021-03-01,인천광역시 미추홀구 제물량로4번길 34-33 (숭의동),37.46216188,126.6401043,032-891-0121,42
35,해피하우스요양원,노인의료복지시설,2021-06-01,"인천광역시 미추홀구 학익소로61번길 21-11, 2층 (학익동)",37.44298848,126.6711091,032-876-8899,25
36,The 숲 요양원,노인의료복지시설,2021-08-01,인천광역시 미추홀구 미추로 53 (숭의동),37.46466676,126.6457359,032-710-0086,49
37,지안요양원,노인의료복지시설,2021-09-23,"인천광역시 미추홀구 석정로 409, 1층, 3~6층 (주안동)",37.46713129,126.6809692,032-873-9988,99
