 구분 , 법인 , 시설명 , 소재지 , 주  소 ,위도,경도, 전화번호 , 설치연월 , 종사자 , 정원 , 계 , 남 , 여 , 면적 (제곱미터)
 장애인 거주시설 , 인천다비다원 , 밝은마음 ,인천광역시 연수구 봉재산로 68(동춘동 325-4),인천광역시 연수구 봉재산로 68(동춘동 325-4),37.406015,126.665079,032-817-2070,1991-06-04,43,50,50,33,17,2346
 장애인 거주시설 , 인천다비다원 , 동심원 ,인천광역시 연수구 봉재산로 68(동춘동 325-4),인천광역시 연수구 봉재산로 68(동춘동 325-4),37.406015,126.665079,032-818-4737,2001-02-05,30,50,31,21,10,3861
 장애인 거주시설 , 개인운영 , 평화의집 ,인천광역시 연수구 경원대로 588번길 5(선학동 33-6),인천광역시 연수구 경원대로 588번길 5(선학동 33-6),37.436514,126.69696,032-427-4145,2006-09-06,5,12,10,10,0,227
 장애인 거주시설 , 장애인부모회 , 연수허브단기보호센터 ,인천광역시 연수구 선학로 14 선학시영 상가내 (선학동 347),인천광역시 연수구 선학2로 13 선학시영 상가내 (선학동 347),37.43338,126.698362,032-817-2092,2002-03-01,10,14,5,3,2,486
 장애인 거주시설 , 백십자사 , 선학1공동생활가정 ,인천광역시 연수구 청능말로14번길 10(청학동 458-11 101호),인천광역시 연수구 청능말로14번길 10(청학동 458-11 101호),37.417387,126.667786,032-818-5810,1996-04-23,1,4,3,3,0,112
 장애인 거주시설 , 백십자사 , 선학2공동생활가정 ,인천광역시 연수구 청능말로 22번길 6(청학동 459-10 101호),인천광역시 연수구 청능말로 22번길 6(청학동 459-10 101호),37.416941,126.668001,032-818-5414,1999-04-20,1,4,3,3,0,120
 장애인 거주시설 , 백십자사 , 청학공동생활가정 ,인천광역시 연수구 청능말로8번길 9 101호(청학동 458-4 101호),인천광역시 연수구 청능말로8번길 9 101호(청학동 458-4 101호),37.417499,126.667855,032-575-5675,2001-01-27,1,4,3,3,0,110
 장애인 거주시설 , 백십자사 , 연수공동생활가정 ,인천광역시 연수구 청능말로8번길 9 301호(청학동 458-4 301호),인천광역시 연수구 청능말로8번길 9 301호(청학동 458-4 301호),37.417499,126.667855,032-472-8148,2013-07-12,1,4,2,0,2,110
 장애인 거주시설 , 신성재산 , 그룹홈안젤로2호 ,"인천광역시 연수구 청학로28번길 14,301호","인천광역시 연수구 청학로28번길 14,301호",37.429808,126.664155,032-832-8325,2014-05-12,1,4,3,3,0,97
 장애인 지역사회 재활시설 ,인천시사회서비스원, 인천장애인복지관 ,인천광역시 연수구 앵고개로 130(동춘동 산29-1),인천광역시 연수구 앵고개로 130(동춘동 산29-1),37.412465,126.661116,032-833-3051,1994-07-01,48,0,0,0,0,3216
 장애인 지역사회 재활시설 ,인천시사회서비스원, 해내기주간보호센터 ,인천광역시 연수구 앵고개로 130(동춘동 산29-1),인천광역시 연수구 앵고개로 130(동춘동 산29-1),37.412465,126.661116,032-833-3051,1994-07-01,6,15,15,11,4,93
 장애인 지역사회 재활시설 , 장애인부모회 , 연수허브주간보호센터 ,인천광역시 연수구 선학로 14 선학시영 상가내 (선학동 347),인천광역시 연수구 선학2로 13 선학시영 상가내 (선학동 347),37.43338,126.698362,032-817-2091,2000-09-28,6,16,15,9,6,486
 장애인 지역사회 재활시설 , 장애인부모회 , 사랑나눔주간보호센터 ,인천광역시 연수구 선학로 14 선학시영 상가내 (선학동 347),인천광역시 연수구 선학2로 13 선학시영 상가내 (선학동 347),37.43338,126.698362,032-818-2075,2006-03-17,5,12,11,8,3,93
 장애인 지역사회 재활시설 , 장애인부모회 , 연수구장애인주간보호센터 ,인천광역시 연수구 청량로185번길 31(옥련동 SM프라자 201호),인천광역시 연수구 청량로185번길 31(옥련동 SM프라자 201호),37.422973,126.651085,032-749-6891,2014-02-01,7,24,20,12,8,302
 장애인 직업재활시설 ,인천시사회서비스원, 해내기보호작업장 ,인천광역시 연수구 앵고개로 130(동춘동 산29-1),인천광역시 연수구 앵고개로 130(동춘동 산29-1),37.412465,126.661116,032-833-7074,2010-11-22,10,40,38,29,9,848
 장애인 의료재활시설 , 대한적십자사 , 경인의료재활센터병원 ,인천광역시 연수구 원인재로 263(연수동 220),인천광역시 연수구 원인재로 263(연수동 220),37.418596,126.688837,032-899-4000,2010-11-22,113,150,0,0,0,8940
장애인 직업재활시설,사회적협동조합다가치이음,다가치보호작업장,"인천광역시 연수구 새말로 146, 2층","인천광역시 연수구 새말로 146, 2층",37.4168039,126.6847071,032-815-0208,2024-02-08,3,14,14,11,3,145
