GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물연면적,건축물구조코드,건축물구조명,주요용도코드,주요용도명,건물높이,지상층수,지하층수,허가일자,사용승인일자,건물연령,연령대구분코드,연령대구분명,연령대5계급코드,연령대5계급명,데이터기준일자,원천시도시군구코드
1987148627944368621600000000,2815510700102180001,2815510700,인천광역시 영종구 덕교동,1,일반,218-1,1054115127,1,일반건축물,2,일반건축물대장,,"",136.000000000,12,블록구조,21000,동.식물 관련시설,0.000000000,1,0,1987-10-23,1987-12-03,40,05,40대,045,45세미만,2026-08-05,28155
2008154641044428228200000000,2815510300115070036,2815510300,인천광역시 영종구 운서동,1,일반,1507-36,10541100175022,1,일반건축물,2,일반건축물대장,,"",367.040000000,21,철근콘크리트구조,18000,창고시설,14.050000000,1,"",2008-04-21,2008-12-11,19,02,10대,020,20세미만,2026-08-05,28155
2001153670654434957100000000,2815510300203270000,2815510300,인천광역시 영종구 운서동,2,산,327,1054113792,1,일반건축물,2,일반건축물대장,인천국제공항열병합발전소,변전소동,1375.640000000,31,일반철골구조,25000,발전시설,10.700000000,1,,1998-02-19,2001-03-24,26,03,20대,030,30세미만,2026-08-05,28155
2001153596144436778800000000,2815510300203270000,2815510300,인천광역시 영종구 운서동,2,산,327,1054113793,1,일반건축물,2,일반건축물대장,인천국제공항열병합발전소,터빈발전기동,8072.310000000,31,일반철골구조,25000,발전시설,26.300000000,4,1,1998-02-19,2001-03-24,26,03,20대,030,30세미만,2026-08-05,28155
2001153508204436175100000000,2815510300203270000,2815510300,인천광역시 영종구 운서동,2,산,327,1054113791,1,일반건축물,2,일반건축물대장,인천국제공항열병합발전소,수처리동,578.400000000,21,철근콘크리트구조,25000,발전시설,7.400000000,1,,1998-02-19,2001-03-24,26,03,20대,030,30세미만,2026-08-05,28155
2001153466184436783900000000,2815510300203270000,2815510300,인천광역시 영종구 운서동,2,산,327,1054113790,1,일반건축물,2,일반건축물대장,인천국제공항열병합발전소,오일공급동,265.320000000,31,일반철골구조,25000,발전시설,5.100000000,1,,1998-02-19,2001-03-24,26,03,20대,030,30세미만,2026-08-05,28155
2001153538894435810000000000,2815510300203270000,2815510300,인천광역시 영종구 운서동,2,산,327,1054113789,1,일반건축물,2,일반건축물대장,인천국제공항열병합발전소,폐수처리동,468.650000000,21,철근콘크리트구조,25000,발전시설,9.600000000,2,1,1998-02-19,2001-03-24,26,03,20대,030,30세미만,2026-08-05,28155
2001153514114437430000000000,2815510300203270000,2815510300,인천광역시 영종구 운서동,2,산,327,1054113788,1,일반건축물,2,일반건축물대장,인천국제공항열병합발전소,지역난방동,3287.530000000,31,일반철골구조,25000,발전시설,26.000000000,2,,1998-02-19,2001-03-24,26,03,20대,030,30세미만,2026-08-05,28155
1999153782074434719500000000,2815510300203270000,2815510300,인천광역시 영종구 운서동,2,산,327,10541100175663,1,일반건축물,2,일반건축물대장,인천국제공항열병합발전소,암모니아저장실동,135.150000000,31,일반철골구조,19000,위험물저장및처리시설,8.000000000,1,,"",2009-01-07,18,02,10대,020,20세미만,2026-08-05,28155
2001153578654438343400000000,2815510300118220001,2815510300,인천광역시 영종구 운서동,1,일반,1822-1,1054113088,1,일반건축물,2,일반건축물대장,영종변전소,"",2447.250000000,21,철근콘크리트구조,03000,제1종근린생활시설,13.700000000,3,1,1998-03-10,2001-03-28,26,03,20대,030,30세미만,2026-08-05,28155
1999153762994435822300000000,2815510300128600001,2815510300,인천광역시 영종구 운서동,1,일반,2860-1,1054113795,1,일반건축물,2,일반건축물대장,씨동,"",60.000000000,32,경량철골구조,19000,위험물저장및처리시설,9.700000000,1,0,1998-05-06,1999-12-21,28,03,20대,030,30세미만,2026-08-05,28155
1999153450454437791200000000,2815510300128600001,2815510300,인천광역시 영종구 운서동,1,일반,2860-1,1054113794,1,일반건축물,2,일반건축물대장,비동,"",228.050000000,21,철근콘크리트구조,19000,위험물저장및처리시설,9.700000000,1,1,1998-05-06,1999-12-21,28,03,20대,030,30세미만,2026-08-05,28155
1999153470264437972500000000,2815510300128600001,2815510300,인천광역시 영종구 운서동,1,일반,2860-1,1054113786,1,일반건축물,2,일반건축물대장,에이동,"",675.000000000,31,일반철골구조,19000,위험물저장및처리시설,9.700000000,1,0,1998-05-06,1999-12-21,28,03,20대,030,30세미만,2026-08-05,28155
1999153402914437555500000000,2815510300128600001,2815510300,인천광역시 영종구 운서동,1,일반,2860-1,1054113787,1,일반건축물,2,일반건축물대장,디동,"",11.890000000,21,철근콘크리트구조,19000,위험물저장및처리시설,9.700000000,1,0,1998-05-06,1999-12-21,28,03,20대,030,30세미만,2026-08-05,28155
2018161321664446278400000000,2815510100110970230,2815510100,인천광역시 영종구 중산동,1,일반,1097-230,10541100236229,1,일반건축물,2,일반건축물대장,,"",502.810000000,21,철근콘크리트구조,03000,제1종근린생활시설,7.200000000,2,"","",2018-11-05,9,01,10세미만,010,10세미만,2026-08-05,28155
2006148678724361847600000000,2815510700101280033,2815510700,인천광역시 영종구 덕교동,1,일반,128-33,1054115082,1,일반건축물,2,일반건축물대장,,"",225.720000000,31,일반철골구조,04000,제2종근린생활시설,6.200000000,1,"",2005-11-01,2006-09-19,21,03,20대,025,25세미만,2026-08-05,28155
2006148618544362343100000000,2815510700101280031,2815510700,인천광역시 영종구 덕교동,1,일반,128-31,1054115081,1,일반건축물,2,일반건축물대장,덕교동근린생활시설,"",798.000000000,21,철근콘크리트구조,04000,제2종근린생활시설,12.400000000,3,"",2004-03-18,2006-06-09,21,03,20대,025,25세미만,2026-08-05,28155
2018148438994364942400000000,2815510700101340017,2815510700,인천광역시 영종구 덕교동,1,일반,134-17,10541100234029,1,일반건축물,2,일반건축물대장,,주건축물제1동,398.010000000,31,일반철골구조,04000,제2종근린생활시설,14.240000000,4,0,2017-12-21,2018-10-22,9,01,10세미만,010,10세미만,2026-08-05,28155
2009159724284444109100000000,2815510100113920032,2815510100,인천광역시 영종구 중산동,1,일반,1392-32,10541100180653,1,일반건축물,2,일반건축물대장,,,312.500000000,21,철근콘크리트구조,11000,노유자시설,4.800000000,1,,2008-12-22,2009-12-31,18,02,10대,020,20세미만,2026-08-05,28155
2018159630094446451000000000,2815510100112250067,2815510100,인천광역시 영종구 중산동,1,일반,1225-67,10541100227708,1,일반건축물,2,일반건축물대장,중산동단독주택,"",146.250000000,51,일반목구조,01000,단독주택,8.450000000,2,"",2010-02-24,2018-02-20,9,01,10세미만,010,10세미만,2026-08-05,28155
2009158832084448575500000000,2815510200106050000,2815510200,인천광역시 영종구 운남동,1,일반,605,10541100177107,1,일반건축물,2,일반건축물대장,,"",121.500000000,21,철근콘크리트구조,04000,제2종근린생활시설,4.500000000,1,"",2007-05-23,2009-06-08,18,02,10대,020,20세미만,2026-08-05,28155
2008157155354455370800000000,2815510400105260004,2815510400,인천광역시 영종구 운북동,1,일반,526-4,10541100172108,1,일반건축물,2,일반건축물대장,,"",257.500000000,32,경량철골구조,04000,제2종근린생활시설,4.400000000,1,"",2005-12-28,2008-01-31,19,02,10대,020,20세미만,2026-08-05,28155
2010157048864456234600000000,2815510400104360001,2815510400,인천광역시 영종구 운북동,1,일반,436-1,10541100183551,1,일반건축물,2,일반건축물대장,,"",48.400000000,32,경량철골구조,03000,제1종근린생활시설,4.500000000,1,"",2008-01-15,2010-10-04,17,02,10대,020,20세미만,2026-08-05,28155
2010156135224460656700000000,2815510400107570039,2815510400,인천광역시 영종구 운북동,1,일반,757-39,10541100180785,1,일반건축물,2,일반건축물대장,,"",123.000000000,31,일반철골구조,03000,제1종근린생활시설,4.700000000,1,"",2009-06-25,2010-01-22,17,02,10대,020,20세미만,2026-08-05,28155
2007149106034358497000000000,2815510300128550000,2815510300,인천광역시 영종구 운서동,1,일반,2855,1054113389,1,일반건축물,2,일반건축물대장,,3동,974.840000000,31,일반철골구조,04000,제2종근린생활시설,11.200000000,2,0,2005-11-02,2007-04-10,20,03,20대,025,25세미만,2026-08-05,28155
2007149063474358413700000000,2815510300128550000,2815510300,인천광역시 영종구 운서동,1,일반,2855,1054113386,1,일반건축물,2,일반건축물대장,,4동,969.480000000,31,일반철골구조,04000,제2종근린생활시설,11.200000000,2,0,2005-11-02,2007-04-10,20,03,20대,025,25세미만,2026-08-05,28155
2009144507264387663300000000,2815510500107620003,2815510500,인천광역시 영종구 을왕동,1,일반,762-3,10541100175339,1,일반건축물,2,일반건축물대장,,"",93.000000000,21,철근콘크리트구조,04000,제2종근린생활시설,7.100000000,2,"",2007-01-08,2009-01-19,18,02,10대,020,20세미만,2026-08-05,28155
2017144395374394228600000000,2815510500108080013,2815510500,인천광역시 영종구 을왕동,1,일반,808-13,10541100222788,1,일반건축물,2,일반건축물대장,을왕동 근린생활시설,1,900.180000000,21,철근콘크리트구조,04000,제2종근린생활시설,17.000000000,4,"",2014-03-17,2017-07-28,10,02,10대,015,15세미만,2026-08-05,28155
2005144375944399094900000000,2815510500108120009,2815510500,인천광역시 영종구 을왕동,1,일반,812-9,1054114733,1,일반건축물,2,일반건축물대장,,"",138.610000000,32,경량철골구조,04000,제2종근린생활시설,4.800000000,1,"",2001-12-04,2005-12-30,22,03,20대,025,25세미만,2026-08-05,28155
2011158802444435109100000000,2815510200104290009,2815510200,인천광역시 영종구 운남동,1,일반,429-9,10541100184700,1,일반건축물,2,일반건축물대장,,"",32.400000000,32,경량철골구조,03000,제1종근린생활시설,4.400000000,1,"",2009-04-30,2011-01-17,16,02,10대,020,20세미만,2026-08-05,28155
2002155036914438488700000000,2815510300127030005,2815510300,인천광역시 영종구 운서동,1,일반,2703-5,1054113263,1,일반건축물,2,일반건축물대장,,"",253.430000000,21,철근콘크리트구조,01000,단독주택,8.640000000,2,1,2002-04-25,2002-09-19,25,03,20대,030,30세미만,2026-08-05,28155
1970144546784383567000000000,2815510500107170006,2815510500,인천광역시 영종구 을왕동,1,일반,717-6,1054114592,1,일반건축물,2,일반건축물대장,,"",124.300000000,12,블록구조,01000,단독주택,0.000000000,1,0,"","",57,06,50대,060,60세미만,2026-08-05,28155
2018157185764475896000000000,2815510400112660018,2815510400,인천광역시 영종구 운북동,1,일반,1266-18,10541100235412,1,일반건축물,2,일반건축물대장,,"",330.730000000,21,철근콘크리트구조,01000,단독주택,13.300000000,3,"",2018-05-16,2018-11-06,9,01,10세미만,010,10세미만,2026-08-05,28155
2011154214374435450100000000,2815510300127580003,2815510300,인천광역시 영종구 운서동,1,일반,2758-3,10541100185022,1,일반건축물,2,일반건축물대장,,"",338.010000000,51,일반목구조,01000,단독주택,9.200000000,2,1,2010-07-27,2011-02-18,16,02,10대,020,20세미만,2026-08-05,28155
2012154139634436277800000000,2815510300127530008,2815510300,인천광역시 영종구 운서동,1,일반,2753-8,10541100188664,1,일반건축물,2,일반건축물대장,,"",99.000000000,51,일반목구조,01000,단독주택,5.400000000,2,"",2011-10-13,2012-05-07,15,02,10대,020,20세미만,2026-08-05,28155
2008159870084452874800000000,2815510100112240015,2815510100,인천광역시 영종구 중산동,1,일반,1224-15,10541100173281,1,일반건축물,2,일반건축물대장,,"",129.840000000,21,철근콘크리트구조,01000,단독주택,5.950000000,2,"",2007-07-27,2008-06-25,19,02,10대,020,20세미만,2026-08-05,28155
2011158983994447506700000000,2815510200106030018,2815510200,인천광역시 영종구 운남동,1,일반,603-18,10541100184981,1,일반건축물,2,일반건축물대장,,"",222.450000000,32,경량철골구조,04000,제2종근린생활시설,5.500000000,1,"",2004-07-14,2011-02-16,16,02,10대,020,20세미만,2026-08-05,28155
1987158532314447674100000000,2815510200106180000,2815510200,인천광역시 영종구 운남동,1,일반,618,1054112217,1,일반건축물,2,일반건축물대장,,"",50.900000000,12,블록구조,04000,제2종근린생활시설,0.000000000,1,0,"","",2028,11,100세이상,105,100세이상,2026-08-05,28155
2008157197264447656500000000,2815510400105720029,2815510400,인천광역시 영종구 운북동,1,일반,572-29,10541100175181,1,일반건축물,2,일반건축물대장,,2동,124.600000000,21,철근콘크리트구조,03000,제1종근린생활시설,3.800000000,1,"",2007-11-27,2008-12-24,19,02,10대,020,20세미만,2026-08-05,28155
2008157192884447561900000000,2815510400105720029,2815510400,인천광역시 영종구 운북동,1,일반,572-29,10541100175180,1,일반건축물,2,일반건축물대장,,1동,127.290000000,21,철근콘크리트구조,03000,제1종근린생활시설,4.500000000,1,"",2007-11-27,2008-12-24,19,02,10대,020,20세미만,2026-08-05,28155
2010156059034457619500000000,2815510400107890276,2815510400,인천광역시 영종구 운북동,1,일반,789-276,10541100182872,1,일반건축물,2,일반건축물대장,,"",88.320000000,32,경량철골구조,04000,제2종근린생활시설,4.900000000,1,"",2009-06-02,2010-08-02,17,02,10대,020,20세미만,2026-08-05,28155
2016159517654457388300000000,2815510100118500433,2815510100,인천광역시 영종구 중산동,1,일반,1850-433,10541100218291,1,일반건축물,2,일반건축물대장,,"",74.180000000,31,일반철골구조,03000,제1종근린생활시설,7.400000000,2,0,2016-08-09,2016-12-16,11,02,10대,015,15세미만,2026-08-05,28155
1980144073374403682800000000,2815510500108770001,2815510500,인천광역시 영종구 을왕동,1,일반,877-1,1054114755,1,일반건축물,2,일반건축물대장,,"",64.130000000,11,벽돌구조,01000,단독주택,0.000000000,1,0,"","",47,05,40대,050,50세미만,2026-08-05,28155
1969144838654384891000000000,2815510500107460001,2815510500,인천광역시 영종구 을왕동,1,일반,746-1,1054114609,1,일반건축물,2,일반건축물대장,,"",69.200000000,12,블록구조,01000,단독주택,0.000000000,1,0,"","",2028,11,100세이상,105,100세이상,2026-08-05,28155
2017144049464396497500000000,2815510500108100092,2815510500,인천광역시 영종구 을왕동,1,일반,810-92,10541100222678,1,일반건축물,2,일반건축물대장,,주건축물제1동,487.760000000,21,철근콘크리트구조,04000,제2종근린생활시설,17.000000000,4,0,2016-04-15,2017-07-14,10,02,10대,015,15세미만,2026-08-05,28155
2008159421984436734400000000,2815510200105260004,2815510200,인천광역시 영종구 운남동,1,일반,526-4,10541100175309,1,일반건축물,2,일반건축물대장,A동,"",199.120000000,21,철근콘크리트구조,03000,제1종근린생활시설,7.300000000,2,"",2008-04-23,2008-12-30,19,02,10대,020,20세미만,2026-08-05,28155
2008159438634436769000000000,2815510200105260004,2815510200,인천광역시 영종구 운남동,1,일반,526-4,10541100175310,1,일반건축물,2,일반건축물대장,B동,"",199.120000000,21,철근콘크리트구조,03000,제1종근린생활시설,7.300000000,2,"",2008-04-23,2008-12-30,19,02,10대,020,20세미만,2026-08-05,28155
2007155021884440740800000000,2815510300126920001,2815510300,인천광역시 영종구 운서동,1,일반,2692-1,10541100171434,1,일반건축물,2,일반건축물대장,,"",195.580000000,21,철근콘크리트구조,01000,단독주택,8.800000000,2,"",2007-05-17,2007-11-16,20,03,20대,025,25세미만,2026-08-05,28155
