연번,배경일련번호,지하철코드,화면표현_코드,지하철역_풀네임,지하철역_이름,이력필드,법정동_코드,법정동_이름,행정동_코드,행정동_이름,X좌표,Y좌표
1,393959,160401,160401,간석역,간석역,U,2820010200,인천광역시남동구간석동,2820055100,인천광역시남동구간석4동,14103447.37,4504079.576
2,320523,160418,160418,부평삼거리역,부평삼거리역,U,2820010200,인천광역시남동구간석동,2820055000,인천광역시남동구간석3동,14105345.81,4505984.054
3,895360,160401,160401,동암역,동암역,U,2823710200,인천광역시부평구십정동,2823769000,인천광역시부평구십정2동,14104502.26,4504946.444
4,257765,160401,160401,백운역,백운역,U,2823710200,인천광역시부평구십정동,2823753000,인천광역시부평구부평3동,14104980.39,4506690.275
5,71038,160401,160401,도원역,도원역,U,2817710100,인천광역시미추홀구숭의동,2817752000,인천광역시미추홀구숭의1.3동,14097816.35,4504628.775
6,444188,160418,160418,계산역(인천하이병원),계산역(인천하이병원),U,2824510200,인천광역시계양구계산동,2824561200,인천광역시계양구계산2동,14107357.61,4515104.81
7,4946489,160435,160435,숭의역(인하대병원),숭의역(인하대병원),U,2817710200,인천광역시미추홀구용현동,2817755000,인천광역시미추홀구용현2동,14097288.66,4503546.845
8,858275,160401,160401,인천역(차이나타운),인천역(차이나타운),U,2811013800,인천광역시중구북성동1가,2811060000,인천광역시중구북성동,14094934.59,4505717.252
9,738209,160418,160418,계양역,계양역,U,2824511100,인천광역시계양구귤현동,2824571000,인천광역시계양구계양1동,14108232.73,4519062.157
10,927026,160418,160418,임학역,임학역,U,2824510500,인천광역시계양구임학동,2824572000,인천광역시계양구계양2동,14108484.21,4515359.706
11,1502107,160409,160409,굴포천역,굴포천역,U,2823710600,인천광역시부평구갈산동,2823764200,인천광역시부평구갈산2동,14107680.1,4510015.403
12,1664402,160418,160418,인천대입구역(송도컨벤시아),인천대입구역(송도컨벤시아),U,2818510600,인천광역시연수구송도동,2818583000,인천광역시연수구송도2동,14097435.54,4493076.926
13,487304,160418,160418,부평구청역(로이문화예술실용전문학교),부평구청역(로이문화예술실용전문학교),U,2823710400,인천광역시부평구청천동,2823759200,인천광역시부평구청천2동,14106472.51,4510215.296
14,91554,160401,160401,동인천역,동인천역,U,2811013600,인천광역시중구인현동,2811058500,인천광역시중구동인천동,14096678.09,4505583.957
15,1664492,160418,160418,센트럴파크역(포스코건설),센트럴파크역(포스코건설),U,2818510600,인천광역시연수구송도동,2818583000,인천광역시연수구송도2동,14096941.92,4494003.183
16,810823,160418,160418,부평역(부평힘찬병원),부평역(부평힘찬병원),U,2823710100,인천광역시부평구부평동,2823751000,인천광역시부평구부평1동,14106793.78,4507696.325
17,693054,160401,160401,부개역,부개역,U,2823710700,인천광역시부평구부개동,2823766000,인천광역시부평구부개2동,14108695.18,4507416.655
18,743609,160418,160418,작전역(IS한림병원),작전역(IS한림병원),U,2824510300,인천광역시계양구작전동,2824562200,인천광역시계양구작전2동,14106687.79,4513282.535
19,1308738,160418,160418,선학역,선학역,U,2818510200,인천광역시연수구선학동,2818575000,인천광역시연수구선학동,14104060.38,4498788.215
20,1664493,160418,160418,지식정보단지역(송도이플란트치과),지식정보단지역(송도이플란트치과),U,2818510600,인천광역시연수구송도동,2818582000,인천광역시연수구송도1동,14098104.32,4491929.186
21,1338600,160418,160418,인천터미널역(푸른세상안과),인천터미널역(푸른세상안과),U,2817710600,인천광역시미추홀구관교동,2817770000,인천광역시미추홀구관교동,14104142.08,4500876.273
22,1664438,160418,160418,테크노파크역(현대프리미엄아울렛송도점),테크노파크역(현대프리미엄아울렛송도점),U,2818510600,인천광역시연수구송도동,2818582000,인천광역시연수구송도1동,14099327.27,4492530.157
23,1463597,160409,160409,부평구청역(로이문화예술실용전문학교),부평구청역(로이문화예술실용전문학교),U,2823710100,인천광역시부평구부평동,2823754000,인천광역시부평구부평4동,14106544.64,4510076.828
24,557415,160418,160418,귤현역,귤현역,U,2824511100,인천광역시계양구귤현동,2824573000,인천광역시계양구계양3동,14108920.62,4518353.603
25,281318,160418,160418,부평시장역(한길안과병원),부평시장역(한길안과병원),U,2823710100,인천광역시부평구부평동,2823751000,인천광역시부평구부평1동,14106659.3,4508814.769
26,1106427,160418,160418,동수역,동수역,U,2823710100,인천광역시부평구부평동,2823752000,인천광역시부평구부평2동,14106228.31,4506984.848
27,776370,160401,160401,제물포역(인천대학교제물포캠퍼스),제물포역(인천대학교제물포캠퍼스),U,2817710400,인천광역시미추홀구도화동,2817760000,인천광역시미추홀구도화1동,14099412.82,4504376.976
28,2266398,160435,160435,송도역,송도역,U,2818510100,인천광역시연수구옥련동,2818564000,인천광역시연수구옥련2동,14099114.46,4499175.643
29,2249182,160435,160435,소래포구역,소래포구역,U,2820011000,인천광역시남동구논현동,2820071000,인천광역시남동구논현고잔동,14107913.91,4495145.85
30,943158,160418,160418,원인재역(인천힘찬병원),원인재역(인천힘찬병원),U,2818510300,인천광역시연수구연수동,2818576200,인천광역시연수구연수2동,14102826.26,4496738.854
31,1213964,160418,160418,간석오거리역,간석오거리역,U,2820010200,인천광역시남동구간석동,2820053000,인천광역시남동구간석1동,14105058.67,4504388.982
32,4946479,160435,160435,인천역,인천역,U,2811013900,인천광역시중구북성동2가,2811060000,인천광역시중구북성동,14094984.09,4505730.41
33,4946482,160435,160435,신포역,신포역,U,2811012200,인천광역시중구사동,2811053000,인천광역시중구신포동,14095777.6,4504606.045
34,704034,160401,160401,도화역,도화역,U,2817710400,인천광역시미추홀구도화동,2817760000,인천광역시미추홀구도화1동,14100703.4,4504278.752
35,2266402,160435,160435,인천논현역,인천논현역,U,2820011000,인천광역시남동구논현동,2820070000,인천광역시남동구논현2동,14106685.17,4495100.684
36,2201981,160435,160435,원인재역,원인재역,U,2818510300,인천광역시연수구연수동,2818576200,인천광역시연수구연수2동,14102670.44,4496858.532
37,2266401,160435,160435,호구포역,호구포역,U,2820011000,인천광역시남동구논현동,2820070000,인천광역시남동구논현2동,14105147.52,4495238.286
38,667177,160418,160418,박촌역(한양자동차운전전문학원),박촌역(한양자동차운전전문학원),U,2824510900,인천광역시계양구박촌동,2824571000,인천광역시계양구계양1동,14109188.28,4516546.143
39,1664494,160418,160418,캠퍼스타운역(연세대학교),캠퍼스타운역(연세대학교),U,2818510600,인천광역시연수구송도동,2818582000,인천광역시연수구송도1동,14099958.76,4493356.541
40,100589,160401,160401,주안역,주안역,U,2817710500,인천광역시미추홀구주안동,2817762000,인천광역시미추홀구주안1동,14101966.15,4504128.964
41,788026,160418,160418,예술회관역(가천대길병원),예술회관역(가천대길병원),U,2820010100,인천광역시남동구구월동,2820052100,인천광역시남동구구월3동,14104292.61,4501921.552
42,238435,160418,160418,경인교대입구역(상록호텔조리직업전문학교),경인교대입구역(상록호텔조리직업전문학교),U,2824510200,인천광역시계양구계산동,2824561100,인천광역시계양구계산1동,14106697.84,4514390.042
43,1321791,160401,160401,부평역(가톨릭대인천성모병원),부평역(가톨릭대인천성모병원),U,2823710100,인천광역시부평구부평동,2823751000,인천광역시부평구부평1동,14106917.87,4507553.841
44,912845,160418,160418,동춘역(스퀘어원),동춘역(스퀘어원),U,2818510500,인천광역시연수구동춘동,2818579500,인천광역시연수구동춘3동,14102059.5,4495666.211
45,4946494,160435,160435,인하대역,인하대역,U,2817710200,인천광역시미추홀구용현동,2817757000,인천광역시미추홀구용현5동,14098596.48,4501766.055
46,810074,160418,160418,신연수역(가천대학교메디컬캠퍼스),신연수역(가천대학교메디컬캠퍼스),U,2818510200,인천광역시연수구선학동,2818575000,인천광역시연수구선학동,14103514.16,4497540.502
47,2266400,160435,160435,남동인더스파크역,남동인더스파크역,U,2820011100,인천광역시남동구고잔동,2820071000,인천광역시남동구논현고잔동,14103650.64,4496100.064
48,2266399,160435,160435,연수역,연수역,U,2818510300,인천광역시연수구연수동,2818576100,인천광역시연수구연수1동,14101846.1,4497500.457
49,555806,160418,160418,갈산역(경문실용전문학교),갈산역(경문실용전문학교),U,2823710600,인천광역시부평구갈산동,2823764100,인천광역시부평구갈산1동,14106579.69,4511426.573
50,1509344,160409,160409,삼산체육관역,삼산체육관역,U,2823710500,인천광역시부평구삼산동,2823764800,인천광역시부평구삼산2동,14108859.42,4509942.712
51,912762,160418,160418,인천시청역(21세기병원),인천시청역(21세기병원),U,2820010200,인천광역시남동구간석동,2820053000,인천광역시남동구간석1동,14104426.65,4503086.368
52,1242059,160418,160418,문학경기장역(그랜드오스티엄웨딩컨벤션),문학경기장역(그랜드오스티엄웨딩컨벤션),U,2818510200,인천광역시연수구선학동,2818575000,인천광역시연수구선학동,14103995.18,4499909.169
53,1112569,160418,160418,동막역(인천광역시평생학습관),동막역(인천광역시평생학습관),U,2818510500,인천광역시연수구동춘동,2818579000,인천광역시연수구동춘2동,14101241.32,4494747.865
54,1664490,160418,160418,국제업무지구역(센트로드),국제업무지구역(센트로드),U,2818510600,인천광역시연수구송도동,2818583000,인천광역시연수구송도2동,14096400.36,4495070.128
55,1664490,160418,160418,송도달빛축제공원역,송도달빛축제공원역,U,2818510600,송도동,2818583000,송도2동,14095930.84,4496008.517
56,,999999,999999,운연역,운연역,,2820010600,운연동,2820065000,장수서창동,14110819.35,4500571.289
57,,999999,999999,인천대공원역,인천대공원역,,2820010400,장수동,2820065000,장수서창동,14110060.05,4501807.381
58,,999999,999999,남동구청역,남동구청역,,2820010300,만수동,2820058300,만수6동,14108267.56,4501738.722
59,,999999,999999,만수역,만수역,,2820010300,만수동,2820058200,만수5동,14107706.75,4502723.564
60,,999999,999999,모래내시장역,모래내시장역,,2820010100,구월동,2820052200,구월4동,14106366.27,4502832.991
61,,999999,999999,석천사거리역,석천사거리역,,2820010100,구월동,2820052000,구월2동,14105340.39,4502969.774
62,,999999,999999,인천시청역,인천시청역,,2820010200,간석동,2820053000,간석1동,14104355.55,4502983.453
63,,999999,999999,석바위시장역,석바위시장역,,2817710500,주안동,2817767000,주안6동,14103329.67,4503106.558
64,,999999,999999,시민공원역,시민공원역,,2817710500,주안동,2817762000,주안1동,14102084.94,4503202.306
65,,999999,999999,주안역,주안역,,2817710500,주안동,2817766000,주안5동,14101852.41,4504146.113
66,,999999,999999,주안국가산단역,주안국가산단역,,2826011200,가좌동,2826060000,가좌3동,14102098.62,4505377.165
67,,999999,999999,가재울역,가재울역,,2826011200,가좌동,2826061000,가좌4동,14102372.19,4506813.393
