정류장명,정류장 번호,승차인원수,하차인원수,승차인원수(카드),하차인원수(카드),승차인원수(현금),일평균 승하차인원수
(주)경동세라믹스,89146,1064,35,1064,35,0,36.63
(주)경인양행앞,42096,2048,1290,2048,1290,0,111.27
(주)경인양행앞,42097,2104,4765,2104,4765,0,228.97
(주)대한특수금속,39050,952,106,952,106,0,35.27
(주)두남,39135,185,71,185,71,0,8.53
(주)세모입구(린나이코리아),37585,1306,2271,1306,2271,0,119.23
(주)세모입구(린나이코리아),40893,387,700,387,700,0,36.23
(주)스킨이데아,89388,1490,3721,1490,3721,0,173.7
(주)스킨이데아,89389,3551,59,3551,59,0,120.33
(주)우리김치,39133,449,3051,449,3051,0,116.67
(주)우리김치,39134,2046,458,2046,458,0,83.47
(주)창원,39029,3281,2913,3281,2913,0,206.47
(주)창원,39030,3560,3493,3560,3493,0,235.1
(주)하나금속,39124,20,69,20,69,0,2.97
17사단.다임메가타운,40895,2465,4758,2465,4758,0,240.77
2001아울렛,40154,3704,5481,3704,5481,0,306.17
2001아울렛,40159,29623,12934,29623,12934,0,1418.57
2001아울렛,40162,10311,20294,10311,20294,0,1020.17
2001아울렛부평점,40158,4213,4319,4213,4319,0,284.4
2차풍림아이원,42584,28,9728,28,9728,0,325.2
3단지,40736,220,1524,220,1524,0,58.13
3단지관리사무소,40107,1603,277,1603,277,0,62.67
41번구종점,42174,1776,5942,1776,5942,0,257.27
510번차고지,36145,750,483,750,483,0,41.1
540번종점,39470,2777,4087,2777,4087,0,228.8
6공단사거리,37577,275,2027,275,2027,0,76.73
6공단입구,37442,479,1055,479,1055,0,51.13
6공단입구,37443,1012,1262,1012,1262,0,75.8
8부두,35181,258,1929,258,1929,0,72.9
8부두,35182,1770,2549,1770,2549,0,143.97
BMNR&D센터,89451,529,1,529,1,0,17.67
BMNR&D센터,89452,0,455,0,455,0,15.17
BMX경기장,90459,45,5,45,5,0,1.67
BMX경기장,90477,11,4,10,4,1,0.5
CJ인천2공장,35591,394,3114,394,3114,0,116.93
CJ인천2공장,35592,2390,151,2390,151,0,84.7
E편한세상,42453,433,489,433,489,0,30.73
E편한세상,42649,1404,6688,1404,6688,0,269.73
E편한세상,42726,6594,1422,6594,1422,0,267.2
GS25편의점,36142,1204,2496,1204,2496,0,123.33
GS칼텍스,35168,560,35,560,35,0,19.83
GS칼텍스,35557,11,2374,11,2374,0,79.5
GS칼텍스,89220,85,728,85,728,0,27.1
GS칼텍스,89224,310,2269,310,2269,0,85.97
GS칼텍스주유소,39814,52,88,52,88,0,4.67
HD현대인프라코어,36081,849,1625,849,1625,0,82.47
HD현대인프라코어,36083,2305,936,2305,936,0,108.03
