코드유형,상위코드,공통코드,코드명
etong_cd,11,11,고압기계식
etong_cd,12,12,고압전자식-표준형
etong_cd,13,13,고압전자식-기록형
etong_cd,14,14,고압전자식-거래용
etong_cd,21,21,저압기계식-기계식
etong_cd,22,22,저압기계식-OMR
etong_cd,23,23,저압기계식-RFID
etong_cd,31,31,저압:전자식-심야용
etong_cd,32,32,저압전자식-복합
etong_cd,33,33,저압전자식-역률용
etong_cd,34,34,저압전자식-표준형일반
etong_cd,35,35,저압전자식-E타입
etong_cd,36,36,저압전자식-G타입
etong_cd,37,37,저압전자식-CT일체형
etong_cd,38,38,저압전자식-AE타입
etong_cd,41,41,최대수요전력(DM)
etong_cd,42,42,저압전자식-RFID
etong_cd,99,99,기타
pchild_clcd,1,1,모수용
pchild_clcd,2,2,자수용
pchild_clcd,3,3,모자동시수용
pchild_clcd,4,4,모자대상제외
