일련번호,데이터한글명,데이터크기
1,고객번호,10
2,고객명,20
3,계기번호,20
4,계기 번호,20
5,조회일자,8
6,조회시분,8
7,다계기여부,1
8,15분단위 전력소비 데이터(96건),14_4
9,15분단위 전력소비 데이터(1건),14_4
10,계약종명,20
11,전력소비량,14_4
12,업종명,20
13,전력소비데이터,14_4
14,청구년월,6
15,계약종별,20
16,선택요금,5
17,정기검침일,2
18,계기배수,1
19,계약전력,8
20,요금적용전력,8
21,기본요금,17_2
22,전력량요금,17_2
23,할인/공제계,15
24,전기요금계,15
25,부가가치세,15
26,전월연체료,15
27,전력기금,15
28,기타,15
29,원단위절사,5
30,당월요금계,17
31,미납요금,15
32,TV수신료,15
33,청구요금,17
34,당월지침,15
35,전월지침,15
36,사용량,15
37,진상역률,6_3
38,지상역률,6_3
39,계기유형,15
40,AMI구분,20
41,경부하사용량,15
42,중부하사용량,15
43,최대부하사용량,15
44,경부하당월지침,15
45,중부하당월지침,15
46,최대부하당월지침,15
47,유효전력,20
48,저고압 구분,5
49,제3자 정보제공 동의일(최초),8
50,제3자 정보제공 동의만료일,8
51,이사정산일,8
52,진상역률,6_3
53,지상역률,6_3
54,가입여부 확인,1
55,고객정보 확인(고객번호+사업자번호 체크),1
56,동의여부 확인,1
57,제3자 정보제공 동의만료일,8
58,발전소명,100
59,상호명,100
60,계약체결일자,8
61,계약시작일자,8
62,계약종료일자,8
63,승인용량,10
64,설비용량,10
65,시도명,20
66,시군구명,20
67,법정동명,20
68,법정리명,20
69,본번,10
70,부번,10
71,SMP단가구입전력량,15_4
72,기준단가구입량,15_4
73,총구입전력량,15_4
74,SMP단가,12_4
75,기준단가,20_5
76,SMP구입금액,15
77,기준단가구입금액,15
78,구입금액,15
79,부가가치세금액,15
80,지급금액,15
81,정산SMP단가구입전력량,15
82,정산총구입전력량,15
83,정산SMP단가구입금액,15
84,정산기준단가구입전력량,15
85,정산총구입금액,15
86,구입합계금액,15
87,부가가치세합계금액,15
88,합계지급금액,15
89,검침  실행일자,8
90,검침시분,4
91,발전  전력량계  번호,12
92,유효전력량계  LP  값,15
93,누적  유효전력량계  지침,15
94,전력구입계약분산전원계약번호,10
95,구입요금적용년월,6
96,관할본부명,20
97,관할사업소명,20
98,검침일자,8
99,전월지침,15
100,전월전력량계배수,10
101,전월발전량,15
102,당월지침,15
103,당월전력량계배수,15
104,당월발전량,10
105,당월최대거래허용량,15
106,당월자가사용량,15
107,당월송전량,15
108,당월정산대상사용량,15
109,차감지침,15
110,발전량,15
111,손실전력량,15
112,역송전월지침,15
113,역송당월지침,15
114,역송차감지침,15
115,역송전력량계배수,15
116,역송발전량,15
117,철거지침,15
118,부설지침,15
