서비스목록일련번호,에이피아이구분,에이피아이서비스명,에이피아이서비스단축명,제공내용
1,10,고객정보,고객정보,요청고객의 고객기본사항
1,10,고객정보,고객정보,요청고객의 고객기본사항
1,10,고객정보,고객정보,요청고객의 고객기본사항
1,10,고객정보,고객정보,요청고객의 고객기본사항
1,10,고객정보,고객정보,요청고객의 고객기본사항
1,10,고객정보,고객정보,요청고객의 고객기본사항
1,10,고객정보,고객정보,요청고객의 고객기본사항
1,10,고객정보,고객정보,요청고객의 고객기본사항
1,10,고객정보,고객정보,요청고객의 고객기본사항
1,10,고객정보,고객정보,요청고객의 고객기본사항
1,10,고객정보,고객정보,요청고객의 고객기본사항
1,10,고객정보,고객정보,요청고객의 고객기본사항
1,10,고객정보,고객정보,요청고객의 고객기본사항
1,10,고객정보,고객정보,요청고객의 고객기본사항
1,10,고객정보,고객정보,요청고객의 고객기본사항
1,10,고객정보,고객정보,요청고객의 고객기본사항
2,10,고객번호/ 계기번호,고객번호/ 계기번호,고객번호/ 계기번호 조회
2,10,고객번호/ 계기번호,고객번호/ 계기번호,고객번호/ 계기번호 조회
2,10,고객번호/ 계기번호,고객번호/ 계기번호,고객번호/ 계기번호 조회
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
3,10,청구정보,청구정보,요청고객의 전기요금 청구정보
4,10,고객번호,고객번호,고객번호 목록
4,10,고객번호,고객번호,고객번호 목록
4,10,고객번호,고객번호,고객번호 목록
4,10,고객번호,고객번호,고객번호 목록
4,10,고객번호,고객번호,고객번호 목록
4,10,고객번호,고객번호,고객번호 목록
5,10,15분단위 전력소비 데이터,15분단위 전력소비 데이터,요청고객의 요청일자시분에 대한 15분단위 1개 데이터
5,10,15분단위 전력소비 데이터,15분단위 전력소비 데이터,요청고객의 요청일자시분에 대한 15분단위 1개 데이터
5,10,15분단위 전력소비 데이터,15분단위 전력소비 데이터,요청고객의 요청일자시분에 대한 15분단위 1개 데이터
5,10,15분단위 전력소비 데이터,15분단위 전력소비 데이터,요청고객의 요청일자시분에 대한 15분단위 1개 데이터
5,10,15분단위 전력소비 데이터,15분단위 전력소비 데이터,요청고객의 요청일자시분에 대한 15분단위 1개 데이터
5,10,15분단위 전력소비 데이터,15분단위 전력소비 데이터,요청고객의 요청일자시분에 대한 15분단위 1개 데이터
5,10,15분단위 전력소비 데이터,15분단위 전력소비 데이터,요청고객의 요청일자시분에 대한 15분단위 1개 데이터
6,10,일단위 전력소비 데이터,일단위 전력소비 데이터,요청고객의 요청일자에 대한 15분단위 하루치 96개 데이터
6,10,일단위 전력소비 데이터,일단위 전력소비 데이터,요청고객의 요청일자에 대한 15분단위 하루치 96개 데이터
6,10,일단위 전력소비 데이터,일단위 전력소비 데이터,요청고객의 요청일자에 대한 15분단위 하루치 96개 데이터
6,10,일단위 전력소비 데이터,일단위 전력소비 데이터,요청고객의 요청일자에 대한 15분단위 하루치 96개 데이터
6,10,일단위 전력소비 데이터,일단위 전력소비 데이터,요청고객의 요청일자에 대한 15분단위 하루치 96개 데이터
6,10,일단위 전력소비 데이터,일단위 전력소비 데이터,요청고객의 요청일자에 대한 15분단위 하루치 96개 데이터
6,10,일단위 전력소비 데이터,일단위 전력소비 데이터,요청고객의 요청일자에 대한 15분단위 하루치 96개 데이터
