년월,행정구역,에너지사용량구분,세부용도,사용량
2024-01,경기도,열판매량(Gcal),공공용,33049.71
2024-02,경기도,열판매량(Gcal),공공용,24060.47
2024-03,경기도,열판매량(Gcal),공공용,20942.86
2024-04,경기도,열판매량(Gcal),공공용,9112.51
2024-05,경기도,열판매량(Gcal),공공용,8547.28
2024-06,경기도,열판매량(Gcal),공공용,12320.24
2024-07,경기도,열판매량(Gcal),공공용,17689.37
2024-08,경기도,열판매량(Gcal),공공용,19498.10
2024-09,경기도,열판매량(Gcal),공공용,14194.03
2024-10,경기도,열판매량(Gcal),공공용,6955.86
2024-11,경기도,열판매량(Gcal),공공용,13675.35
2024-12,경기도,열판매량(Gcal),공공용,28867.37
2024-01,경상남도,열판매량(Gcal),공공용,2262.01
2024-02,경상남도,열판매량(Gcal),공공용,1849.71
2024-03,경상남도,열판매량(Gcal),공공용,1556.14
2024-04,경상남도,열판매량(Gcal),공공용,691.21
2024-05,경상남도,열판매량(Gcal),공공용,491.97
2024-06,경상남도,열판매량(Gcal),공공용,615.54
2024-07,경상남도,열판매량(Gcal),공공용,739.63
2024-08,경상남도,열판매량(Gcal),공공용,753.95
2024-09,경상남도,열판매량(Gcal),공공용,588.67
2024-10,경상남도,열판매량(Gcal),공공용,464.61
2024-11,경상남도,열판매량(Gcal),공공용,990.68
2024-12,경상남도,열판매량(Gcal),공공용,2069.61
2024-01,대구광역시,열판매량(Gcal),공공용,4431.27
2024-02,대구광역시,열판매량(Gcal),공공용,3433.80
2024-03,대구광역시,열판매량(Gcal),공공용,3112.04
2024-04,대구광역시,열판매량(Gcal),공공용,1287.61
2024-05,대구광역시,열판매량(Gcal),공공용,814.14
2024-06,대구광역시,열판매량(Gcal),공공용,743.04
2024-07,대구광역시,열판매량(Gcal),공공용,942.75
2024-08,대구광역시,열판매량(Gcal),공공용,863.54
2024-09,대구광역시,열판매량(Gcal),공공용,724.06
2024-10,대구광역시,열판매량(Gcal),공공용,993.61
2024-11,대구광역시,열판매량(Gcal),공공용,2213.17
2024-12,대구광역시,열판매량(Gcal),공공용,4218.04
2024-01,서울특별시,열판매량(Gcal),공공용,8118.69
2024-02,서울특별시,열판매량(Gcal),공공용,5776.12
2024-03,서울특별시,열판매량(Gcal),공공용,4940.86
2024-04,서울특별시,열판매량(Gcal),공공용,2004.12
2024-05,서울특별시,열판매량(Gcal),공공용,1471.62
2024-06,서울특별시,열판매량(Gcal),공공용,1644.98
2024-07,서울특별시,열판매량(Gcal),공공용,2072.87
2024-08,서울특별시,열판매량(Gcal),공공용,2196.71
2024-09,서울특별시,열판매량(Gcal),공공용,1619.44
2024-10,서울특별시,열판매량(Gcal),공공용,1318.02
2024-11,서울특별시,열판매량(Gcal),공공용,3065.14
2024-12,서울특별시,열판매량(Gcal),공공용,6638.84
2024-01,세종특별자치시,열판매량(Gcal),공공용,7044.89
2024-02,세종특별자치시,열판매량(Gcal),공공용,5117.12
2024-03,세종특별자치시,열판매량(Gcal),공공용,4343.00
2024-04,세종특별자치시,열판매량(Gcal),공공용,2095.00
2024-05,세종특별자치시,열판매량(Gcal),공공용,2791.35
2024-06,세종특별자치시,열판매량(Gcal),공공용,5998.96
2024-07,세종특별자치시,열판매량(Gcal),공공용,9479.25
2024-08,세종특별자치시,열판매량(Gcal),공공용,11674.20
2024-09,세종특별자치시,열판매량(Gcal),공공용,7798.81
2024-10,세종특별자치시,열판매량(Gcal),공공용,1562.47
2024-11,세종특별자치시,열판매량(Gcal),공공용,2802.42
2024-12,세종특별자치시,열판매량(Gcal),공공용,6057.12
2024-01,전라남도,열판매량(Gcal),공공용,468.92
2024-02,전라남도,열판매량(Gcal),공공용,321.04
2024-03,전라남도,열판매량(Gcal),공공용,274.95
2024-04,전라남도,열판매량(Gcal),공공용,104.76
2024-05,전라남도,열판매량(Gcal),공공용,182.17
2024-06,전라남도,열판매량(Gcal),공공용,429.43
2024-07,전라남도,열판매량(Gcal),공공용,798.72
2024-08,전라남도,열판매량(Gcal),공공용,896.20
2024-09,전라남도,열판매량(Gcal),공공용,681.25
2024-10,전라남도,열판매량(Gcal),공공용,94.32
2024-11,전라남도,열판매량(Gcal),공공용,142.40
2024-12,전라남도,열판매량(Gcal),공공용,347.30
2024-01,충청북도,열판매량(Gcal),공공용,3724.45
2024-02,충청북도,열판매량(Gcal),공공용,2636.04
2024-03,충청북도,열판매량(Gcal),공공용,2499.21
2024-04,충청북도,열판매량(Gcal),공공용,811.96
2024-05,충청북도,열판매량(Gcal),공공용,1017.93
2024-06,충청북도,열판매량(Gcal),공공용,2020.64
2024-07,충청북도,열판매량(Gcal),공공용,2587.46
2024-08,충청북도,열판매량(Gcal),공공용,2525.18
2024-09,충청북도,열판매량(Gcal),공공용,2066.33
2024-10,충청북도,열판매량(Gcal),공공용,542.91
2024-11,충청북도,열판매량(Gcal),공공용,1669.22
2024-12,충청북도,열판매량(Gcal),공공용,3533.14
2024-01,경기도,열판매량(Gcal),업무용,231489.64
2024-02,경기도,열판매량(Gcal),업무용,162002.25
2024-03,경기도,열판매량(Gcal),업무용,129498.60
2024-04,경기도,열판매량(Gcal),업무용,56354.61
2024-05,경기도,열판매량(Gcal),업무용,71359.86
2024-06,경기도,열판매량(Gcal),업무용,127350.98
2024-07,경기도,열판매량(Gcal),업무용,184862.02
2024-08,경기도,열판매량(Gcal),업무용,224537.28
2024-09,경기도,열판매량(Gcal),업무용,156544.83
2024-10,경기도,열판매량(Gcal),업무용,51081.14
2024-11,경기도,열판매량(Gcal),업무용,89128.18
2024-12,경기도,열판매량(Gcal),업무용,211501.74
2024-01,경상남도,열판매량(Gcal),업무용,1977.44
2024-02,경상남도,열판매량(Gcal),업무용,1590.20
2024-03,경상남도,열판매량(Gcal),업무용,1394.89
2024-04,경상남도,열판매량(Gcal),업무용,710.24
2024-05,경상남도,열판매량(Gcal),업무용,640.00
2024-06,경상남도,열판매량(Gcal),업무용,800.29
2024-07,경상남도,열판매량(Gcal),업무용,1066.81
2024-08,경상남도,열판매량(Gcal),업무용,1209.57
2024-09,경상남도,열판매량(Gcal),업무용,1234.75
2024-10,경상남도,열판매량(Gcal),업무용,782.76
2024-11,경상남도,열판매량(Gcal),업무용,941.05
2024-12,경상남도,열판매량(Gcal),업무용,1858.23
2024-01,대구광역시,열판매량(Gcal),업무용,2060.49
2024-02,대구광역시,열판매량(Gcal),업무용,1539.25
2024-03,대구광역시,열판매량(Gcal),업무용,1314.07
2024-04,대구광역시,열판매량(Gcal),업무용,639.52
2024-05,대구광역시,열판매량(Gcal),업무용,691.76
2024-06,대구광역시,열판매량(Gcal),업무용,958.40
2024-07,대구광역시,열판매량(Gcal),업무용,1324.81
2024-08,대구광역시,열판매량(Gcal),업무용,1518.36
