순번,년도,수도사업자,총수도계량기수,배수관연장당수도계량기수,수도관연장당수도계량기수,(13mm)수도계량기설치율
1,2024,전국(지자체),8827733,60,36,81.4
2,2024,서울특별시,2269458,235,171,83.7
3,2024,부산광역시,364130,97,42,84.2
4,2024,대구광역시,236932,38,27,69.6
5,2024,인천광역시,444585,97,60,82.4
6,2024,광주광역시,135669,43,33,74.7
7,2024,대전광역시,136619,51,34,68.1
8,2024,울산광역시,104603,54,28,68.8
9,2024,세종특별자치시,23773,24,16,72.6
10,2024,경기도,1644998,63,39,74.7
11,2024,강원특별자치도,394416,44,25,80.2
12,2024,충청북도,301798,39,25,77.1
13,2024,충청남도,399433,29,18,82.7
14,2024,전북특별자치도,603138,50,31,88.3
15,2024,전라남도,470922,34,20,87.7
16,2024,경상북도,596485,37,20,83.5
17,2024,경상남도,510922,40,23,88.3
18,2024,제주특별자치도,189852,95,32,85
