시도,시군구,읍면동,자격,연령구간,수급자수
인천광역시,중구,중구,기초생계급여,0세~4세,9
인천광역시,중구,중구,기초생계급여,5세~9세,31
인천광역시,중구,중구,기초생계급여,10세~14세,30
인천광역시,중구,중구,기초생계급여,15세~19세,11
인천광역시,중구,중구,기초생계급여,45세~49세,2
인천광역시,중구,중구,기초생계급여,50세~54세,2
인천광역시,중구,중구,기초생계급여,55세~59세,5
인천광역시,중구,중구,기초생계급여,60세~64세,6
인천광역시,중구,중구,기초생계급여,65세~69세,9
인천광역시,중구,중구,기초생계급여,70세~74세,9
인천광역시,중구,중구,기초생계급여,75세~79세,35
인천광역시,중구,중구,기초생계급여,80세~84세,27
인천광역시,중구,중구,기초생계급여,85세~89세,39
인천광역시,중구,중구,기초생계급여,90세~94세,19
인천광역시,중구,중구,기초생계급여,95세~99세,11
인천광역시,중구,중구,기초생계급여,100세이상,2
인천광역시,중구,중구,기초의료급여,0세~4세,20
인천광역시,중구,중구,기초의료급여,5세~9세,3
인천광역시,중구,중구,기초의료급여,10세~14세,3
인천광역시,중구,중구,기초의료급여,15세~19세,11
인천광역시,중구,중구,기초의료급여,20세~24세,12
인천광역시,중구,중구,기초의료급여,25세~29세,6
인천광역시,중구,중구,기초의료급여,30세~34세,1
인천광역시,중구,중구,기초의료급여,35세~39세,1
인천광역시,중구,중구,기초의료급여,65세~69세,1
인천광역시,중구,중구,기초의료급여,70세~74세,1
인천광역시,중구,중구,기초의료급여,75세~79세,1
인천광역시,중구,중구,기초의료급여,80세~84세,2
인천광역시,중구,중구,기초의료급여,90세~94세,1
인천광역시,중구,중구,기초주거급여,5세~9세,5
인천광역시,중구,중구,기초주거급여,20세~24세,2
인천광역시,중구,중구,기초주거급여,25세~29세,2
인천광역시,중구,중구,기초주거급여,35세~39세,1
인천광역시,중구,중구,기초주거급여,40세~44세,1
인천광역시,중구,연안동,기초생계급여,0세~4세,1
인천광역시,중구,연안동,기초생계급여,5세~9세,2
인천광역시,중구,연안동,기초생계급여,10세~14세,4
인천광역시,중구,연안동,기초생계급여,15세~19세,6
인천광역시,중구,연안동,기초생계급여,20세~24세,3
인천광역시,중구,연안동,기초생계급여,25세~29세,2
인천광역시,중구,연안동,기초생계급여,30세~34세,1
인천광역시,중구,연안동,기초생계급여,35세~39세,1
인천광역시,중구,연안동,기초생계급여,40세~44세,2
인천광역시,중구,연안동,기초생계급여,45세~49세,5
인천광역시,중구,연안동,기초생계급여,50세~54세,17
인천광역시,중구,연안동,기초생계급여,55세~59세,23
인천광역시,중구,연안동,기초생계급여,60세~64세,32
인천광역시,중구,연안동,기초생계급여,65세~69세,18
인천광역시,중구,연안동,기초생계급여,70세~74세,21
인천광역시,중구,연안동,기초생계급여,75세~79세,25
인천광역시,중구,연안동,기초생계급여,80세~84세,11
인천광역시,중구,연안동,기초생계급여,85세~89세,4
인천광역시,중구,연안동,기초생계급여,90세~94세,3
인천광역시,중구,연안동,기초의료급여,15세~19세,2
인천광역시,중구,연안동,기초의료급여,20세~24세,3
인천광역시,중구,연안동,기초의료급여,25세~29세,1
인천광역시,중구,연안동,기초의료급여,35세~39세,1
인천광역시,중구,연안동,기초의료급여,40세~44세,1
인천광역시,중구,연안동,기초의료급여,50세~54세,1
인천광역시,중구,연안동,기초의료급여,55세~59세,4
인천광역시,중구,연안동,기초의료급여,60세~64세,3
인천광역시,중구,연안동,기초의료급여,70세~74세,1
인천광역시,중구,연안동,기초의료급여,85세~89세,2
인천광역시,중구,연안동,기초주거급여,0세~4세,2
인천광역시,중구,연안동,기초주거급여,5세~9세,3
인천광역시,중구,연안동,기초주거급여,10세~14세,5
인천광역시,중구,연안동,기초주거급여,15세~19세,6
인천광역시,중구,연안동,기초주거급여,20세~24세,4
인천광역시,중구,연안동,기초주거급여,25세~29세,1
인천광역시,중구,연안동,기초주거급여,30세~34세,1
인천광역시,중구,연안동,기초주거급여,35세~39세,1
인천광역시,중구,연안동,기초주거급여,40세~44세,6
인천광역시,중구,연안동,기초주거급여,45세~49세,5
인천광역시,중구,연안동,기초주거급여,50세~54세,2
인천광역시,중구,연안동,기초주거급여,55세~59세,5
인천광역시,중구,연안동,기초주거급여,60세~64세,6
인천광역시,중구,연안동,기초주거급여,65세~69세,9
인천광역시,중구,연안동,기초주거급여,70세~74세,9
인천광역시,중구,연안동,기초주거급여,75세~79세,9
인천광역시,중구,연안동,기초주거급여,80세~84세,9
인천광역시,중구,연안동,기초주거급여,85세~89세,5
인천광역시,중구,연안동,기초주거급여,90세~94세,1
인천광역시,중구,연안동,기초교육급여,5세~9세,4
인천광역시,중구,연안동,기초교육급여,10세~14세,3
인천광역시,중구,연안동,기초교육급여,15세~19세,5
인천광역시,중구,신포동,기초생계급여,0세~4세,2
인천광역시,중구,신포동,기초생계급여,5세~9세,4
인천광역시,중구,신포동,기초생계급여,10세~14세,12
인천광역시,중구,신포동,기초생계급여,15세~19세,8
인천광역시,중구,신포동,기초생계급여,20세~24세,8
인천광역시,중구,신포동,기초생계급여,25세~29세,3
인천광역시,중구,신포동,기초생계급여,30세~34세,1
인천광역시,중구,신포동,기초생계급여,35세~39세,3
인천광역시,중구,신포동,기초생계급여,40세~44세,12
인천광역시,중구,신포동,기초생계급여,45세~49세,8
인천광역시,중구,신포동,기초생계급여,50세~54세,15
인천광역시,중구,신포동,기초생계급여,55세~59세,23
인천광역시,중구,신포동,기초생계급여,60세~64세,20
인천광역시,중구,신포동,기초생계급여,65세~69세,20
인천광역시,중구,신포동,기초생계급여,70세~74세,33
인천광역시,중구,신포동,기초생계급여,75세~79세,32
인천광역시,중구,신포동,기초생계급여,80세~84세,23
인천광역시,중구,신포동,기초생계급여,85세~89세,14
인천광역시,중구,신포동,기초생계급여,90세~94세,4
인천광역시,중구,신포동,기초생계급여,95세~99세,1
인천광역시,중구,신포동,기초의료급여,10세~14세,3
인천광역시,중구,신포동,기초의료급여,15세~19세,2
인천광역시,중구,신포동,기초의료급여,20세~24세,1
인천광역시,중구,신포동,기초의료급여,25세~29세,2
인천광역시,중구,신포동,기초의료급여,30세~34세,1
인천광역시,중구,신포동,기초의료급여,35세~39세,1
인천광역시,중구,신포동,기초의료급여,50세~54세,4
인천광역시,중구,신포동,기초의료급여,55세~59세,3
인천광역시,중구,신포동,기초의료급여,60세~64세,4
인천광역시,중구,신포동,기초의료급여,65세~69세,3
인천광역시,중구,신포동,기초의료급여,70세~74세,3
인천광역시,중구,신포동,기초의료급여,75세~79세,1
인천광역시,중구,신포동,기초주거급여,0세~4세,1
인천광역시,중구,신포동,기초주거급여,5세~9세,3
인천광역시,중구,신포동,기초주거급여,10세~14세,4
인천광역시,중구,신포동,기초주거급여,15세~19세,8
인천광역시,중구,신포동,기초주거급여,20세~24세,2
인천광역시,중구,신포동,기초주거급여,30세~34세,2
인천광역시,중구,신포동,기초주거급여,35세~39세,4
인천광역시,중구,신포동,기초주거급여,40세~44세,4
인천광역시,중구,신포동,기초주거급여,45세~49세,7
인천광역시,중구,신포동,기초주거급여,50세~54세,6
인천광역시,중구,신포동,기초주거급여,55세~59세,4
인천광역시,중구,신포동,기초주거급여,60세~64세,9
인천광역시,중구,신포동,기초주거급여,65세~69세,8
인천광역시,중구,신포동,기초주거급여,70세~74세,12
인천광역시,중구,신포동,기초주거급여,75세~79세,8
인천광역시,중구,신포동,기초주거급여,80세~84세,7
인천광역시,중구,신포동,기초주거급여,85세~89세,5
인천광역시,중구,신포동,기초주거급여,90세~94세,2
인천광역시,중구,신포동,기초주거급여,95세~99세,1
인천광역시,중구,신포동,기초교육급여,5세~9세,2
인천광역시,중구,신포동,기초교육급여,10세~14세,5
인천광역시,중구,신포동,기초교육급여,15세~19세,10
인천광역시,중구,신흥동,기초생계급여,0세~4세,5
인천광역시,중구,신흥동,기초생계급여,5세~9세,9
인천광역시,중구,신흥동,기초생계급여,10세~14세,17
인천광역시,중구,신흥동,기초생계급여,15세~19세,31
인천광역시,중구,신흥동,기초생계급여,20세~24세,12
인천광역시,중구,신흥동,기초생계급여,25세~29세,3
인천광역시,중구,신흥동,기초생계급여,30세~34세,8
인천광역시,중구,신흥동,기초생계급여,35세~39세,5
인천광역시,중구,신흥동,기초생계급여,40세~44세,15
인천광역시,중구,신흥동,기초생계급여,45세~49세,26
인천광역시,중구,신흥동,기초생계급여,50세~54세,40
인천광역시,중구,신흥동,기초생계급여,55세~59세,32
인천광역시,중구,신흥동,기초생계급여,60세~64세,32
인천광역시,중구,신흥동,기초생계급여,65세~69세,48
인천광역시,중구,신흥동,기초생계급여,70세~74세,29
인천광역시,중구,신흥동,기초생계급여,75세~79세,38
인천광역시,중구,신흥동,기초생계급여,80세~84세,31
인천광역시,중구,신흥동,기초생계급여,85세~89세,15
인천광역시,중구,신흥동,기초생계급여,90세~94세,5
인천광역시,중구,신흥동,기초의료급여,5세~9세,2
인천광역시,중구,신흥동,기초의료급여,10세~14세,8
인천광역시,중구,신흥동,기초의료급여,15세~19세,9
인천광역시,중구,신흥동,기초의료급여,20세~24세,4
인천광역시,중구,신흥동,기초의료급여,25세~29세,1
인천광역시,중구,신흥동,기초의료급여,30세~34세,1
인천광역시,중구,신흥동,기초의료급여,35세~39세,2
인천광역시,중구,신흥동,기초의료급여,40세~44세,6
인천광역시,중구,신흥동,기초의료급여,45세~49세,7
인천광역시,중구,신흥동,기초의료급여,50세~54세,11
인천광역시,중구,신흥동,기초의료급여,55세~59세,5
인천광역시,중구,신흥동,기초의료급여,60세~64세,7
인천광역시,중구,신흥동,기초의료급여,65세~69세,7
인천광역시,중구,신흥동,기초의료급여,70세~74세,6
인천광역시,중구,신흥동,기초의료급여,75세~79세,5
인천광역시,중구,신흥동,기초의료급여,80세~84세,4
인천광역시,중구,신흥동,기초의료급여,85세~89세,1
인천광역시,중구,신흥동,기초주거급여,0세~4세,3
인천광역시,중구,신흥동,기초주거급여,5세~9세,13
인천광역시,중구,신흥동,기초주거급여,10세~14세,8
인천광역시,중구,신흥동,기초주거급여,15세~19세,5
인천광역시,중구,신흥동,기초주거급여,20세~24세,6
인천광역시,중구,신흥동,기초주거급여,25세~29세,4
인천광역시,중구,신흥동,기초주거급여,30세~34세,2
인천광역시,중구,신흥동,기초주거급여,35세~39세,5
인천광역시,중구,신흥동,기초주거급여,40세~44세,5
인천광역시,중구,신흥동,기초주거급여,45세~49세,11
인천광역시,중구,신흥동,기초주거급여,50세~54세,14
인천광역시,중구,신흥동,기초주거급여,55세~59세,7
인천광역시,중구,신흥동,기초주거급여,60세~64세,19
인천광역시,중구,신흥동,기초주거급여,65세~69세,14
인천광역시,중구,신흥동,기초주거급여,70세~74세,22
