시군구,읍면동,자격,연령구간(5세단위),수급권자수
중구,중구,기초생계급여,0세~4세,5
중구,중구,기초생계급여,5세~9세,31
중구,중구,기초생계급여,10세~14세,39
중구,중구,기초생계급여,15세~19세,15
중구,중구,기초생계급여,50세~54세,4
중구,중구,기초생계급여,55세~59세,4
중구,중구,기초생계급여,60세~64세,7
중구,중구,기초생계급여,65세~69세,15
중구,중구,기초생계급여,70세~74세,16
중구,중구,기초생계급여,75세~79세,23
중구,중구,기초생계급여,80세~84세,60
중구,중구,기초생계급여,85세~89세,59
중구,중구,기초생계급여,90세~94세,53
중구,중구,기초생계급여,95세~99세,19
중구,중구,기초생계급여,100세이상,3
중구,중구,기초의료급여,0세~4세,11
중구,중구,기초의료급여,5세~9세,8
중구,중구,기초의료급여,10세~14세,4
중구,중구,기초의료급여,15세~19세,10
중구,중구,기초의료급여,20세~24세,7
중구,중구,기초의료급여,25세~29세,13
중구,중구,기초의료급여,30세~34세,3
중구,중구,기초의료급여,35세~39세,3
중구,중구,기초의료급여,40세~44세,1
중구,중구,기초의료급여,45세~49세,1
중구,중구,기초의료급여,65세~69세,3
중구,중구,기초의료급여,70세~74세,1
중구,중구,기초의료급여,75세~79세,3
중구,중구,기초의료급여,80세~84세,5
중구,중구,기초의료급여,85세~89세,5
중구,중구,기초의료급여,95세~99세,2
중구,중구,기초의료급여,100세이상,2
중구,중구,기초주거급여,5세~9세,1
중구,연안동,기초생계급여,0세~4세,2
중구,연안동,기초생계급여,5세~9세,4
중구,연안동,기초생계급여,10세~14세,5
중구,연안동,기초생계급여,15세~19세,5
중구,연안동,기초생계급여,20세~24세,2
중구,연안동,기초생계급여,25세~29세,1
중구,연안동,기초생계급여,30세~34세,2
중구,연안동,기초생계급여,35세~39세,4
중구,연안동,기초생계급여,40세~44세,9
중구,연안동,기초생계급여,45세~49세,8
중구,연안동,기초생계급여,50세~54세,20
중구,연안동,기초생계급여,55세~59세,18
중구,연안동,기초생계급여,60세~64세,20
중구,연안동,기초생계급여,65세~69세,47
중구,연안동,기초생계급여,70세~74세,24
중구,연안동,기초생계급여,75세~79세,34
중구,연안동,기초생계급여,80세~84세,19
중구,연안동,기초생계급여,85세~89세,14
중구,연안동,기초생계급여,90세~94세,6
중구,연안동,기초생계급여,95세~99세,2
중구,연안동,기초의료급여,20세~24세,2
중구,연안동,기초의료급여,40세~44세,1
중구,연안동,기초의료급여,55세~59세,3
중구,연안동,기초의료급여,60세~64세,2
중구,연안동,기초의료급여,65세~69세,3
중구,연안동,기초의료급여,70세~74세,3
중구,연안동,기초의료급여,75세~79세,3
중구,연안동,기초주거급여,5세~9세,4
중구,연안동,기초주거급여,10세~14세,7
